Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,60,14525,2297,5213,0.441,705,2074,0.34,1592,3139,0.507,1117,1469,0.76,616,2046,2662,1334,418,332,920,1238,6416
2,Los Angeles Lakers,60,14450,2348,5262,0.446,678,1962,0.346,1670,3300,0.506,1052,1356,0.776,582,1942,2524,1406,494,226,939,1274,6426
3,Utah Jazz,60,14425,2430,5364,0.453,670,1898,0.353,1760,3466,0.508,969,1263,0.767,568,1980,2548,1266,474,281,714,1250,6499
4,Toronto Raptors,61,14740,2313,5390,0.429,793,2337,0.339,1520,3053,0.498,1081,1410,0.767,684,2141,2825,1557,430,323,1039,1212,6500
5,Milwaukee Bucks,61,14690,2350,5730,0.41,844,2366,0.357,1506,3364,0.448,972,1247,0.779,582,2203,2785,1448,441,279,868,1298,6516
6,Orlando Magic,61,14665,2443,5287,0.462,752,2029,0.371,1691,3258,0.519,884,1145,0.772,557,2224,2781,1485,422,292,903,1165,6522
7,Indiana Pacers,61,14740,2402,5352,0.449,695,1994,0.349,1707,3358,0.508,1038,1319,0.787,609,2108,2717,1414,409,272,879,1140,6537
8,Denver Nuggets,61,14790,2415,5271,0.458,703,2037,0.345,1712,3234,0.529,1027,1356,0.757,610,2002,2612,1524,432,282,867,1230,6560
9,Oklahoma City Thunder,61,14740,2509,5488,0.457,696,2018,0.345,1813,3470,0.522,904,1132,0.799,635,2078,2713,1408,409,244,851,1396,6618
10,Philadelphia 76ers,62,14955,2446,5321,0.46,634,1792,0.354,1812,3529,0.513,1121,1508,0.743,539,2079,2618,1397,431,242,879,1255,6647
11,Miami Heat,61,14865,2381,5318,0.448,791,2320,0.341,1590,2998,0.53,1106,1427,0.775,556,2018,2574,1511,459,258,831,1323,6659
12,Charlotte Hornets,61,14740,2537,5351,0.474,744,2121,0.351,1793,3230,0.555,854,1124,0.76,664,2154,2818,1616,498,310,871,1248,6672
13,Brooklyn Nets,60,14600,2473,5597,0.442,718,2063,0.348,1755,3534,0.497,1019,1337,0.762,655,2113,2768,1343,465,325,768,1247,6683
14,Los Angeles Clippers,61,14715,2409,5513,0.437,740,2140,0.346,1669,3373,0.495,1137,1498,0.759,667,2113,2780,1442,486,302,873,1390,6695
15,Chicago Bulls,61,14715,2418,5064,0.477,682,1938,0.352,1736,3126,0.555,1191,1569,0.759,626,2159,2785,1552,503,362,1100,1176,6709
16,Sacramento Kings,61,14790,2424,5190,0.467,739,2088,0.354,1685,3102,0.543,1157,1455,0.795,550,2111,2661,1497,474,270,932,1182,6744
17,New York Knicks,61,14740,2431,5241,0.464,816,2122,0.385,1615,3119,0.518,1156,1553,0.744,587,2129,2716,1483,439,313,840,1198,6834
18,Dallas Mavericks,62,14955,2555,5652,0.452,730,2128,0.343,1825,3524,0.518,1004,1320,0.761,674,2137,2811,1457,437,241,746,1297,6844
19,Houston Rockets,60,14475,2540,5525,0.46,729,2114,0.345,1811,3411,0.531,1046,1375,0.761,676,2158,2834,1526,473,304,945,1252,6855
20,San Antonio Spurs,60,14550,2521,5380,0.469,782,2083,0.375,1739,3297,0.527,1036,1341,0.773,561,2163,2724,1540,411,266,777,1174,6860
21,Detroit Pistons,62,15005,2604,5447,0.478,665,1843,0.361,1939,3604,0.538,995,1277,0.779,631,2067,2698,1540,503,348,871,1237,6868
22,Memphis Grizzlies,61,14665,2503,5525,0.453,779,2116,0.368,1724,3409,0.506,1185,1511,0.784,628,2117,2745,1516,478,329,892,1205,6970
23,Cleveland Cavaliers,61,14740,2683,5458,0.492,758,2021,0.375,1925,3437,0.56,886,1160,0.764,591,2024,2615,1612,565,393,785,1183,7010
24,Phoenix Suns,62,14955,2552,5397,0.473,726,1990,0.365,1826,3407,0.536,1206,1543,0.782,575,2140,2715,1476,507,349,1000,1420,7036
25,Minnesota Timberwolves,60,14600,2579,5438,0.474,696,1916,0.363,1883,3522,0.535,1192,1514,0.787,617,2241,2858,1453,468,335,928,1303,7046
26,Golden State Warriors,62,15005,2616,5500,0.476,833,2142,0.389,1783,3358,0.531,1047,1350,0.776,636,2257,2893,1613,518,314,982,1244,7112
27,Portland Trail Blazers,62,14930,2583,5715,0.452,814,2178,0.374,1769,3537,0.5,1167,1518,0.769,727,2223,2950,1521,423,315,788,1212,7147
28,New Orleans Pelicans,61,14765,2629,5628,0.467,733,2056,0.357,1896,3572,0.531,1160,1477,0.785,616,2134,2750,1499,517,284,877,1255,7151
29,Washington Wizards,60,14475,2616,5358,0.488,754,2007,0.376,1862,3351,0.556,1220,1583,0.771,654,2143,2797,1518,448,297,968,1332,7206
30,Atlanta Hawks,63,15245,2725,5717,0.477,740,2054,0.36,1985,3663,0.542,1322,1714,0.771,710,2262,2972,1560,559,403,954,1322,7512
,League Average,61,14742,2491,5423,0.459,738,2065,0.357,1753,3358,0.522,1075,1395,0.771,619,2122,2742,1484,466,303,886,1255,6795
