Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics,60,14525,38.2,86.6,0.441,11.7,34.5,0.34,26.5,52.2,0.507,18.6,24.4,0.76,10.2,34,44.2,22.2,6.9,5.5,15.3,20.6,106.6
2,Los Angeles Lakers,60,14450,38.7,86.7,0.446,11.2,32.3,0.346,27.5,54.4,0.506,17.3,22.3,0.776,9.6,32,41.6,23.2,8.1,3.7,15.5,21,105.9
3,Utah Jazz,60,14425,40.9,90.4,0.453,11.3,32,0.353,29.6,58.4,0.508,16.3,21.3,0.767,9.6,33.4,42.9,21.3,8,4.7,12,21.1,109.5
4,Toronto Raptors,61,14740,37.4,87.2,0.429,12.8,37.8,0.339,24.6,49.4,0.498,17.5,22.8,0.767,11.1,34.6,45.7,25.2,7,5.2,16.8,19.6,105.1
5,Milwaukee Bucks,61,14690,36.6,89.2,0.41,13.1,36.9,0.357,23.5,52.4,0.448,15.1,19.4,0.779,9.1,34.3,43.4,22.6,6.9,4.3,13.5,20.2,101.5
6,Orlando Magic,61,14665,40.7,88.1,0.462,12.5,33.8,0.371,28.2,54.3,0.519,14.7,19.1,0.772,9.3,37.1,46.3,24.7,7,4.9,15,19.4,108.7
7,Indiana Pacers,61,14740,39.8,88.6,0.449,11.5,33,0.349,28.3,55.6,0.508,17.2,21.8,0.787,10.1,34.9,45,23.4,6.8,4.5,14.6,18.9,108.3
8,Denver Nuggets,61,14790,40.3,88,0.458,11.7,34,0.345,28.6,54,0.529,17.1,22.6,0.757,10.2,33.4,43.6,25.4,7.2,4.7,14.5,20.5,109.5
9,Oklahoma City Thunder,61,14740,41.4,90.6,0.457,11.5,33.3,0.345,29.9,57.3,0.522,14.9,18.7,0.799,10.5,34.3,44.8,23.3,6.8,4,14.1,23.1,109.3
10,Philadelphia 76ers,62,14955,39.7,86.3,0.46,10.3,29.1,0.354,29.4,57.2,0.513,18.2,24.5,0.743,8.7,33.7,42.5,22.7,7,3.9,14.3,20.4,107.8
11,Miami Heat,61,14865,39.1,87.3,0.448,13,38.1,0.341,26.1,49.2,0.53,18.2,23.4,0.775,9.1,33.1,42.3,24.8,7.5,4.2,13.6,21.7,109.4
12,Charlotte Hornets,61,14740,42.9,90.6,0.474,12.6,35.9,0.351,30.3,54.7,0.555,14.5,19,0.76,11.2,36.5,47.7,27.3,8.4,5.2,14.7,21.1,112.9
13,Brooklyn Nets,60,14600,40.2,90.9,0.442,11.7,33.5,0.348,28.5,57.4,0.497,16.6,21.7,0.762,10.6,34.3,45,21.8,7.6,5.3,12.5,20.3,108.5
14,Los Angeles Clippers,61,14715,38.6,88.3,0.437,11.9,34.3,0.346,26.7,54,0.495,18.2,24,0.759,10.7,33.8,44.5,23.1,7.8,4.8,14,22.3,107.2
15,Chicago Bulls,61,14715,39.6,82.9,0.477,11.2,31.7,0.352,28.4,51.2,0.555,19.5,25.7,0.759,10.2,35.3,45.6,25.4,8.2,5.9,18,19.2,109.8
16,Sacramento Kings,61,14790,40,85.6,0.467,12.2,34.4,0.354,27.8,51.2,0.543,19.1,24,0.795,9.1,34.8,43.9,24.7,7.8,4.5,15.4,19.5,111.2
17,New York Knicks,61,14740,40.1,86.5,0.464,13.5,35,0.385,26.7,51.5,0.518,19.1,25.6,0.744,9.7,35.2,44.8,24.5,7.2,5.2,13.9,19.8,112.8
18,Dallas Mavericks,62,14955,41.4,91.6,0.452,11.8,34.5,0.343,29.6,57.1,0.518,16.3,21.4,0.761,10.9,34.6,45.6,23.6,7.1,3.9,12.1,21,110.9
19,Houston Rockets,60,14475,40.7,88.5,0.46,11.7,33.9,0.345,29,54.6,0.531,16.8,22,0.761,10.8,34.6,45.4,24.4,7.6,4.9,15.1,20.1,109.8
20,San Antonio Spurs,60,14550,41.7,89,0.469,12.9,34.4,0.375,28.8,54.5,0.527,17.1,22.2,0.773,9.3,35.8,45,25.5,6.8,4.4,12.8,19.4,113.4
21,Detroit Pistons,62,15005,42.6,89.1,0.478,10.9,30.1,0.361,31.7,58.9,0.538,16.3,20.9,0.779,10.3,33.8,44.1,25.2,8.2,5.7,14.2,20.2,112.3
22,Memphis Grizzlies,61,14665,39.8,87.8,0.453,12.4,33.6,0.368,27.4,54.2,0.506,18.8,24,0.784,10,33.6,43.6,24.1,7.6,5.2,14.2,19.2,110.8
23,Cleveland Cavaliers,61,14740,44.2,90,0.492,12.5,33.3,0.375,31.7,56.7,0.56,14.6,19.1,0.764,9.7,33.4,43.1,26.6,9.3,6.5,12.9,19.5,115.6
24,Phoenix Suns,62,14955,40.4,85.4,0.473,11.5,31.5,0.365,28.9,53.9,0.536,19.1,24.4,0.782,9.1,33.9,43,23.4,8,5.5,15.8,22.5,111.3
25,Minnesota Timberwolves,60,14600,41,86.5,0.474,11.1,30.5,0.363,29.9,56,0.535,19,24.1,0.787,9.8,35.6,45.5,23.1,7.4,5.3,14.8,20.7,112.1
26,Golden State Warriors,62,15005,41.7,87.6,0.476,13.3,34.1,0.389,28.4,53.5,0.531,16.7,21.5,0.776,10.1,35.9,46.1,25.7,8.3,5,15.6,19.8,113.3
27,Portland Trail Blazers,62,14930,41.2,91.1,0.452,13,34.7,0.374,28.2,56.4,0.5,18.6,24.2,0.769,11.6,35.4,47,24.3,6.7,5,12.6,19.3,114
28,New Orleans Pelicans,61,14765,41.2,88.2,0.467,11.5,32.2,0.357,29.7,56,0.531,18.2,23.1,0.785,9.7,33.4,43.1,23.5,8.1,4.4,13.7,19.7,112
29,Washington Wizards,60,14475,42.1,86.2,0.488,12.1,32.3,0.376,30,53.9,0.556,19.6,25.5,0.771,10.5,34.5,45,24.4,7.2,4.8,15.6,21.4,115.9
30,Atlanta Hawks,63,15245,41.5,87.1,0.477,11.3,31.3,0.36,30.3,55.8,0.542,20.1,26.1,0.771,10.8,34.5,45.3,23.8,8.5,6.1,14.5,20.1,114.5
