Rk,Team,G,MP,FG%,Dist.,2P,0-3,10-Mar,16-Oct,16-3pt,3P,2P,0-3,10-Mar,16-Oct,16-3pt,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,63,15245,0.477,13.2,0.641,0.324,0.153,0.09,0.074,0.359,0.542,0.671,0.391,0.447,0.406,0.36,0.479,0.069,343,0.307,970,0.823,0.189,0.373
2,Boston Celtics,60,14525,0.441,14.3,0.602,0.25,0.188,0.088,0.077,0.398,0.507,0.666,0.394,0.405,0.386,0.34,0.476,0.056,261,0.278,747,0.818,0.194,0.387
3,Brooklyn Nets,60,14600,0.442,14.1,0.631,0.242,0.178,0.118,0.094,0.369,0.497,0.636,0.402,0.443,0.384,0.348,0.448,0.051,240,0.256,747,0.776,0.2,0.354
4,Chicago Bulls,61,14715,0.477,13.6,0.617,0.338,0.147,0.072,0.061,0.383,0.555,0.686,0.375,0.429,0.417,0.352,0.561,0.07,324,0.307,896,0.848,0.246,0.421
5,Charlotte Hornets,61,14740,0.474,13.6,0.604,0.317,0.151,0.073,0.062,0.396,0.555,0.681,0.399,0.464,0.398,0.351,0.545,0.07,334,0.295,897,0.858,0.252,0.387
6,Cleveland Cavaliers,61,14740,0.492,13.3,0.63,0.332,0.145,0.078,0.074,0.37,0.56,0.688,0.429,0.409,0.402,0.375,0.521,0.07,349,0.282,927,0.805,0.227,0.41
7,Dallas Mavericks,62,14955,0.452,13.7,0.623,0.282,0.177,0.089,0.075,0.377,0.518,0.662,0.387,0.402,0.422,0.343,0.483,0.062,313,0.272,815,0.788,0.183,0.388
8,Denver Nuggets,61,14790,0.458,14.2,0.614,0.293,0.167,0.086,0.068,0.386,0.529,0.679,0.407,0.395,0.351,0.345,0.55,0.069,325,0.282,820,0.829,0.238,0.395
9,Detroit Pistons,62,15005,0.478,13.5,0.662,0.29,0.194,0.093,0.084,0.338,0.538,0.68,0.414,0.46,0.422,0.361,0.513,0.067,321,0.289,872,0.821,0.219,0.408
10,Golden State Warriors,62,15005,0.476,14.1,0.611,0.267,0.184,0.087,0.072,0.389,0.531,0.687,0.397,0.425,0.423,0.389,0.518,0.067,323,0.284,851,0.828,0.211,0.45
11,Houston Rockets,60,14475,0.46,13.6,0.617,0.302,0.163,0.085,0.067,0.383,0.531,0.688,0.381,0.363,0.403,0.345,0.517,0.056,289,0.293,920,0.808,0.258,0.339
12,Indiana Pacers,61,14740,0.449,13.6,0.627,0.301,0.17,0.082,0.075,0.373,0.508,0.618,0.423,0.393,0.386,0.349,0.494,0.06,291,0.291,788,0.82,0.191,0.337
13,Los Angeles Clippers,61,14715,0.437,14.4,0.612,0.259,0.162,0.1,0.09,0.388,0.495,0.654,0.39,0.397,0.333,0.346,0.515,0.051,253,0.246,715,0.786,0.183,0.375
14,Los Angeles Lakers,60,14450,0.446,13.8,0.627,0.28,0.178,0.087,0.083,0.373,0.506,0.657,0.368,0.4,0.405,0.346,0.503,0.065,290,0.27,737,0.835,0.192,0.382
15,Memphis Grizzlies,61,14665,0.453,13.9,0.617,0.285,0.153,0.098,0.081,0.383,0.506,0.634,0.388,0.411,0.391,0.368,0.51,0.054,262,0.265,784,0.816,0.214,0.416
