2019-2020 NBA Player Stats | NBAstuffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Steven brewdogs,Okc,C,26.62,55,27,56.2,17.4,13.9,170,0.6,425,0.591,3,0.333,0.59,0.604,11,9.4,19.4,2.5,13.9,0.8,1.11,1.47,9.4,123.5,102.1
,Bam Adebayo,Mia,C-F,22.63,61,34.4,71.7,20.7,17.2,326,0.69,660,0.574,13,0.077,0.565,0.604,16.2,10.6,17.2,5.1,23.2,1.23,1.3,2.79,11.1,117.5,102.2
,LaMarcus Aldridge,San,F-C,34.63,52,33,68.8,23.4,7.9,187,0.829,618,0.519,153,0.392,0.533,0.572,18.8,7.5,12.2,2.4,11.5,0.63,1.6,1.4,8.4,115.2,108.9
,Nickeil Alexander-Walker,Nor,G,21.5,41,12.2,25.4,22.9,14.3,28,0.607,110,0.336,117,0.342,0.427,0.441,5.1,2,8.4,1.8,20.4,0.27,0.17,0.98,8.6,90.7,107
,Grayson Allen,Mem,G,24.4,30,16.6,34.6,17.9,10.7,35,0.857,85,0.541,91,0.363,0.543,0.577,7.4,2.2,7,1.4,11.8,0.23,0.03,0.77,6.8,110.7,109.4
,Jarrett Allen,Bro,C,21.87,60,26,54.1,15,11.8,225,0.627,389,0.653,5,0,0.645,0.658,10.8,9.6,19,1.4,8,0.58,1.38,1.1,8.1,129.6,99.7
,Kadeem Allen,Nyk,G,27.13,10,11.7,24.4,20.6,14.1,11,0.636,28,0.5,16,0.313,0.489,0.512,5,0.9,4.1,2.1,27.1,0.5,0.2,0.8,7.2,105.7,111.7
,Al-Farouq Aminu,Orl,F,29.45,18,21.1,44,13.2,14.7,29,0.655,50,0.32,36,0.25,0.343,0.395,4.3,4.9,12.3,1.2,7.4,1,0.44,0.94,5.6,87.8,103
,Justin Anderson,Bro,F-G,26.29,3,5.6,11.7,17,0,2,0.5,3,0.333,3,0,0.167,0.218,1,0.7,6.1,0,0,0,0.33,0,0,50.2,101.7
,Kyle Anderson,Mem,F-G,26.45,55,18.9,39.3,13.4,15,60,0.65,206,0.558,52,0.212,0.51,0.531,5.5,4.3,12.1,2.2,15.3,0.8,0.49,0.91,7.9,109,105.5
,Ryan Anderson,Hou,F,31.83,2,7,14.6,23.6,12.5,0,0,2,0.5,5,0.2,0.357,0.357,2.5,3.5,26.1,1,20,0.5,0,0.5,11.8,78.3,94
,Giannis Antetokounmpo,Mil,F,25.24,55,30.9,64.4,37.4,13.2,549,0.625,838,0.624,257,0.311,0.587,0.609,29.6,13.8,22,5.8,33.8,1.05,1.05,3.69,17.3,115.9,89.2
,Kostas Antetokounmpo,Lal,F,22.29,3,1.7,3.5,0,,0,0,0,0,0,0,,,0,0.3,10.7,0.3,21.9,0,0,0,0,,
,Thanasis Antetokounmpo,Mil,F,27.63,16,4.4,9.1,23,15.4,9,0.444,25,0.64,4,0,0.552,0.546,2.3,0.8,8.4,0.4,12.6,0.25,0.06,0.38,8.2,104,90.7
,Carmelo Anthony,Por,F,35.76,46,32.7,68,21.7,10.7,122,0.844,452,0.447,181,0.359,0.473,0.511,15.3,6.5,10.3,1.5,6.6,0.78,0.46,1.78,6.5,100.9,108.5
,OG Anunoby,Tor,F,22.63,60,29.8,62.1,14.7,11.7,80,0.7,302,0.593,205,0.371,0.578,0.592,10.7,5.5,9.7,1.6,7.8,1.4,0.68,1.2,6.1,112.7,99.9
