Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks,61,14690,41.5,86.6,0.479,13.1,36.4,0.359,28.4,50.2,0.566,17,23,0.74,9.1,40.4,49.5,24.8,7,5.9,14.1,18,113.1
2,Dallas Mavericks,62,14955,41.7,90.1,0.463,15.3,41.5,0.368,26.5,48.7,0.544,18.2,23.5,0.776,10.8,36.5,47.3,24.6,6.1,4.9,12.9,19.4,117
3,Houston Rockets,60,14475,39.8,87.5,0.454,15.1,42.9,0.351,24.7,44.6,0.553,19.7,24.9,0.789,9.9,33.5,43.4,20.6,8.1,4.9,14,20.6,114.3
4,New Orleans Pelicans,61,14765,40.7,87.9,0.463,13.4,35.9,0.373,27.3,52,0.525,16.2,22.2,0.731,10.6,34,44.7,25.8,7.3,4.9,15.4,20,111
5,Los Angeles Clippers,61,14715,40.8,87.7,0.465,11.8,32.2,0.368,28.9,55.6,0.521,20.1,25.4,0.792,10.7,36,46.7,23.4,7.1,4.9,14.5,21.5,113.4
6,Portland Trail Blazers,62,14930,41.3,90.1,0.458,12.4,33.3,0.371,28.9,56.8,0.51,17,21.3,0.8,10.1,35,45.1,19.8,5.9,6.1,12.8,21.3,112
7,Atlanta Hawks,63,15245,38.8,86.6,0.448,11.4,34.3,0.331,27.4,52.3,0.524,17.8,22.4,0.793,9.4,31.9,41.3,22.8,7.6,5,15.6,22.1,106.7
8,Washington Wizards,60,14475,40.9,88.3,0.464,11.7,31.7,0.37,29.2,56.6,0.516,18.5,23.5,0.785,9.7,30.8,40.5,24.6,7.8,4.2,13.5,21.7,112.1
9,Phoenix Suns,62,14955,39.9,86.2,0.463,10.7,30.8,0.349,29.2,55.4,0.527,19.3,23.5,0.822,9.6,32.6,42.1,26.6,7.7,3.9,14.8,21.8,109.9
10,Toronto Raptors,61,14740,40.1,87.6,0.458,13.5,36.3,0.372,26.6,51.3,0.519,17.7,22.2,0.797,9.7,35,44.7,25,8.7,5,14.3,21.3,111.5
11,Los Angeles Lakers,60,14450,42.6,87.6,0.487,11.1,30.9,0.359,31.6,56.7,0.557,17,23.4,0.726,10.6,35,45.6,25.8,8.5,6.8,14.9,20.1,113.3
12,Memphis Grizzlies,61,14665,41.6,88.5,0.47,10.5,29.9,0.349,31.1,58.5,0.532,15.6,20.4,0.765,10,35,45,26.3,7.8,5.5,14.7,20.4,109.3
13,Miami Heat,61,14865,39.9,84.9,0.469,13.3,34.8,0.382,26.6,50.2,0.53,19.9,25.5,0.778,8.6,36.3,44.9,25.9,7.3,4.3,14.8,20.4,112.9
14,Boston Celtics,60,14525,41.2,89.3,0.462,12.4,34.1,0.364,28.8,55.2,0.522,18.3,22.9,0.8,10.6,35.3,45.8,23,8.2,5.6,13.7,21.5,113.2
15,Minnesota Timberwolves,60,14600,38.5,87.6,0.44,12.8,38,0.335,25.8,49.6,0.52,18.3,24.3,0.753,10.1,32.9,43,22.7,8.3,5.6,14.6,20.5,108.1
