Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Milwaukee Bucks,61,14690,2665,5560,.479,840,2338,.359,1825,3222,.566,1094,1478,.740,583,2594,3177,1591,449,378,904,1157,7264
2,Dallas Mavericks,62,14955,2575,5562,.463,943,2560,.368,1632,3002,.544,1124,1448,.776,664,2253,2917,1515,378,302,793,1198,7217
3,Houston Rockets,60,14475,2482,5462,.454,940,2675,.351,1542,2787,.553,1229,1557,.789,619,2092,2711,1289,507,309,871,1289,7133
4,New Orleans Pelicans,61,14765,2597,5607,.463,854,2290,.373,1743,3317,.525,1035,1415,.731,679,2171,2850,1644,464,313,982,1274,7083
5,Los Angeles Clippers,61,14715,2545,5477,.465,738,2008,.368,1807,3469,.521,1254,1584,.792,666,2250,2916,1464,441,305,903,1341,7082
6,Portland Trail Blazers,62,14930,2591,5652,.458,776,2091,.371,1815,3561,.510,1068,1335,.800,631,2197,2828,1241,370,382,804,1336,7026
7,Atlanta Hawks,63,15245,2544,5684,.448,745,2251,.331,1799,3433,.524,1168,1473,.793,614,2096,2710,1498,498,327,1021,1448,7001
8,Washington Wizards,60,14475,2545,5490,.464,729,1969,.370,1816,3521,.516,1147,1462,.785,604,1912,2516,1528,483,259,839,1346,6966
9,Phoenix Suns,62,14955,2523,5446,.463,678,1944,.349,1845,3502,.527,1220,1485,.822,605,2058,2663,1681,489,248,938,1378,6944
10,Toronto Raptors,61,14740,2481,5416,.458,835,2244,.372,1646,3172,.519,1094,1372,.797,599,2166,2765,1547,536,308,883,1316,6891
11,Los Angeles Lakers,60,14450,2587,5314,.487,672,1874,.359,1915,3440,.557,1030,1418,.726,641,2123,2764,1565,515,415,906,1222,6876
12,Memphis Grizzlies,61,14665,2616,5566,.470,658,1883,.349,1958,3683,.532,984,1286,.765,630,2203,2833,1656,489,343,923,1284,6874
13,Miami Heat,61,14865,2427,5171,.469,809,2116,.382,1618,3055,.530,1209,1553,.778,522,2210,2732,1578,446,264,901,1241,6872
14,Boston Celtics,60,14525,2480,5370,.462,747,2050,.364,1733,3320,.522,1101,1376,.800,635,2121,2756,1383,495,336,826,1294,6808
15,Minnesota Timberwolves,60,14600,2423,5509,.440,802,2392,.335,1621,3117,.520,1149,1525,.753,638,2068,2706,1427,520,352,919,1291,6797
16,San Antonio Spurs,60,14550,2517,5359,.470,636,1717,.370,1881,3642,.516,1091,1356,.805,541,2136,2677,1469,425,324,746,1143,6761
17,Philadelphia 76ers,62,14955,2521,5438,.464,698,1948,.358,1823,3490,.522,1020,1364,.748,635,2184,2819,1601,513,341,885,1285,6760
18,Denver Nuggets,61,14790,2552,5433,.470,656,1839,.357,1896,3594,.528,994,1282,.775,668,2051,2719,1616,490,285,829,1223,6754
19,Oklahoma City Thunder,61,14740,2450,5197,.471,634,1798,.353,1816,3399,.534,1210,1513,.800,501,2119,2620,1333,457,300,823,1147,6744
20,Utah Jazz,60,14425,2419,5092,.475,790,2043,.387,1629,3049,.534,1064,1378,.772,537,2198,2735,1329,342,236,901,1203,6692
21,Indiana Pacers,61,14740,2568,5391,.476,616,1691,.364,1952,3700,.528,924,1171,.789,540,2069,2609,1594,439,310,792,1197,6676
22,Detroit Pistons,62,15005,2447,5322,.460,742,2011,.369,1705,3311,.515,1040,1392,.747,614,1998,2612,1492,460,287,958,1212,6676
23,Brooklyn Nets,60,14600,2408,5423,.444,778,2275,.342,1630,3148,.518,1063,1433,.742,653,2259,2912,1447,395,278,931,1241,6657
24,Sacramento Kings,61,14790,2458,5368,.458,768,2120,.362,1690,3248,.520,947,1238,.765,591,1995,2586,1420,467,257,878,1334,6631
25,Golden State Warriors,62,15005,2389,5473,.437,644,1917,.336,1745,3556,.491,1152,1431,.805,622,2041,2663,1574,523,292,936,1245,6574
26,Chicago Bulls,61,14715,2407,5395,.446,749,2146,.349,1658,3249,.510,957,1266,.756,635,1924,2559,1413,608,245,950,1321,6520
27,Cleveland Cavaliers,61,14740,2455,5376,.457,683,1946,.351,1772,3430,.517,910,1196,.761,656,2036,2692,1389,420,198,1002,1113,6503
28,New York Knicks,61,14740,2428,5463,.444,595,1760,.338,1833,3703,.495,978,1420,.689,744,2101,2845,1337,463,287,878,1358,6429
29,Orlando Magic,61,14665,2368,5422,.437,663,1967,.337,1705,3455,.493,1024,1336,.766,638,2086,2724,1448,511,355,766,1067,6423
30,Charlotte Hornets,61,14740,2264,5254,.431,721,2084,.346,1543,3170,.487,971,1308,.742,678,1955,2633,1445,398,255,899,1154,6220
,League Average,61,14742,2491,5423,.459,738,2065,.357,1753,3358,.522,1075,1395,.771,619,2122,2742,1484,466,303,886,1255,6795
