"Mar 11, 2020 - ATL vs. NYK",L,53,131,48,106,45.3,14,41,34.1,21,26,80.8,15,38,53,26,17,6,3,25
"Mar 11, 2020 - CHA @ MIA",W,48,109,37,82,45.1,17,34,50.0,18,22,81.8,15,35,50,20,14,7,4,9
"Mar 11, 2020 - DET @ PHI",L,48,106,39,84,46.4,11,35,31.4,17,25,68.0,6,26,32,25,9,10,3,24
"Mar 11, 2020 - DAL vs. DEN",W,48,113,42,92,45.7,12,35,34.3,17,23,73.9,13,39,52,23,11,9,2,14
"Mar 10, 2020 - BOS @ IND",W,48,114,41,93,44.1,13,37,35.1,19,22,86.4,11,35,46,19,10,9,4,15
"Mar 10, 2020 - BKN @ LAL",W,48,104,37,90,41.1,13,40,32.5,17,23,73.9,14,33,47,24,11,7,3,18
"Mar 10, 2020 - CHI vs. CLE",W,48,108,42,84,50.0,12,34,35.3,12,15,80.0,14,32,46,23,21,8,6,21
"Mar 10, 2020 - GSW vs. LAC",L,48,107,37,79,46.8,11,38,28.9,22,27,81.5,4,31,35,25,10,3,0,17
"Mar 10, 2020 - HOU vs. MIN",W,48,117,41,80,51.3,15,38,39.5,20,26,76.9,5,28,33,24,18,9,5,20
"Mar 10, 2020 - SAS vs. DAL",W,48,119,46,89,51.7,15,32,46.9,12,15,80.0,6,34,40,32,12,11,10,15
"Mar 10, 2020 - MEM vs. ORL",L,48,115,38,76,50.0,11,29,37.9,28,38,73.7,7,32,39,24,21,7,5,22
"Mar 10, 2020 - PHX @ POR",L,48,105,35,87,40.2,11,32,34.4,24,25,96.0,9,34,43,26,14,3,5,16
"Mar 10, 2020 - WAS vs. NYK",W,48,122,35,74,47.3,14,35,40.0,38,45,84.4,9,28,37,23,19,8,4,25
"Mar 09, 2020 - MIL @ DEN",L,48,95,34,90,37.8,15,50,30.0,12,18,66.7,11,37,48,23,17,8,4,15
"Mar 09, 2020 - TOR @ UTA",W,48,101,36,83,43.4,13,36,36.1,16,18,88.9,14,39,53,22,20,9,2,14
"Mar 08, 2020 - SAC vs. TOR",L,48,113,42,90,46.7,8,31,25.8,21,23,91.3,10,40,50,24,11,5,7,22
"Mar 08, 2020 - NOP @ MIN",W,48,120,44,90,48.9,11,35,31.4,21,31,67.7,10,44,54,28,25,7,5,23
"Mar 08, 2020 - OKC @ BOS",W,48,105,35,79,44.3,10,25,40.0,25,34,73.5,4,35,39,16,18,9,7,22

