BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,67,48.6,111.8,20,47,.299,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,9.9,33.4,43.3,24.0,16.2,7.8,5.1,23.1,-8.0
Home,34,48.7,114.6,14,20,.412,41.7,91.0,45.8,11.9,34.3,34.7,19.3,24.3,79.2,10.2,34.3,44.5,24.5,16.0,7.3,5.3,23.6,-2.8
Road,33,48.5,108.8,6,27,.182,39.5,90.1,43.9,12.1,37.8,32.0,17.6,22.4,78.8,9.5,32.4,41.9,23.4,16.4,8.3,4.9,22.6,-13.3
Wins,20,49.0,122.1,20,0,1.000,44.2,89.7,49.3,13.5,35.2,38.4,20.2,25.1,80.4,10.4,36.8,47.1,26.0,15.9,7.2,5.2,22.9,9.9
Losses,47,48.4,107.4,0,47,.000,39.1,90.9,43.0,11.4,36.4,31.3,17.7,22.7,78.3,9.7,32.0,41.6,23.1,16.4,8.1,5.1,23.2,-15.6
October,5,48.0,103.4,2,3,.400,38.8,85.0,45.6,9.4,32.2,29.2,16.4,23.6,69.5,10.0,34.4,44.4,24.0,17.6,9.0,5.2,22.0,-1.0
November,15,48.7,109.2,2,13,.133,40.1,89.7,44.7,10.5,32.8,31.9,18.6,24.4,76.2,10.2,31.3,41.5,23.1,18.0,8.5,4.6,24.0,-14.8
December,14,48.4,106.2,3,11,.214,39.6,91.1,43.5,12.0,37.7,31.8,14.9,19.3,77.4,9.1,33.3,42.4,22.9,16.3,8.1,5.3,20.6,-9.2
January,15,48.0,113.9,6,9,.400,40.7,90.7,44.9,12.7,37.5,33.9,19.7,24.5,80.7,9.8,34.9,44.7,23.7,15.6,7.4,5.6,26.3,-5.2
February,13,48.8,120.2,6,7,.462,42.4,90.6,46.8,13.3,36.3,36.7,22.1,25.8,85.4,9.3,33.7,43.0,25.8,14.2,7.4,5.1,21.1,-2.9
March,5,51.0,115.0,1,4,.200,42.2,96.4,43.8,13.8,40.0,34.5,16.8,21.8,77.1,12.6,33.6,46.2,25.4,16.4,6.2,4.4,24.2,-12.4
Pre All-Star,56,48.4,110.2,15,41,.268,40.2,89.8,44.7,11.7,35.5,32.9,18.2,23.1,78.7,9.6,33.3,42.8,23.5,16.6,8.0,5.2,23.2,-8.7
Post All-Star,11,49.4,119.7,5,6,.455,43.0,94.3,45.6,13.7,38.8,35.4,20.0,24.9,80.3,11.4,34.0,45.4,26.5,14.5,6.6,4.4,22.7,-4.1
0 Days Rest,12,48.0,106.3,2,10,.167,38.4,86.1,44.6,11.9,36.9,32.3,17.6,21.9,80.2,8.0,28.9,36.9,25.0,18.0,8.3,4.4,22.3,-18.1
1 Days Rest,46,48.9,112.7,13,33,.283,41.0,92.0,44.6,11.6,35.7,32.4,19.1,24.2,78.7,10.7,34.2,44.9,23.6,15.8,7.5,5.3,23.5,-7.0
2 Days Rest,2,48.0,124.0,1,1,.500,42.5,89.0,47.8,16.5,35.5,46.5,22.5,29.0,77.6,8.5,34.5,43.0,24.0,16.0,9.0,4.0,22.0,-3.5
3 Days Rest,4,48.0,106.5,1,3,.250,40.5,90.3,44.9,14.5,40.8,35.6,11.0,14.5,75.9,7.8,35.3,43.0,24.8,16.0,8.3,6.3,22.8,-5.0
4 Days Rest,1,48.0,108.0,1,0,1.000,43.0,90.0,47.8,11.0,30.0,36.7,11.0,16.0,68.8,9.0,39.0,48.0,22.0,18.0,9.0,5.0,20.0,8.0
6+ Days Rest,2,48.0,123.0,2,0,1.000,42.5,85.5,49.7,13.5,33.0,40.9,24.5,28.0,87.5,7.0,34.5,41.5,24.5,14.5,8.5,4.0,21.0,11.0
