BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,43.3,90.7,47.8,11.9,32.7,36.3,21.2,27.4,77.2,11.2,35.9,47.0,25.0,15.0,9.0,6.4,5.1,21.0,119.7
Home,42.3,90.2,46.9,11.2,32.6,34.4,21.6,28.1,76.9,11.1,34.8,45.9,24.4,14.9,8.9,6.8,5.3,21.7,117.4
Road,44.4,91.3,48.7,12.6,32.8,38.3,20.8,26.8,77.4,11.2,37.0,48.2,25.6,15.2,9.0,6.0,4.9,20.2,122.2
Wins,40.5,92.0,44.0,9.6,32.4,29.5,21.8,27.5,79.2,11.5,30.9,42.4,22.6,13.2,8.5,6.2,5.2,21.9,112.2
Losses,44.6,90.2,49.4,12.9,32.9,39.2,20.9,27.4,76.3,11.0,38.0,49.0,26.0,15.8,9.1,6.5,5.1,20.6,122.9
October,36.0,85.8,42.0,10.6,35.4,29.9,21.8,27.4,79.6,12.0,32.8,44.8,21.0,17.6,9.8,7.6,5.2,20.8,104.4
November,43.9,89.3,49.2,14.1,36.1,39.2,22.0,28.0,78.6,11.0,33.9,44.9,25.8,16.1,8.7,7.6,4.6,22.1,124.0
December,44.4,92.0,48.3,9.8,28.0,34.9,16.8,22.4,75.1,11.4,38.6,49.9,24.6,16.2,9.3,5.5,5.3,18.6,115.4
January,42.1,89.8,46.8,9.9,30.3,32.7,25.1,33.3,75.4,10.7,36.2,46.9,24.4,13.3,8.7,5.2,5.6,21.9,119.1
February,45.2,93.9,48.1,13.5,35.2,38.3,19.3,24.2,79.9,11.6,35.5,47.1,25.2,14.0,8.2,6.8,5.1,21.6,123.1
March,44.8,90.6,49.4,14.2,34.4,41.3,23.6,31.2,75.6,10.4,37.2,47.6,28.8,13.4,10.6,6.6,4.4,19.6,127.4
Pre All-Star,43.1,90.4,47.7,11.6,32.2,36.0,21.1,27.3,77.1,11.2,35.8,47.0,24.6,15.3,9.0,6.3,5.2,20.8,118.9
Post All-Star,44.3,92.2,48.0,13.5,35.4,38.0,21.8,28.2,77.4,10.8,36.2,47.0,26.9,13.5,8.8,6.9,4.4,21.7,123.8
0 Days Rest,44.8,87.6,51.1,14.0,33.3,42.0,20.9,27.2,77.0,11.8,33.8,45.5,25.5,16.8,10.1,6.3,4.4,20.8,124.4
1 Days Rest,43.5,91.7,47.5,11.6,32.6,35.5,21.0,27.5,76.2,11.1,36.5,47.5,25.0,14.5,8.7,6.5,5.3,21.1,119.7
2 Days Rest,45.5,92.5,49.2,12.5,36.0,34.7,24.0,28.5,84.2,11.0,36.0,47.0,26.5,17.0,9.0,7.0,4.0,26.0,127.5
3 Days Rest,39.8,87.5,45.4,10.8,28.8,37.4,21.3,26.5,80.2,10.0,38.0,48.0,24.5,15.0,8.8,5.5,6.3,16.3,111.5
4 Days Rest,38.0,91.0,41.8,8.0,33.0,24.2,16.0,23.0,69.6,11.0,30.0,41.0,18.0,15.0,9.0,8.0,5.0,17.0,100.0
6+ Days Rest,37.5,91.5,41.0,10.5,37.0,28.4,26.5,30.0,88.3,12.0,33.0,45.0,24.0,14.5,7.5,6.0,4.0,25.5,112.0
