BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.4,113.0,43,21,.672,41.2,89.6,45.9,12.4,34.2,36.3,18.3,22.8,80.1,10.7,35.3,46.0,22.8,13.6,8.3,5.6,21.4,6.2
Home,32,48.6,115.6,23,9,.719,41.9,89.8,46.6,12.8,34.3,37.2,19.1,23.5,81.1,10.2,35.0,45.3,23.8,13.2,8.2,5.8,20.8,8.2
Road,32,48.2,110.4,20,12,.625,40.4,89.4,45.2,12.1,34.2,35.3,17.5,22.2,79.0,11.1,35.6,46.7,21.8,14.1,8.3,5.4,21.9,4.2
Wins,43,48.2,116.5,43,0,1.000,42.6,89.2,47.7,13.0,33.5,38.8,18.4,22.7,81.0,10.8,36.4,47.3,23.5,13.3,8.3,6.1,21.1,12.7
Losses,21,48.7,105.8,0,21,.000,38.3,90.5,42.3,11.1,35.6,31.3,18.1,23.1,78.2,10.4,33.0,43.3,21.4,14.3,8.1,4.6,21.9,-7.2
October,4,48.0,109.8,3,1,.750,39.5,96.0,41.1,13.0,36.5,35.6,17.8,25.0,71.0,12.3,34.8,47.0,22.0,11.0,8.0,5.8,23.8,6.5
November,14,48.4,110.9,10,4,.714,40.2,89.3,45.0,11.5,33.8,34.0,18.9,22.7,83.3,10.4,36.2,46.6,24.1,13.8,9.4,5.6,20.2,6.0
December,13,48.0,112.6,10,3,.769,42.0,87.1,48.2,12.9,34.7,37.3,15.7,19.6,80.0,10.5,34.0,44.5,22.8,14.4,6.8,6.8,21.8,10.3
January,16,48.0,114.2,9,7,.563,41.9,89.7,46.8,11.9,33.2,36.0,18.4,22.8,80.5,10.5,34.8,45.3,24.2,14.3,8.6,5.3,21.1,4.9
February,12,49.3,117.2,9,3,.750,41.5,88.8,46.7,13.3,33.3,40.0,20.8,26.3,79.4,10.3,37.3,47.6,20.8,13.3,8.0,4.6,22.2,6.5
March,5,49.0,108.8,2,3,.400,39.6,93.6,42.3,12.4,37.8,32.8,17.2,21.6,79.6,12.2,33.4,45.6,20.0,12.4,8.8,5.6,20.6,-1.2
Pre All-Star,54,48.3,113.1,38,16,.704,41.2,89.2,46.3,12.3,33.9,36.4,18.3,22.8,80.2,10.5,35.2,45.7,23.3,13.8,8.3,5.7,21.4,6.9
Post All-Star,10,49.0,112.5,5,5,.500,40.7,92.0,44.2,12.8,35.9,35.7,18.3,23.0,79.6,11.6,35.7,47.3,20.3,12.7,8.0,5.0,21.2,2.4
0 Days Rest,9,48.0,109.0,5,4,.556,40.1,87.7,45.8,11.6,33.9,34.1,17.2,21.9,78.7,10.3,31.9,42.2,20.0,12.7,8.9,5.4,21.0,2.6
1 Days Rest,42,48.4,114.2,28,14,.667,41.4,89.8,46.1,12.7,34.2,37.0,18.7,22.9,81.4,10.7,35.7,46.4,23.7,13.9,8.4,5.5,21.5,6.8
2 Days Rest,8,49.3,111.4,6,2,.750,41.5,90.9,45.7,12.5,35.6,35.1,15.9,20.5,77.4,11.6,34.9,46.5,22.9,14.4,9.4,6.5,19.6,8.5
3 Days Rest,2,48.0,117.5,2,0,1.000,44.5,88.5,50.3,14.5,35.5,40.8,14.0,18.0,77.8,4.5,40.5,45.0,24.5,12.0,4.5,8.0,21.5,8.5
5 Days Rest,1,48.0,109.0,1,0,1.000,35.0,86.0,40.7,12.0,38.0,31.6,27.0,30.0,90.0,14.0,40.0,54.0,13.0,16.0,3.0,4.0,21.0,6.0
6+ Days Rest,2,48.0,110.0,1,1,.500,38.5,92.5,41.6,8.5,27.5,30.9,24.5,35.5,69.0,13.0,36.5,49.5,19.5,11.0,4.5,4.0,27.5,-2.0
