BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,38.3,86.8,44.2,11.8,34.5,34.2,18.4,24.2,76.1,10.2,34.0,44.3,22.2,15.3,7.0,5.6,5.6,20.6,106.8
Home,38.8,86.8,44.7,12.2,36.2,33.8,17.6,23.3,75.4,9.7,33.1,42.8,22.9,15.7,6.4,5.5,5.8,21.1,107.4
Road,37.9,86.8,43.7,11.3,32.8,34.6,19.2,25.0,76.8,10.8,35.0,45.8,21.5,15.0,7.5,5.7,5.4,20.1,106.3
Wins,37.2,86.7,42.8,11.4,34.4,33.1,18.1,23.7,76.4,10.2,32.2,42.4,21.4,15.0,6.5,5.3,6.1,20.1,103.8
Losses,40.7,86.9,46.9,12.6,34.5,36.4,19.0,25.1,75.6,10.3,37.9,48.1,23.9,15.9,8.0,6.1,4.6,21.5,113.0
October,35.8,81.8,43.7,11.5,34.3,33.6,20.3,27.8,73.0,9.5,42.5,52.0,20.5,19.8,4.5,5.3,5.8,27.3,103.3
November,38.5,89.6,43.0,12.7,37.1,34.3,15.1,20.2,74.9,11.9,34.6,46.5,24.3,15.8,6.1,6.2,5.6,20.7,104.9
December,37.5,84.2,44.5,10.5,30.8,34.3,16.8,22.9,73.5,9.1,30.7,39.8,22.0,15.0,7.7,4.6,6.8,18.8,102.3
January,39.6,86.8,45.6,11.5,32.9,34.9,18.6,24.7,75.4,9.3,33.9,43.2,23.5,14.8,7.4,5.4,5.3,19.8,109.3
February,37.7,87.4,43.1,12.2,36.8,33.0,23.2,28.7,80.8,10.3,34.1,44.3,19.0,14.0,7.3,5.9,4.6,21.1,110.7
March,39.8,88.2,45.1,12.6,36.2,34.8,17.8,23.0,77.4,12.2,34.8,47.0,21.6,16.4,7.0,6.0,5.6,21.2,110.0
Pre All-Star,38.1,86.4,44.1,11.6,33.8,34.3,18.4,24.1,76.1,10.0,33.9,44.0,22.4,15.4,6.9,5.5,5.7,20.6,106.2
Post All-Star,39.3,88.8,44.3,12.9,38.3,33.7,18.6,24.3,76.5,11.3,34.6,45.9,20.8,14.8,7.5,5.9,5.0,20.6,110.1
0 Days Rest,38.7,84.8,45.6,12.2,32.8,37.3,16.9,22.9,73.8,12.0,35.1,47.1,22.1,15.4,7.1,4.7,5.4,20.4,106.4
1 Days Rest,38.5,86.9,44.3,11.3,33.3,34.1,19.0,24.7,77.0,9.8,33.5,43.4,22.3,15.3,7.0,5.6,5.5,20.5,107.4
2 Days Rest,37.8,88.0,42.9,13.0,40.3,32.3,14.4,20.0,71.9,11.1,33.1,44.3,21.6,17.4,7.6,5.3,6.5,19.1,102.9
3 Days Rest,39.0,88.5,44.1,13.5,39.0,34.6,17.5,23.0,76.1,8.0,36.0,44.0,21.5,12.0,3.0,5.0,8.0,19.5,109.0
5 Days Rest,34.0,87.0,39.1,15.0,43.0,34.9,20.0,25.0,80.0,10.0,32.0,42.0,23.0,8.0,7.0,10.0,4.0,20.0,103.0
6+ Days Rest,36.5,87.0,42.0,11.0,35.5,31.0,28.0,35.5,78.9,10.0,42.5,52.5,23.5,13.5,7.0,8.5,4.0,30.5,112.0
