BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.6,110.8,30,34,.469,40.0,90.0,44.4,12.9,37.9,34.0,18.0,24.1,74.4,10.8,37.6,48.5,24.0,15.5,6.5,4.6,20.7,-0.6
Home,32,48.3,111.2,18,14,.563,40.4,88.1,45.8,12.8,35.8,35.9,17.6,24.3,72.3,10.8,38.0,48.8,24.2,16.9,6.8,4.2,20.3,1.7
Road,32,48.9,110.3,12,20,.375,39.6,92.0,43.0,12.9,39.9,32.3,18.3,23.9,76.5,10.9,37.3,48.2,23.9,14.2,6.1,4.9,21.1,-3.0
Wins,30,48.5,116.3,30,0,1.000,41.9,89.1,47.0,13.3,36.3,36.5,19.3,25.4,76.0,11.3,39.1,50.4,25.4,15.9,7.4,4.7,20.4,10.8
Losses,34,48.7,105.9,0,34,.000,38.3,90.9,42.1,12.5,39.2,32.0,16.8,23.1,72.8,10.4,36.4,46.8,22.9,15.1,5.6,4.4,20.9,-10.8
October,4,50.5,120.0,1,3,.250,42.5,93.3,45.6,14.0,36.8,38.1,21.0,30.8,68.3,12.5,37.8,50.3,22.3,19.8,7.8,5.3,24.3,-2.0
November,15,48.0,110.5,9,6,.600,40.1,89.5,44.8,12.9,38.0,34.0,17.5,23.1,75.5,9.9,35.9,45.8,24.2,15.3,6.9,5.2,21.7,-1.2
December,13,48.8,107.8,6,7,.462,39.3,92.2,42.7,11.5,37.1,30.9,17.7,23.5,75.4,11.0,41.1,52.1,23.3,15.2,6.2,4.5,20.1,0.1
January,15,48.7,109.3,5,10,.333,39.7,87.3,45.5,13.1,36.8,35.5,16.8,23.2,72.4,9.9,35.3,45.2,24.1,16.1,7.1,4.1,19.3,-4.4
February,12,48.4,112.4,5,7,.417,40.6,91.7,44.3,14.1,39.6,35.6,17.2,22.7,75.7,11.8,38.7,50.5,25.7,13.6,5.7,4.3,20.2,4.7
March,5,49.0,112.2,4,1,.800,38.6,88.0,43.9,12.0,39.4,30.5,23.0,30.0,76.7,12.6,38.2,50.8,22.8,16.6,5.0,4.0,21.4,-1.2
Pre All-Star,53,48.6,110.5,25,28,.472,40.1,90.1,44.5,12.8,37.4,34.2,17.7,23.8,74.2,10.6,37.6,48.3,24.0,15.7,6.7,4.7,20.4,-0.5
Post All-Star,11,48.9,111.8,5,6,.455,39.5,90.0,43.9,13.4,40.1,33.3,19.4,25.8,75.0,11.8,37.6,49.5,24.2,14.7,5.4,3.8,21.7,-1.5
0 Days Rest,9,48.6,103.4,2,7,.222,39.0,90.8,43.0,11.7,36.0,32.4,13.8,19.6,70.5,10.7,35.6,46.2,22.8,14.3,6.1,4.3,21.2,-6.9
1 Days Rest,40,48.5,111.7,23,17,.575,40.2,88.3,45.5,12.8,37.3,34.3,18.7,24.9,75.0,9.8,38.7,48.6,24.5,16.2,6.6,4.4,20.4,1.9
2 Days Rest,11,48.5,114.4,4,7,.364,41.4,94.0,44.0,14.0,41.3,33.9,17.6,23.1,76.4,14.1,35.6,49.7,25.4,14.7,6.9,4.9,19.4,-3.3
3 Days Rest,1,48.0,119.0,1,0,1.000,41.0,99.0,41.4,16.0,37.0,43.2,21.0,30.0,70.0,16.0,35.0,51.0,18.0,9.0,6.0,9.0,25.0,4.0
4 Days Rest,2,50.5,104.0,0,2,.000,34.5,89.5,38.5,14.0,42.0,33.3,21.0,31.0,67.7,9.5,39.5,49.0,18.0,14.5,5.5,6.0,24.5,-6.5
6+ Days Rest,1,53.0,104.0,0,1,.000,36.0,102.0,35.3,10.0,34.0,29.4,22.0,28.0,78.6,15.0,34.0,49.0,22.0,16.0,3.0,1.0,27.0,-8.0
