BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.2,93.3,44.2,12.1,34.6,35.0,16.9,22.1,76.3,10.8,35.2,46.0,22.4,12.6,7.8,5.3,4.6,20.9,111.4
Home,40.4,92.3,43.8,11.9,34.8,34.2,16.8,21.7,77.6,9.8,34.1,43.9,22.2,13.0,8.3,4.8,4.2,20.8,109.5
Road,42.0,94.2,44.6,12.3,34.5,35.8,16.9,22.6,74.9,11.7,36.3,48.0,22.7,12.3,7.2,5.9,4.9,20.9,113.3
Wins,39.1,91.5,42.7,11.2,34.8,32.3,16.1,21.2,75.8,9.5,32.2,41.7,21.5,13.7,7.8,5.0,4.7,22.0,105.4
Losses,43.1,94.8,45.5,12.9,34.5,37.4,17.6,22.9,76.6,11.9,37.9,49.7,23.2,11.7,7.7,5.7,4.4,19.9,116.7
October,44.8,97.0,46.1,13.8,31.8,43.3,18.8,25.3,74.3,10.0,35.3,45.3,24.5,15.0,10.3,5.0,5.3,26.5,122.0
November,40.9,93.3,43.9,11.3,33.2,34.1,18.5,23.3,79.4,11.3,35.5,46.8,21.3,13.5,8.0,4.9,5.2,20.8,111.7
December,39.2,94.9,41.3,12.6,37.1,34.0,16.6,22.2,75.0,12.1,35.9,48.0,20.2,12.6,6.7,6.8,4.5,20.4,107.7
January,42.6,90.9,46.9,12.2,33.6,36.3,16.3,21.7,75.4,10.0,36.1,46.1,23.7,13.5,8.3,5.1,4.1,20.3,113.7
February,40.6,92.5,43.9,10.9,33.6,32.5,15.7,20.8,75.2,10.4,33.6,44.0,23.7,10.3,6.9,5.0,4.3,19.1,107.8
March,41.8,94.8,44.1,14.4,40.2,35.8,15.4,20.2,76.2,9.2,34.0,43.2,23.4,11.0,8.4,4.6,4.0,23.6,113.4
Pre All-Star,41.2,93.3,44.1,11.8,34.1,34.6,16.8,22.1,75.9,11.0,35.4,46.3,22.1,13.0,7.8,5.5,4.7,20.9,111.0
Post All-Star,41.3,92.8,44.5,13.5,37.1,36.5,17.3,22.2,77.9,9.7,34.5,44.2,24.2,10.9,7.6,4.5,3.8,20.8,113.4
0 Days Rest,42.0,92.7,45.3,10.8,31.7,34.0,15.6,21.9,71.1,11.7,35.8,47.4,21.8,12.1,7.6,7.0,4.3,18.8,110.3
1 Days Rest,40.5,93.5,43.3,12.3,35.7,34.5,16.6,21.8,76.1,10.6,34.7,45.3,22.6,12.7,8.1,4.8,4.4,21.0,109.9
2 Days Rest,43.5,91.8,47.4,13.5,34.5,39.3,17.0,22.2,76.6,10.2,35.0,45.2,24.3,12.7,7.1,6.0,4.9,21.2,117.6
3 Days Rest,40.0,97.0,41.2,11.0,30.0,36.7,24.0,25.0,96.0,13.0,35.0,48.0,11.0,11.0,3.0,9.0,9.0,24.0,115.0
4 Days Rest,41.5,100.0,41.5,11.0,36.0,30.6,16.5,21.5,76.7,12.5,43.5,56.0,19.5,13.5,7.5,3.0,6.0,24.5,110.5
6+ Days Rest,38.0,86.0,44.2,4.0,22.0,18.2,32.0,35.0,91.4,11.0,37.0,48.0,19.0,14.0,10.0,6.0,1.0,22.0,112.0
