BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.5,102.9,23,42,.354,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11.0,31.8,42.8,23.8,14.6,6.6,4.1,18.8,-6.8
Home,31,48.5,104.2,10,21,.323,37.8,85.7,44.1,12.1,33.8,35.7,16.6,22.3,74.5,11.1,31.4,42.5,24.2,15.2,6.4,4.5,18.9,-5.3
Road,34,48.4,101.6,13,21,.382,36.9,86.2,42.8,12.1,34.8,34.7,15.8,21.0,75.1,10.9,32.1,43.1,23.5,14.0,6.7,3.8,18.7,-8.1
Wins,23,48.4,107.2,23,0,1.000,38.3,84.4,45.4,13.1,34.4,38.1,17.5,22.9,76.6,11.9,33.4,45.3,23.8,14.2,6.3,4.3,17.5,6.0
Losses,42,48.5,100.5,0,42,.000,36.8,86.8,42.4,11.5,34.3,33.6,15.5,21.0,73.8,10.5,30.9,41.4,23.8,14.8,6.7,4.0,19.5,-13.7
October,5,48.0,108.0,2,3,.400,39.8,86.0,46.3,15.0,35.8,41.9,13.4,18.6,72.0,10.0,32.4,42.4,25.4,19.6,5.8,3.8,21.4,-9.6
November,16,48.3,104.7,6,10,.375,38.4,87.0,44.1,12.2,35.3,34.6,15.8,21.5,73.3,10.4,30.5,40.9,23.3,14.4,7.1,4.1,18.6,-8.3
December,15,48.3,101.5,5,10,.333,36.2,86.6,41.8,11.6,34.5,33.7,17.5,23.5,74.4,12.1,32.7,44.8,23.6,14.1,6.9,5.0,20.3,-4.7
January,12,48.8,101.5,3,9,.250,36.3,84.7,42.9,11.5,33.2,34.7,17.3,22.3,77.6,10.8,31.3,42.1,24.9,14.6,5.8,3.8,19.1,-7.8
February,11,48.0,97.9,5,6,.455,36.3,85.3,42.5,10.8,32.9,32.9,14.5,20.3,71.7,11.1,33.9,45.0,22.3,14.3,6.5,3.7,16.5,-8.9
March,6,49.7,109.2,2,4,.333,39.0,85.2,45.8,14.0,35.2,39.8,17.2,21.0,81.7,10.7,29.7,40.3,25.2,12.8,6.8,3.8,17.2,0.7
Pre All-Star,54,48.4,102.9,18,36,.333,37.4,86.3,43.4,12.0,34.5,34.8,16.1,21.5,74.6,11.1,31.8,42.9,23.8,14.8,6.5,4.2,19.1,-7.3
Post All-Star,11,48.9,102.7,5,6,.455,36.7,84.3,43.6,12.5,33.4,37.3,16.8,22.2,75.8,10.5,31.7,42.3,24.1,13.7,6.8,3.8,17.2,-4.1
0 Days Rest,11,48.0,104.5,3,8,.273,37.7,86.5,43.6,13.7,36.4,37.8,15.3,20.5,74.7,10.5,30.2,40.7,23.4,12.6,5.5,3.5,19.3,-9.0
1 Days Rest,42,48.5,102.5,15,27,.357,37.2,85.6,43.5,11.9,33.9,35.2,16.1,21.4,75.3,11.0,32.6,43.6,24.4,15.1,6.7,4.5,19.1,-6.2
2 Days Rest,5,49.0,103.8,2,3,.400,38.2,87.6,43.6,10.6,31.6,33.5,16.8,24.8,67.7,11.4,27.4,38.8,21.8,13.2,8.8,3.0,16.4,-8.0
3 Days Rest,3,48.0,100.0,1,2,.333,34.7,87.0,39.8,11.0,35.7,30.8,19.7,25.0,78.7,12.0,31.0,43.0,20.3,12.7,5.3,3.7,16.3,-8.0
4 Days Rest,2,50.5,92.5,0,2,.000,35.5,88.5,40.1,8.5,36.0,23.6,13.0,19.0,68.4,13.0,33.5,46.5,23.5,16.5,6.0,4.5,22.5,-12.5
6+ Days Rest,2,48.0,114.5,2,0,1.000,40.0,81.0,49.4,15.5,36.0,43.1,19.0,22.5,84.4,9.0,33.5,42.5,25.0,18.5,6.0,4.0,17.0,5.5
