BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.7,87.5,47.6,12.4,35.1,35.2,14.0,18.4,75.8,10.9,35.0,46.0,26.6,14.4,8.0,5.0,4.1,20.6,109.6
Home,41.7,87.5,47.7,12.4,34.2,36.3,13.6,18.0,75.5,11.2,33.7,44.9,26.3,14.5,8.4,5.2,4.5,20.8,109.5
Road,41.6,87.6,47.5,12.3,35.8,34.3,14.3,18.8,76.0,10.7,36.2,46.9,26.9,14.3,7.7,4.9,3.8,20.3,109.7
Wins,39.0,88.0,44.3,10.9,35.0,31.1,12.4,16.7,74.0,11.5,31.6,43.1,23.6,13.9,7.1,4.4,4.3,21.4,101.3
Losses,43.1,87.3,49.4,13.2,35.1,37.5,14.8,19.3,76.6,10.6,36.9,47.5,28.3,14.6,8.5,5.4,4.0,20.1,114.2
October,45.0,93.6,48.1,11.6,35.6,32.6,16.0,20.0,80.0,12.4,33.8,46.2,26.8,16.0,10.2,6.2,3.8,21.2,117.6
November,43.2,87.3,49.5,13.6,34.2,39.7,13.0,17.5,74.3,9.9,36.5,46.4,28.3,15.8,8.2,3.6,4.1,20.6,112.9
December,39.7,87.2,45.6,11.3,35.0,32.4,15.4,19.5,78.8,11.1,35.4,46.5,25.5,14.1,7.9,5.9,5.0,21.4,106.2
January,42.1,86.5,48.7,12.4,34.0,36.5,12.8,17.3,73.6,11.2,34.6,45.8,26.3,14.2,6.8,5.4,3.8,21.3,109.3
February,40.6,88.5,45.9,12.0,36.4,33.0,13.5,18.4,73.8,11.0,34.7,45.7,26.2,11.8,8.7,5.2,3.7,19.0,106.8
March,40.7,84.3,48.2,12.8,36.8,34.8,14.3,19.0,75.4,11.3,32.5,43.8,26.8,15.2,7.3,4.8,3.8,19.3,108.5
Pre All-Star,41.9,87.9,47.6,12.6,35.2,35.7,13.9,18.3,76.4,10.9,35.2,46.1,26.8,14.5,8.0,5.0,4.2,20.6,110.2
Post All-Star,40.7,86.0,47.4,11.4,34.5,32.9,14.0,19.2,73.0,11.2,34.1,45.3,26.1,13.6,8.2,5.3,3.8,20.5,106.8
0 Days Rest,43.1,87.2,49.4,12.8,34.5,37.1,14.5,19.3,75.0,10.7,36.5,47.3,25.9,14.3,7.1,4.6,3.5,20.4,113.5
1 Days Rest,40.9,87.5,46.7,12.5,36.3,34.5,14.5,19.0,76.3,11.1,34.5,45.6,27.1,14.0,8.4,5.0,4.5,20.1,108.7
2 Days Rest,44.2,84.2,52.5,13.0,30.0,43.3,10.4,12.4,83.9,7.6,37.6,45.2,28.8,19.2,6.8,6.4,3.0,24.2,111.8
3 Days Rest,42.0,86.7,48.5,12.0,34.3,35.0,12.0,15.3,78.3,10.3,36.7,47.0,24.0,14.0,6.0,7.0,3.7,22.0,108.0
4 Days Rest,42.0,90.5,46.4,9.5,29.5,32.2,11.5,20.0,57.5,12.5,35.5,48.0,22.0,12.5,8.5,4.0,4.5,19.0,105.0
6+ Days Rest,43.0,96.0,44.8,8.0,30.5,26.2,15.0,20.5,73.2,16.0,27.5,43.5,24.5,13.0,11.5,3.5,4.0,21.5,109.0
