BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.2,106.8,22,43,.338,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,15.5,10.0,4.1,21.8,-3.1
Home,34,48.0,106.1,14,20,.412,39.4,88.8,44.4,12.0,34.6,34.7,15.3,20.3,75.3,11.1,32.3,43.4,23.3,16.2,9.9,4.4,22.0,-1.5
Road,31,48.5,107.6,8,23,.258,39.8,88.5,45.0,12.4,35.6,34.8,15.7,20.7,75.8,9.7,30.4,40.2,23.2,14.6,10.2,3.7,21.6,-4.8
Wins,22,48.2,114.5,22,0,1.000,41.7,86.3,48.3,13.5,34.3,39.5,17.5,22.9,76.7,9.9,33.7,43.6,24.2,16.5,10.7,5.0,21.7,10.4
Losses,43,48.2,103.0,0,43,.000,38.5,89.8,42.9,11.5,35.5,32.4,14.4,19.3,74.8,10.7,30.2,41.0,22.7,14.9,9.7,3.6,21.9,-10.0
October,5,48.0,105.6,1,4,.200,38.6,94.0,41.1,10.6,36.2,29.3,17.8,23.0,77.4,11.6,30.2,41.8,21.0,11.6,9.2,4.6,21.8,-6.0
November,15,48.0,106.2,5,10,.333,38.3,89.7,42.8,12.5,35.0,35.8,17.0,23.2,73.3,10.9,34.0,44.9,23.7,16.5,9.9,3.7,23.4,-3.7
December,14,48.7,105.7,7,7,.500,38.5,87.2,44.1,13.3,35.5,37.4,15.4,19.1,80.9,9.5,34.1,43.6,23.4,16.1,10.1,5.1,20.9,3.5
January,17,48.3,106.1,6,11,.353,39.8,86.2,46.2,11.1,34.5,32.0,15.4,19.9,77.3,9.3,30.2,39.5,22.8,14.4,10.0,3.6,19.8,-4.8
February,9,48.0,111.8,1,8,.111,42.1,88.9,47.4,13.8,35.6,38.8,13.8,20.0,68.9,12.3,26.8,39.1,23.9,17.8,10.4,3.2,23.3,-8.1
March,5,48.0,106.8,2,3,.400,42.0,92.2,45.6,10.8,34.4,31.4,12.0,16.6,72.3,11.4,29.4,40.8,24.2,13.8,10.2,5.0,23.4,-1.8
Pre All-Star,55,48.3,106.4,19,36,.345,39.1,88.4,44.2,12.2,35.2,34.6,15.9,20.9,76.2,10.3,32.1,42.4,23.1,15.4,9.9,4.0,21.3,-3.1
Post All-Star,10,48.0,109.4,3,7,.300,42.1,89.8,46.9,12.2,34.4,35.5,13.0,18.3,71.0,11.6,27.3,38.9,23.8,15.7,10.7,4.6,24.4,-3.0
0 Days Rest,9,48.0,109.3,7,2,.778,40.8,87.1,46.8,13.3,35.8,37.3,14.4,19.9,72.6,9.2,30.7,39.9,24.7,16.7,12.1,4.8,22.9,3.4
1 Days Rest,45,48.3,105.3,11,34,.244,39.0,89.0,43.9,11.9,35.5,33.6,15.3,20.2,75.7,10.3,31.8,42.1,23.0,15.2,9.5,4.2,22.1,-5.4
2 Days Rest,6,48.0,109.2,3,3,.500,39.0,85.5,45.6,12.5,34.2,36.6,18.7,22.8,81.8,10.5,32.3,42.8,21.5,17.2,9.3,3.2,19.8,0.5
3 Days Rest,2,48.0,117.0,0,2,.000,43.5,91.0,47.8,15.0,32.0,46.9,15.0,23.0,65.2,12.0,24.5,36.5,25.5,12.0,11.5,2.0,19.0,-8.0
4 Days Rest,1,48.0,116.0,1,0,1.000,43.0,87.0,49.4,15.0,31.0,48.4,15.0,19.0,78.9,13.0,38.0,51.0,22.0,17.0,13.0,5.0,15.0,35.0
5 Days Rest,1,48.0,125.0,0,1,.000,49.0,105.0,46.7,9.0,30.0,30.0,18.0,22.0,81.8,20.0,29.0,49.0,25.0,12.0,11.0,4.0,20.0,-1.0
6+ Days Rest,1,48.0,93.0,0,1,.000,37.0,87.0,42.5,7.0,31.0,22.6,12.0,19.0,63.2,12.0,26.0,38.0,24.0,14.0,12.0,3.0,23.0,-10.0
