BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.5,82.5,47.9,11.2,31.6,35.3,19.7,26.0,75.9,10.2,35.4,45.5,25.4,18.3,8.2,5.9,4.1,19.2,109.9
Home,38.7,82.3,47.0,10.7,31.8,33.7,19.5,25.6,76.2,9.6,35.3,45.0,25.1,18.3,9.0,6.1,4.4,19.5,107.6
Road,40.4,82.8,48.8,11.6,31.5,37.0,20.0,26.5,75.5,10.7,35.4,46.1,25.8,18.3,7.3,5.7,3.7,18.8,112.5
Wins,37.4,83.3,44.8,10.6,31.7,33.4,18.8,24.8,75.6,9.9,32.1,42.0,24.4,18.6,8.3,4.9,5.0,20.6,104.1
Losses,40.6,82.1,49.4,11.5,31.6,36.3,20.2,26.6,76.0,10.3,37.0,47.3,26.0,18.1,8.1,6.4,3.6,18.4,112.9
October,40.2,86.6,46.4,13.4,33.6,39.9,17.8,23.4,76.1,13.8,39.4,53.2,24.6,19.4,5.2,7.0,4.6,20.8,111.6
November,38.9,84.1,46.2,10.3,33.1,31.0,21.9,29.3,74.5,10.3,37.4,47.7,24.8,18.2,9.1,6.9,3.7,21.2,109.9
December,36.2,82.9,43.7,10.6,32.0,33.0,19.2,24.7,77.7,9.6,35.7,45.3,23.1,18.2,9.0,6.0,5.1,18.9,102.2
January,41.3,81.6,50.6,11.5,30.3,37.9,16.9,22.6,74.7,9.2,33.9,43.2,26.9,17.4,6.9,5.2,3.6,17.4,110.9
February,42.8,82.0,52.2,11.8,29.9,39.4,22.6,29.1,77.5,11.3,32.1,43.4,27.7,17.9,9.9,5.1,3.2,19.3,119.9
March,38.0,76.8,49.5,11.2,32.2,34.8,21.4,28.4,75.4,8.6,35.0,43.6,25.4,21.0,7.2,5.4,5.0,18.0,108.6
Pre All-Star,39.6,83.4,47.5,11.2,32.0,35.2,19.0,25.2,75.5,10.2,35.8,46.0,25.5,18.0,8.1,6.1,4.0,19.2,109.5
Post All-Star,38.9,77.8,50.0,10.8,29.9,36.1,23.8,30.6,77.8,10.0,33.0,43.0,25.3,19.7,8.4,4.9,4.6,19.2,112.4
0 Days Rest,37.3,79.3,47.1,11.0,29.8,36.9,20.2,26.0,77.8,9.4,34.1,43.6,23.7,21.2,7.8,5.3,4.8,20.2,105.9
1 Days Rest,39.8,82.9,48.0,10.8,31.6,34.2,20.3,26.8,75.8,10.3,36.4,46.6,25.5,17.6,8.0,6.3,4.2,18.8,110.7
2 Days Rest,39.0,83.5,46.7,12.7,33.5,37.8,18.0,24.2,74.5,10.0,31.5,41.5,25.0,18.2,10.3,4.8,3.2,21.7,108.7
3 Days Rest,48.0,86.0,55.8,12.0,29.0,41.4,17.0,26.0,65.4,13.0,34.5,47.5,33.5,19.0,9.0,5.5,2.0,19.5,125.0
4 Days Rest,32.0,86.0,37.2,9.0,34.0,26.5,8.0,11.0,72.7,9.0,30.0,39.0,24.0,21.0,8.0,5.0,5.0,16.0,81.0
5 Days Rest,45.0,88.0,51.1,23.0,44.0,52.3,13.0,16.0,81.3,9.0,32.0,41.0,28.0,19.0,3.0,4.0,4.0,18.0,126.0
6+ Days Rest,35.0,74.0,47.3,8.0,28.0,28.6,25.0,29.0,86.2,9.0,35.0,44.0,22.0,18.0,9.0,4.0,3.0,16.0,103.0
