BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.4,106.9,19,46,.292,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,16.5,6.9,3.2,18.3,-7.9
Home,36,48.4,108.6,11,25,.306,40.8,88.3,46.2,11.9,32.2,36.8,15.1,19.6,77.3,11.3,33.8,45.1,23.9,16.2,6.9,3.6,17.9,-6.5
Road,29,48.3,104.8,8,21,.276,39.7,87.4,45.4,10.3,31.4,33.0,15.1,20.4,74.1,10.3,32.9,43.2,22.1,16.9,6.8,2.8,18.8,-9.6
Wins,19,49.1,113.4,19,0,1.000,42.2,86.7,48.6,10.3,29.3,35.2,18.7,24.4,76.7,11.5,37.8,49.4,22.7,18.1,7.1,4.7,19.2,8.5
Losses,46,48.1,104.2,0,46,.000,39.5,88.4,44.7,11.5,32.9,35.1,13.6,18.1,75.4,10.5,31.6,42.1,23.2,15.8,6.8,2.7,17.9,-14.7
October,4,48.0,106.0,2,2,.500,39.8,86.5,46.0,10.5,32.0,32.8,16.0,21.8,73.6,10.5,37.8,48.3,21.8,16.5,5.5,4.8,19.5,-2.3
November,15,48.0,104.3,3,12,.200,37.6,87.3,43.1,11.1,32.0,34.8,18.0,22.7,79.2,10.1,32.9,43.1,20.3,14.8,7.9,2.5,17.9,-8.7
December,14,48.4,103.9,5,9,.357,40.2,88.3,45.6,10.5,31.9,32.9,12.9,18.1,71.5,10.9,33.7,44.6,22.1,18.0,6.9,4.0,16.8,-11.2
January,16,48.3,107.5,3,13,.188,41.3,88.3,46.8,11.2,30.9,36.2,13.7,17.3,79.1,11.2,33.1,44.3,23.0,16.4,6.1,2.9,19.6,-8.3
February,11,48.9,111.5,4,7,.364,42.4,89.1,47.6,11.9,32.3,36.9,14.9,20.0,74.5,10.8,33.1,43.9,26.5,17.5,6.8,3.5,18.2,-5.8
March,5,49.0,111.6,2,3,.400,41.2,86.0,47.9,12.2,33.0,37.0,17.0,23.6,72.0,11.8,32.2,44.0,27.8,15.6,7.4,2.8,18.6,-3.8
Pre All-Star,54,48.3,106.1,14,40,.259,40.1,88.3,45.4,11.1,32.0,34.8,14.9,19.4,76.5,10.9,33.6,44.4,22.4,16.4,6.9,3.2,18.4,-8.9
Post All-Star,11,48.9,110.6,5,6,.455,41.4,85.9,48.1,11.5,31.1,36.8,16.5,22.5,73.0,10.7,32.7,43.5,26.6,16.9,7.0,3.4,17.9,-3.1
0 Days Rest,12,48.8,107.8,4,8,.333,38.9,86.3,45.1,11.2,32.0,34.9,18.8,24.8,76.1,10.6,34.4,45.0,22.4,19.3,6.2,2.8,18.9,-10.5
1 Days Rest,38,48.4,107.3,9,29,.237,40.7,88.3,46.1,11.9,32.4,36.7,14.0,18.3,76.5,10.7,33.2,43.9,24.1,15.7,6.9,3.0,18.1,-7.6
2 Days Rest,10,48.0,107.5,5,5,.500,41.2,88.4,46.6,9.6,30.9,31.1,15.5,20.0,77.5,11.6,32.7,44.3,21.6,16.6,7.9,4.5,19.1,-1.0
3 Days Rest,3,48.0,101.0,0,3,.000,39.0,90.0,43.3,8.0,27.7,28.9,15.0,21.7,69.2,11.3,29.7,41.0,20.0,13.7,7.3,3.3,15.0,-28.7
6+ Days Rest,2,48.0,99.0,1,1,.500,38.0,84.5,45.0,10.0,30.5,32.8,13.0,20.0,65.0,10.0,40.5,50.5,19.5,19.0,5.5,4.0,19.5,-2.0
