BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,43.9,89.4,49.1,12.4,33.0,37.5,14.7,19.2,76.7,9.7,33.1,42.9,26.1,13.0,9.4,6.3,3.2,19.6,114.8
Home,43.7,89.4,48.9,13.2,33.9,38.8,14.5,18.3,79.1,9.0,32.9,41.9,26.4,12.7,9.3,6.1,3.6,19.2,115.1
Road,44.1,89.4,49.3,11.4,31.8,35.8,14.9,20.2,74.0,10.6,33.5,44.1,25.8,13.4,9.7,6.6,2.8,20.2,114.4
Wins,40.2,92.0,43.7,11.0,33.9,32.4,13.5,18.2,74.0,10.4,29.9,40.3,23.2,13.4,10.1,6.0,4.7,22.3,104.9
Losses,45.4,88.3,51.4,12.9,32.6,39.7,15.2,19.5,77.8,9.5,34.5,43.9,27.3,12.8,9.2,6.5,2.7,18.5,118.9
October,40.8,88.8,45.9,12.5,33.8,37.0,14.3,19.8,72.2,7.5,33.5,41.0,25.3,12.3,8.5,4.8,4.8,21.0,108.3
November,43.9,89.8,48.8,11.9,32.6,36.4,13.5,17.5,76.8,10.5,35.6,46.1,25.7,13.9,7.7,7.7,2.5,21.4,113.1
December,44.0,89.4,49.2,13.3,34.1,39.0,13.8,17.9,76.9,9.1,32.2,41.4,26.0,12.2,10.0,6.9,4.0,18.5,115.1
January,44.1,89.2,49.5,11.8,32.4,36.2,15.8,20.8,76.2,10.3,31.7,41.9,25.5,12.2,9.4,5.4,2.9,18.1,115.8
February,44.8,90.5,49.5,12.4,32.7,37.8,15.4,20.1,76.5,9.5,32.6,42.1,29.5,13.3,11.1,6.3,3.5,19.3,117.4
March,43.0,87.2,49.3,13.2,32.6,40.5,16.2,19.8,81.8,10.0,33.8,43.8,23.4,14.8,10.2,5.2,2.8,22.2,115.4
Pre All-Star,44.0,89.4,49.2,12.3,32.9,37.4,14.7,19.3,76.5,9.7,33.3,43.1,26.0,12.7,9.1,6.4,3.2,19.4,115.0
Post All-Star,43.3,89.2,48.5,12.7,33.3,38.3,14.5,18.6,77.6,9.8,32.2,42.0,26.9,14.2,10.9,6.1,3.4,20.6,113.7
0 Days Rest,45.1,90.2,50.0,11.2,30.5,36.6,17.0,21.9,77.6,9.0,31.5,40.5,26.3,12.6,12.2,7.2,2.8,21.3,118.3
1 Days Rest,43.7,89.1,49.1,12.9,33.7,38.3,14.6,18.9,77.0,10.1,33.5,43.7,25.8,12.7,8.8,6.3,3.0,18.8,114.9
2 Days Rest,41.8,87.1,48.0,11.8,31.9,37.0,13.1,17.2,76.2,8.4,32.4,40.8,26.5,15.2,8.4,5.8,4.5,20.3,108.5
3 Days Rest,51.0,94.0,54.3,14.7,37.0,39.6,13.0,16.7,78.0,10.7,36.3,47.0,29.7,11.3,8.7,7.7,3.3,20.0,129.7
6+ Days Rest,39.0,96.0,40.6,9.0,33.5,26.9,14.0,21.0,66.7,12.0,34.5,46.5,24.0,12.5,12.0,3.5,4.0,22.0,101.0
