BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,67,48.3,116.4,40,27,.597,41.6,90.0,46.2,15.3,41.5,36.9,17.9,23.1,77.3,10.6,36.4,47.0,24.5,12.8,6.3,5.0,19.0,6.0
Home,34,48.6,116.1,19,15,.559,41.4,89.6,46.2,14.8,40.4,36.7,18.4,23.9,77.2,10.4,35.9,46.3,24.2,12.8,6.1,4.9,18.8,6.0
Road,33,48.0,116.7,21,12,.636,41.8,90.3,46.3,15.8,42.6,37.1,17.3,22.3,77.3,10.9,36.9,47.8,24.8,12.8,6.4,5.0,19.3,6.1
Wins,40,48.1,121.4,40,0,1.000,43.7,90.0,48.5,16.3,40.9,39.7,17.7,22.9,77.5,10.5,38.3,48.8,25.6,12.6,6.4,5.4,17.8,14.8
Losses,27,48.6,109.0,0,27,.000,38.5,89.9,42.8,13.9,42.3,32.9,18.1,23.5,77.0,10.9,33.5,44.4,22.9,13.1,6.0,4.4,20.9,-6.9
October,4,48.0,114.8,3,1,.750,39.5,86.8,45.5,12.8,40.8,31.3,23.0,31.0,74.2,9.8,36.0,45.8,24.0,13.0,6.8,5.0,19.3,4.0
November,14,48.4,118.9,9,5,.643,42.1,90.6,46.5,14.9,39.7,37.6,19.7,25.1,78.6,11.0,37.1,48.1,24.6,13.2,6.4,4.4,20.1,8.7
December,15,48.3,114.3,9,6,.600,40.5,90.0,45.0,15.9,43.3,36.7,17.5,22.1,79.5,11.2,37.5,48.7,24.5,12.9,6.8,4.6,18.9,7.4
January,15,48.3,116.0,8,7,.533,42.6,90.3,47.2,14.6,40.3,36.3,16.2,22.3,72.8,12.0,33.8,45.8,23.1,12.2,5.1,4.9,19.3,2.1
February,12,48.0,118.3,7,5,.583,41.4,88.7,46.7,16.9,42.2,40.1,18.6,22.4,82.9,9.0,36.3,45.3,25.5,12.3,5.3,5.5,19.3,6.2
March,7,48.7,113.9,4,3,.571,42.3,91.9,46.0,15.1,43.0,35.2,14.1,19.9,71.2,9.0,38.6,47.6,25.6,13.7,8.6,6.3,16.3,7.1
Pre All-Star,55,48.3,116.4,33,22,.600,41.5,89.8,46.2,15.2,41.0,37.1,18.3,23.4,78.1,11.1,36.0,47.0,24.3,12.5,6.0,4.7,19.1,6.0
Post All-Star,12,48.4,116.0,7,5,.583,42.2,90.6,46.6,15.8,43.5,36.2,15.9,21.8,73.2,8.7,38.3,46.9,25.5,14.0,7.4,6.3,18.6,6.3
0 Days Rest,12,48.0,113.8,7,5,.583,42.1,88.7,47.5,13.8,38.4,35.8,15.9,19.8,80.3,11.1,35.1,46.2,23.7,13.8,6.3,4.7,17.3,4.0
1 Days Rest,43,48.3,117.5,25,18,.581,41.8,90.9,46.0,16.3,43.2,37.8,17.7,23.0,76.8,10.3,36.0,46.3,25.2,12.1,6.4,5.2,19.4,6.0
2 Days Rest,7,48.7,116.4,4,3,.571,40.7,89.6,45.5,12.9,37.3,34.5,22.1,28.7,77.1,12.6,38.1,50.7,23.0,14.0,5.6,3.9,19.4,8.9
3 Days Rest,3,48.0,110.3,2,1,.667,40.7,89.7,45.4,14.7,42.3,34.6,14.3,20.7,69.4,12.0,39.0,51.0,23.3,12.7,6.0,5.3,20.0,4.0
5 Days Rest,1,48.0,108.0,1,0,1.000,35.0,76.0,46.1,11.0,36.0,30.6,27.0,33.0,81.8,5.0,41.0,46.0,17.0,20.0,6.0,5.0,22.0,8.0
6+ Days Rest,1,48.0,122.0,1,0,1.000,43.0,84.0,51.2,15.0,38.0,39.5,21.0,26.0,80.8,8.0,42.0,50.0,26.0,16.0,6.0,7.0,14.0,16.0
