BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.4,91.2,45.4,11.8,34.3,34.5,15.6,20.7,75.7,10.6,34.7,45.3,23.8,12.2,7.1,4.0,5.0,20.8,110.3
Home,41.1,90.0,45.7,11.1,32.3,34.5,16.6,21.5,77.3,10.5,34.6,45.1,22.8,12.6,7.1,4.1,4.9,21.5,110.1
Road,41.7,92.4,45.1,12.5,36.4,34.5,14.6,19.8,73.9,10.8,34.7,45.5,24.8,11.8,7.1,3.9,5.0,20.0,110.6
Wins,40.8,92.5,44.1,11.6,35.9,32.2,13.5,18.4,73.6,10.6,33.6,44.2,23.7,12.0,6.7,3.8,5.4,19.8,106.6
Losses,42.4,89.3,47.5,12.3,32.0,38.3,18.8,24.1,78.0,10.7,36.3,47.0,23.9,12.6,7.7,4.4,4.4,22.3,115.9
October,42.5,92.3,46.1,11.5,34.0,33.8,14.3,18.0,79.2,11.0,37.3,48.3,23.3,14.5,6.0,2.8,5.0,27.0,110.8
November,41.1,91.8,44.7,11.9,33.5,35.4,16.2,22.2,73.0,11.5,33.9,45.4,23.2,12.1,7.6,4.1,4.4,22.3,110.2
December,39.1,89.6,43.6,11.1,34.6,32.0,17.7,22.5,78.9,10.0,34.9,44.9,22.6,12.7,7.3,3.9,4.6,19.1,106.9
January,42.7,90.9,47.0,12.2,33.1,36.9,16.3,20.5,79.5,11.3,33.2,44.5,24.7,11.1,6.7,3.9,4.9,20.7,113.9
February,42.0,91.5,45.9,12.2,35.8,34.0,16.0,21.7,73.8,10.3,35.0,45.3,23.8,11.1,6.8,3.9,5.5,20.1,112.2
March,42.9,93.0,46.1,12.3,35.4,34.7,8.7,13.9,62.9,9.3,37.1,46.4,25.4,14.3,7.6,5.1,6.3,19.1,106.7
Pre All-Star,41.3,90.7,45.5,11.8,33.8,34.8,16.2,21.0,77.1,10.8,34.2,45.0,23.6,12.0,7.0,3.9,4.7,20.9,110.5
Post All-Star,42.2,93.3,45.2,12.2,36.5,33.3,13.2,19.3,68.4,10.0,36.9,46.9,24.5,13.1,7.6,4.8,6.3,20.1,109.7
0 Days Rest,42.3,90.0,47.0,11.4,34.2,33.4,13.8,18.5,74.3,10.1,32.0,42.1,24.8,11.9,7.8,4.3,4.7,19.9,109.8
1 Days Rest,41.6,91.3,45.5,12.3,34.0,36.0,16.1,21.3,75.5,11.0,35.8,46.7,23.7,12.3,6.6,4.0,5.2,20.5,111.5
2 Days Rest,40.7,91.0,44.7,10.6,33.3,31.8,15.6,19.9,78.4,9.1,32.6,41.7,23.9,12.9,7.6,4.3,3.9,23.7,107.6
3 Days Rest,38.7,89.7,43.1,11.7,36.3,32.1,17.3,23.7,73.2,10.0,35.3,45.3,20.0,10.7,8.7,4.0,5.3,17.7,106.3
5 Days Rest,37.0,93.0,39.8,11.0,41.0,26.8,15.0,18.0,83.3,11.0,36.0,47.0,26.0,17.0,6.0,3.0,5.0,32.0,100.0
6+ Days Rest,41.0,104.0,39.4,9.0,43.0,20.9,15.0,19.0,78.9,16.0,32.0,48.0,21.0,8.0,11.0,2.0,7.0,22.0,106.0
