BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.5,110.4,43,22,.662,41.8,88.9,47.1,10.9,30.4,35.8,15.9,20.5,77.5,10.8,33.5,44.3,26.5,13.7,8.1,4.6,20.0,3.0
Home,33,48.3,111.3,25,8,.758,42.4,88.7,47.8,10.2,29.3,34.9,16.3,21.5,75.7,10.7,34.4,45.1,27.5,12.9,7.9,4.6,19.8,6.0
Road,32,48.6,109.5,18,14,.563,41.3,89.1,46.3,11.5,31.5,36.6,15.4,19.4,79.5,10.8,32.6,43.5,25.5,14.5,8.4,4.7,20.3,-0.2
Wins,43,48.3,113.7,43,0,1.000,42.6,88.5,48.2,11.7,30.0,38.8,16.8,21.7,77.6,11.0,35.1,46.0,27.7,13.9,8.1,4.9,19.9,9.8
Losses,22,48.7,104.0,0,22,.000,40.3,89.7,44.9,9.4,31.1,30.1,14.0,18.1,77.4,10.4,30.5,40.9,24.2,13.3,8.1,4.2,20.3,-10.5
October,5,49.0,106.0,3,2,.600,38.4,90.2,42.6,10.6,30.6,34.6,18.6,22.6,82.3,11.4,34.4,45.8,22.4,14.4,7.4,5.0,23.0,-0.4
November,12,48.8,107.0,10,2,.833,41.4,90.9,45.6,10.3,29.1,35.5,13.8,19.9,69.5,11.3,37.1,48.4,27.3,14.0,8.2,5.1,19.8,7.2
December,16,48.0,109.7,10,6,.625,41.8,88.7,47.1,11.0,30.8,35.7,15.2,19.0,79.9,11.0,31.3,42.3,27.2,13.6,7.9,4.1,18.6,3.5
January,16,48.3,112.3,11,5,.688,41.7,90.1,46.3,10.8,31.4,34.4,18.1,22.6,80.3,11.2,33.4,44.6,25.6,12.6,8.6,4.7,20.0,1.8
February,10,49.0,115.5,6,4,.600,44.2,86.0,51.4,10.9,28.5,38.2,16.2,20.9,77.5,9.4,33.1,42.5,27.2,13.8,7.8,5.2,20.4,2.6
March,6,48.0,109.2,3,3,.500,42.2,85.8,49.1,12.0,32.3,37.1,12.8,17.3,74.0,9.5,32.7,42.2,28.0,15.5,8.5,3.8,21.3,-0.5
Pre All-Star,55,48.5,110.4,38,17,.691,41.7,89.6,46.5,10.9,30.6,35.7,16.2,20.9,77.7,11.0,33.8,44.9,26.5,13.3,8.1,4.7,19.9,3.8
Post All-Star,10,48.0,110.2,5,5,.500,42.8,84.9,50.4,10.7,29.5,36.3,13.9,18.2,76.4,9.2,31.8,41.0,26.8,15.9,8.6,4.2,21.0,-1.5
0 Days Rest,10,48.5,112.5,8,2,.800,42.5,89.5,47.5,11.7,31.4,37.3,15.8,19.5,81.0,11.6,35.4,47.0,25.6,13.9,7.5,4.2,19.3,3.2
1 Days Rest,39,48.5,111.3,25,14,.641,42.2,89.3,47.3,11.1,30.9,36.0,15.8,20.3,77.7,10.8,33.1,43.9,27.1,13.6,7.9,4.5,20.4,3.2
2 Days Rest,13,48.0,108.0,9,4,.692,41.6,89.0,46.8,9.3,28.3,32.9,15.5,21.0,73.6,10.3,33.1,43.4,26.5,12.7,9.1,5.5,19.4,3.4
3 Days Rest,1,53.0,97.0,0,1,.000,36.0,87.0,41.4,11.0,32.0,34.4,14.0,21.0,66.7,9.0,39.0,48.0,23.0,17.0,11.0,5.0,21.0,-3.0
5 Days Rest,1,48.0,108.0,1,0,1.000,34.0,81.0,42.0,18.0,32.0,56.3,22.0,27.0,81.5,11.0,34.0,45.0,24.0,20.0,11.0,4.0,23.0,8.0
6+ Days Rest,1,48.0,101.0,0,1,.000,37.0,77.0,48.1,6.0,27.0,22.2,21.0,23.0,91.3,8.0,31.0,39.0,19.0,19.0,7.0,3.0,20.0,-12.0
