BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.6,86.2,45.9,11.6,33.6,34.6,16.7,22.1,75.6,10.0,32.8,42.8,25.0,14.3,7.1,4.5,4.6,20.0,107.4
Home,38.8,86.1,45.1,11.5,34.2,33.7,16.2,21.6,74.6,9.8,32.5,42.3,24.7,14.0,6.7,4.2,4.6,20.6,105.3
Road,40.3,86.4,46.7,11.7,32.9,35.6,17.3,22.6,76.6,10.3,33.2,43.4,25.3,14.6,7.6,4.8,4.7,19.3,109.7
Wins,37.8,86.0,44.0,11.3,34.5,32.7,16.9,22.1,76.4,9.7,31.8,41.4,24.3,14.2,7.2,4.6,4.9,20.3,103.9
Losses,42.9,86.8,49.4,12.2,31.8,38.5,16.4,22.1,74.1,10.7,34.9,45.6,26.4,14.5,7.1,4.3,4.2,19.5,114.5
October,37.6,85.0,44.2,11.0,32.6,33.7,20.2,25.4,79.5,10.0,35.8,45.8,24.4,15.2,6.6,4.4,5.0,23.2,106.4
November,36.9,87.4,42.2,10.2,34.2,29.8,15.8,21.8,72.5,9.5,35.4,44.9,23.8,14.5,7.6,4.8,5.1,20.3,99.8
December,40.3,86.0,46.8,10.7,32.5,32.9,15.0,19.8,75.7,10.7,31.9,42.6,23.8,14.9,7.2,4.8,4.1,19.3,106.2
January,40.6,85.4,47.5,12.3,32.6,37.8,16.9,22.9,73.8,9.9,32.6,42.5,26.3,14.3,6.7,5.6,4.7,19.8,110.5
February,40.7,88.3,46.1,13.0,34.4,37.8,18.5,23.2,79.7,10.3,30.9,41.2,26.0,12.6,6.9,3.0,5.2,19.7,112.9
March,39.8,84.3,47.2,13.3,37.5,35.6,16.7,22.0,75.8,9.0,31.7,40.7,26.2,14.5,8.2,2.8,3.8,19.3,109.7
Pre All-Star,39.5,86.4,45.7,11.3,32.9,34.2,16.5,22.0,75.0,10.0,33.3,43.3,24.8,14.3,6.9,4.8,4.7,20.1,106.7
Post All-Star,40.0,85.3,46.9,13.6,37.1,36.7,18.1,22.9,79.0,10.0,30.5,40.5,26.1,14.2,8.2,2.9,4.2,19.6,111.7
0 Days Rest,41.3,88.3,46.8,12.7,37.4,34.0,14.0,18.8,74.5,9.1,32.6,41.7,26.3,13.6,7.4,3.8,4.2,18.8,109.3
1 Days Rest,39.6,85.7,46.2,11.6,33.4,34.7,17.4,23.2,74.7,9.6,32.4,42.0,24.7,14.0,7.0,4.7,4.5,19.8,108.2
2 Days Rest,38.5,85.5,45.0,11.8,32.4,36.3,15.9,20.9,76.1,11.1,34.1,45.2,26.6,15.4,6.5,4.7,5.5,20.8,104.6
3 Days Rest,37.0,96.0,38.5,8.0,33.0,24.2,18.0,21.0,85.7,13.0,37.0,50.0,22.0,16.0,12.0,4.0,5.0,23.0,100.0
5 Days Rest,36.0,87.0,41.4,7.0,28.0,25.0,21.0,23.0,91.3,13.0,35.0,48.0,13.0,20.0,9.0,4.0,4.0,25.0,100.0
6+ Days Rest,40.0,87.0,46.0,9.0,26.0,34.6,24.0,27.0,88.9,14.0,30.0,44.0,19.0,12.0,12.0,3.0,3.0,19.0,113.0
