BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,66,48.4,107.2,20,46,.303,39.3,85.7,45.9,12.0,32.7,36.7,16.6,22.4,74.3,9.8,32.0,41.7,24.1,15.3,7.4,4.5,19.7,-3.6
Home,33,48.6,109.3,11,22,.333,40.2,85.8,46.9,12.2,32.6,37.4,16.6,22.6,73.6,9.8,32.0,41.9,24.6,15.0,7.0,4.6,19.5,-2.1
Road,33,48.2,105.2,9,24,.273,38.4,85.7,44.8,11.8,32.7,35.9,16.6,22.2,75.1,9.7,31.9,41.5,23.5,15.5,7.8,4.5,19.8,-5.1
Wins,20,48.3,118.1,20,0,1.000,43.6,85.6,50.9,13.3,31.6,42.1,17.7,22.8,77.8,9.6,34.9,44.5,27.0,15.0,7.9,4.7,18.4,14.0
Losses,46,48.4,102.5,0,46,.000,37.5,85.8,43.7,11.4,33.2,34.4,16.2,22.2,72.8,9.8,30.7,40.5,22.8,15.4,7.2,4.5,20.2,-11.2
October,5,48.0,107.8,2,3,.400,39.0,81.6,47.8,11.2,26.8,41.8,18.6,24.8,75.0,8.8,33.0,41.8,23.4,19.0,5.8,4.4,20.4,-4.8
November,14,48.0,106.6,4,10,.286,38.7,83.9,46.1,12.5,32.9,38.0,16.6,22.4,74.4,9.6,32.8,42.4,25.1,15.9,6.9,5.6,20.0,-1.4
December,15,48.0,110.0,6,9,.400,40.7,87.5,46.6,12.3,33.9,36.1,16.3,22.4,72.6,9.7,32.4,42.1,24.6,15.1,8.1,4.2,17.4,-3.1
January,16,48.9,110.4,5,11,.313,40.2,86.8,46.3,10.9,30.5,35.7,19.2,25.6,74.9,9.8,32.8,42.6,22.7,14.6,8.5,4.9,20.6,-1.9
February,11,48.9,102.5,3,8,.273,38.5,87.2,44.1,12.3,34.3,35.8,13.4,16.8,79.5,11.5,29.8,41.3,24.4,15.0,6.5,3.7,19.5,-5.8
March,5,48.0,100.4,0,5,.000,36.2,83.2,43.5,13.4,37.6,35.6,14.6,21.6,67.6,7.4,29.2,36.6,24.0,13.2,7.2,3.2,22.4,-9.8
Pre All-Star,57,48.4,108.0,19,38,.333,39.6,86.0,46.1,11.8,32.0,36.8,16.9,22.7,74.4,9.9,32.4,42.4,24.1,15.5,7.4,4.7,19.3,-2.6
Post All-Star,9,48.0,102.6,1,8,.111,37.2,84.0,44.3,13.2,37.0,35.7,14.9,20.1,74.0,8.6,28.9,37.4,23.8,13.9,7.6,3.4,21.9,-9.7
0 Days Rest,11,48.5,99.0,1,10,.091,35.9,86.7,41.4,11.5,33.2,34.5,15.7,21.1,74.6,7.9,31.2,39.1,22.6,13.7,7.4,4.6,20.1,-10.7
1 Days Rest,40,48.5,108.1,14,26,.350,40.0,85.5,46.8,11.8,31.7,37.4,16.3,22.3,73.1,10.4,32.4,42.8,24.4,15.8,7.5,4.6,19.2,-2.1
2 Days Rest,12,48.0,112.6,4,8,.333,41.0,86.7,47.3,13.3,36.0,37.0,17.3,22.5,76.7,9.5,30.2,39.7,24.3,13.9,8.0,3.8,20.4,-0.1
4 Days Rest,1,48.0,89.0,0,1,.000,28.0,83.0,33.7,8.0,33.0,24.2,25.0,32.0,78.1,12.0,34.0,46.0,23.0,17.0,6.0,8.0,20.0,-20.0
6+ Days Rest,2,48.0,112.5,1,1,.500,40.5,80.5,50.3,12.0,30.5,39.3,19.5,24.5,79.6,8.5,37.0,45.5,25.5,20.0,4.0,5.5,22.0,-5.5
