BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.9,87.3,48.0,10.7,29.6,36.1,16.2,20.9,77.7,10.1,33.4,43.5,24.6,14.0,8.2,5.6,4.5,19.8,110.8
Home,42.1,87.8,48.0,11.1,30.3,36.5,16.1,20.6,78.4,10.1,32.8,42.9,24.4,13.7,8.3,5.1,4.6,20.1,111.4
Road,41.8,86.9,48.1,10.3,28.8,35.8,16.4,21.2,77.1,10.1,34.0,44.2,24.9,14.3,8.2,6.1,4.5,19.6,110.2
Wins,39.8,88.2,45.2,9.5,28.8,33.0,15.0,19.9,75.6,10.1,30.1,40.2,23.3,13.8,8.3,4.8,4.7,19.8,104.1
Losses,42.9,87.0,49.3,11.2,29.9,37.4,16.8,21.3,78.6,10.1,34.8,45.0,25.2,14.1,8.2,6.0,4.5,19.8,113.7
October,43.4,88.4,49.1,10.2,26.8,38.1,15.6,20.0,78.0,8.0,31.0,39.0,27.4,14.6,10.8,3.4,4.4,21.8,112.6
November,40.4,87.0,46.4,11.6,31.1,37.2,15.7,20.8,75.6,10.1,32.0,42.1,25.1,14.2,7.6,5.1,5.6,20.2,108.0
December,42.5,89.1,47.6,12.0,32.3,37.1,16.2,20.7,78.4,10.7,34.0,44.7,23.7,13.7,7.8,6.2,4.2,19.3,113.1
January,42.8,88.9,48.1,10.3,28.5,36.0,16.5,21.1,78.3,10.4,34.6,45.0,24.1,14.9,7.9,6.1,4.9,20.9,112.4
February,42.1,85.1,49.5,9.0,27.0,33.3,15.2,19.4,78.4,9.6,33.3,42.9,26.5,13.0,8.2,5.6,3.7,18.2,108.4
March,40.2,81.6,49.3,9.8,28.8,34.0,20.0,25.6,78.1,10.8,34.2,45.0,20.6,12.6,9.6,5.6,3.2,18.2,110.2
Pre All-Star,41.9,88.2,47.5,10.8,29.9,36.1,15.9,20.5,77.9,10.2,33.4,43.6,24.8,14.1,8.0,5.7,4.7,20.2,110.6
Post All-Star,42.0,81.8,51.4,10.0,27.7,36.1,18.2,23.7,77.0,9.4,33.4,42.9,23.4,13.0,9.9,4.9,3.4,17.6,112.2
0 Days Rest,41.2,86.4,47.7,10.6,29.3,36.3,16.7,21.5,77.6,10.4,38.0,48.4,24.0,15.3,6.9,6.8,4.6,18.9,109.7
1 Days Rest,41.8,87.7,47.7,10.5,29.2,35.9,16.1,20.2,79.5,10.0,32.4,42.4,25.1,13.7,8.6,5.4,4.6,19.9,110.2
2 Days Rest,42.9,86.3,49.8,11.3,31.7,35.8,15.5,21.3,72.7,10.3,32.4,42.7,23.5,14.1,7.8,5.3,3.8,19.8,112.7
4 Days Rest,39.0,91.0,42.9,14.0,27.0,51.9,17.0,26.0,65.4,12.0,43.0,55.0,25.0,15.0,9.0,7.0,8.0,24.0,109.0
6+ Days Rest,44.0,91.0,48.4,9.0,27.0,33.3,21.0,25.5,82.4,9.0,29.5,38.5,25.0,11.5,11.0,4.5,5.5,21.5,118.0
