BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.4,106.3,15,50,.231,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,14.9,8.2,4.6,20.1,-8.7
Home,34,48.3,107.0,8,26,.235,38.5,86.9,44.2,10.7,31.8,33.8,19.3,23.5,82.0,9.6,33.3,42.9,26.2,15.7,8.0,4.2,20.6,-8.7
Road,31,48.5,105.6,7,24,.226,38.8,89.5,43.3,10.1,30.7,32.9,18.0,22.9,78.5,10.4,32.4,42.8,24.9,14.1,8.4,5.0,19.5,-8.7
Wins,15,48.0,115.5,15,0,1.000,41.7,86.7,48.0,11.6,30.8,37.7,20.6,25.4,81.1,10.4,36.3,46.7,29.3,14.2,8.3,5.4,20.1,11.1
Losses,50,48.5,103.6,0,50,.000,37.7,88.6,42.6,10.1,31.4,32.1,18.1,22.6,80.1,9.8,31.9,41.7,24.5,15.1,8.2,4.4,20.0,-14.6
October,4,48.0,114.5,1,3,.250,39.0,94.3,41.4,10.5,34.5,30.4,26.0,30.3,86.0,13.3,33.0,46.3,26.3,16.0,9.0,2.5,20.0,-11.8
November,16,48.3,105.5,3,13,.188,38.4,88.0,43.7,9.5,28.3,33.6,19.1,23.0,83.2,9.2,33.5,42.7,24.1,13.8,7.6,5.0,19.3,-8.4
December,15,48.7,104.1,5,10,.333,38.5,88.5,43.4,9.9,28.5,34.9,17.2,22.2,77.5,11.3,33.1,44.4,23.8,15.0,8.7,5.3,19.9,-5.4
January,14,48.7,104.9,1,13,.071,37.3,89.0,41.9,11.5,33.7,34.1,18.9,23.3,81.0,9.6,33.3,42.9,26.2,15.2,8.7,3.6,20.2,-11.7
February,11,48.0,106.5,3,8,.273,39.5,85.7,46.1,10.3,32.6,31.5,17.2,21.5,79.7,8.5,31.5,40.1,27.5,16.4,9.0,5.7,20.7,-10.3
March,5,48.0,112.8,2,3,.400,41.0,85.6,47.9,12.2,36.8,33.2,18.6,25.2,73.8,9.6,32.2,41.8,29.0,13.2,5.2,3.4,21.2,-5.2
Pre All-Star,55,48.5,106.3,12,43,.218,38.4,88.6,43.3,10.5,30.7,34.1,19.1,23.5,81.1,10.0,33.0,43.1,25.2,14.7,8.5,4.7,19.9,-8.4
Post All-Star,10,48.0,106.5,3,7,.300,39.9,85.5,46.7,10.1,34.2,29.5,16.6,21.9,75.8,9.5,32.2,41.7,27.7,15.8,6.9,4.2,21.1,-10.2
0 Days Rest,7,48.0,104.7,1,6,.143,40.3,88.7,45.4,9.7,28.0,34.7,14.4,18.9,76.5,12.0,32.1,44.1,24.3,17.3,7.3,5.1,20.1,-15.4
1 Days Rest,46,48.4,106.3,13,33,.283,38.3,87.3,43.8,10.3,31.3,32.8,19.5,24.1,81.0,9.5,33.2,42.7,25.6,14.7,8.2,4.5,20.1,-6.8
2 Days Rest,9,48.6,106.3,1,8,.111,38.7,91.1,42.4,11.1,31.1,35.7,17.9,23.1,77.4,10.3,33.1,43.4,25.9,13.8,9.2,5.2,19.7,-9.7
3 Days Rest,1,48.0,104.0,0,1,.000,37.0,87.0,42.5,15.0,40.0,37.5,15.0,21.0,71.4,6.0,34.0,40.0,29.0,14.0,6.0,3.0,24.0,-11.0
5 Days Rest,1,48.0,122.0,0,1,.000,39.0,99.0,39.4,15.0,42.0,35.7,29.0,30.0,96.7,15.0,27.0,42.0,27.0,13.0,7.0,0.0,21.0,-19.0
6+ Days Rest,1,48.0,105.0,0,1,.000,44.0,89.0,49.4,7.0,33.0,21.2,10.0,12.0,83.3,13.0,27.0,40.0,26.0,23.0,11.0,7.0,16.0,-30.0
