BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,42.2,88.6,47.6,13.5,34.8,38.9,17.1,21.9,78.3,10.2,36.3,46.5,26.1,15.6,8.2,4.9,4.6,20.1,115.0
Home,42.1,87.6,48.0,13.7,35.0,39.2,17.9,22.8,78.2,9.7,35.5,45.2,26.3,15.2,8.7,4.4,4.2,19.8,115.7
Road,42.4,89.8,47.2,13.3,34.5,38.6,16.3,20.8,78.3,10.7,37.1,47.8,25.9,16.1,7.7,5.6,5.0,20.5,114.4
Wins,39.1,89.7,43.5,11.3,34.3,32.9,15.1,19.8,76.1,11.1,32.1,43.2,23.3,15.3,7.6,4.2,5.4,20.8,104.5
Losses,43.1,88.3,48.9,14.2,34.9,40.6,17.7,22.5,78.8,9.9,37.6,47.4,27.0,15.7,8.4,5.2,4.4,19.9,118.2
October,46.5,89.3,52.1,15.8,36.8,42.9,17.5,23.8,73.7,8.8,35.0,43.8,31.5,19.0,10.0,5.3,2.5,23.0,126.3
November,42.3,89.9,47.0,13.1,33.1,39.6,16.3,21.3,76.8,11.4,35.7,47.1,24.9,14.9,6.8,5.8,5.0,20.0,113.9
December,39.9,87.0,45.9,13.3,36.3,36.7,16.3,20.4,79.7,9.9,36.1,46.0,24.0,16.5,8.6,5.1,5.3,19.7,109.5
January,43.1,90.1,47.9,13.1,35.5,36.8,17.3,22.1,78.3,10.8,39.1,49.9,26.6,15.9,9.1,5.0,3.6,19.9,116.6
February,42.9,88.0,48.8,14.0,33.9,41.3,17.0,22.5,75.7,8.7,35.8,44.5,28.3,15.3,8.8,3.9,5.7,19.2,116.8
March,41.2,85.8,48.0,13.8,33.8,40.8,21.8,25.0,87.2,9.8,33.0,42.8,26.2,12.6,6.8,3.4,3.4,22.0,118.0
Pre All-Star,42.3,89.1,47.5,13.4,34.9,38.3,16.8,21.4,78.3,10.4,36.8,47.2,26.0,15.9,8.3,5.1,4.7,20.1,114.7
Post All-Star,41.6,85.9,48.4,14.4,34.3,42.0,19.1,24.4,78.3,8.9,33.7,42.6,26.9,13.9,7.8,4.3,4.2,20.5,116.7
0 Days Rest,43.9,88.6,49.5,15.4,36.3,42.5,17.0,21.1,80.4,9.6,33.1,42.7,28.1,14.3,9.6,5.1,5.1,17.4,120.1
1 Days Rest,41.6,89.0,46.8,12.8,34.3,37.4,17.0,21.9,77.6,10.7,36.5,47.2,25.5,15.6,8.1,4.7,4.5,20.7,113.1
2 Days Rest,42.7,88.6,48.2,14.0,35.0,40.0,16.7,21.1,78.9,9.8,38.1,47.9,26.1,16.1,7.9,6.0,5.2,19.6,116.0
3 Days Rest,42.0,82.0,51.2,11.0,32.0,34.4,20.0,26.0,76.9,2.0,42.0,44.0,28.0,16.0,5.0,3.0,3.0,18.0,115.0
5 Days Rest,50.0,80.0,62.5,18.0,32.0,56.3,23.0,30.0,76.7,3.0,36.0,39.0,33.0,20.0,7.0,5.0,0.0,24.0,141.0
6+ Days Rest,45.0,85.0,52.9,25.0,49.0,51.0,20.0,22.0,90.9,8.0,28.0,36.0,31.0,16.0,14.0,7.0,7.0,15.0,135.0
