BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.2,118.1,40,24,.625,41.1,90.7,45.4,15.4,44.3,34.8,20.5,26.0,78.7,10.4,34.6,44.9,21.5,14.7,8.5,5.1,21.6,3.8
Home,32,48.0,119.0,22,10,.688,41.8,92.1,45.3,14.7,43.7,33.7,20.8,26.8,77.6,10.6,36.3,46.9,22.0,13.8,8.3,5.5,21.5,6.8
Road,32,48.5,117.2,18,14,.563,40.5,89.2,45.4,16.1,44.8,35.9,20.1,25.2,79.9,10.1,32.8,42.9,21.0,15.5,8.6,4.8,21.7,0.7
Wins,40,48.1,123.3,40,0,1.000,42.9,90.6,47.3,16.6,44.2,37.6,21.0,26.5,79.1,10.2,35.3,45.5,21.7,14.4,9.0,5.5,20.9,12.7
Losses,24,48.4,109.5,0,24,.000,38.2,90.8,42.1,13.4,44.4,30.2,19.7,25.2,78.1,10.6,33.3,43.9,21.1,15.1,7.5,4.6,22.8,-11.1
October,4,48.0,128.0,3,1,.750,42.5,94.3,45.1,15.5,47.8,32.5,27.5,33.8,81.5,11.8,34.8,46.5,26.8,15.0,7.3,5.3,23.8,0.5
November,15,48.0,118.2,10,5,.667,40.2,89.0,45.2,15.7,45.2,34.8,22.1,28.7,76.8,10.7,36.8,47.5,20.3,15.4,8.8,4.5,21.9,7.2
December,15,48.7,118.3,10,5,.667,42.5,92.4,46.0,15.7,43.2,36.4,17.5,22.5,78.0,11.6,35.3,46.9,21.5,14.5,7.9,5.3,20.8,4.9
January,14,48.0,117.0,7,7,.500,40.9,90.9,45.0,13.8,40.3,34.2,21.4,27.3,78.3,10.4,34.6,45.0,21.5,14.9,7.5,5.2,21.9,0.7
February,11,48.5,119.3,9,2,.818,41.7,90.7,46.0,17.5,48.9,35.9,18.3,22.3,82.0,7.6,32.7,40.4,20.9,12.8,10.2,5.6,20.6,7.9
March,5,48.0,110.0,1,4,.200,37.8,87.0,43.4,13.2,42.6,31.0,21.2,26.8,79.1,10.4,29.2,39.6,22.2,16.0,9.0,5.0,22.6,-8.0
Pre All-Star,54,48.2,118.2,34,20,.630,41.1,91.0,45.1,15.2,43.9,34.7,20.9,26.5,78.7,10.6,35.1,45.6,21.4,14.5,8.2,5.0,21.5,3.7
Post All-Star,10,48.5,117.9,6,4,.600,41.5,88.9,46.7,16.5,46.3,35.6,18.4,23.4,78.6,9.2,31.9,41.1,22.1,15.4,9.7,5.9,22.0,4.0
0 Days Rest,9,48.0,108.1,3,6,.333,37.7,89.9,41.9,14.0,43.6,32.1,18.8,25.1,74.8,10.2,31.6,41.8,19.2,15.0,7.1,4.7,20.7,-8.2
1 Days Rest,41,48.0,119.6,28,13,.683,42.0,90.7,46.4,15.7,44.3,35.5,19.8,24.9,79.5,9.9,34.0,44.0,22.0,14.2,8.7,5.3,21.6,5.2
2 Days Rest,11,49.4,119.5,7,4,.636,41.1,91.8,44.8,14.6,43.6,33.5,22.6,28.6,79.0,11.8,37.6,49.5,20.4,16.4,8.5,4.5,22.6,6.2
4 Days Rest,1,48.0,122.0,1,0,1.000,39.0,92.0,42.4,13.0,45.0,28.9,31.0,41.0,75.6,16.0,43.0,59.0,22.0,13.0,7.0,7.0,21.0,7.0
5 Days Rest,1,48.0,111.0,0,1,.000,33.0,90.0,36.7,16.0,48.0,33.3,29.0,39.0,74.4,10.0,47.0,57.0,25.0,14.0,6.0,6.0,25.0,-6.0
6+ Days Rest,1,48.0,135.0,1,0,1.000,45.0,85.0,52.9,25.0,49.0,51.0,20.0,22.0,90.9,8.0,28.0,36.0,31.0,16.0,14.0,7.0,15.0,30.0
