BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,42.2,91.5,46.1,12.3,35.2,34.8,17.8,23.3,76.1,11.1,35.9,47.0,25.3,15.8,7.9,4.9,5.1,20.8,114.4
Home,40.8,92.1,44.4,12.5,36.1,34.5,18.0,24.2,74.5,11.6,36.3,47.8,24.3,15.3,7.3,4.5,5.5,20.8,112.2
Road,43.5,90.8,47.9,12.0,34.2,35.2,17.5,22.4,77.9,10.7,35.6,46.3,26.3,16.3,8.5,5.3,4.8,20.8,116.6
Wins,41.2,91.9,44.8,11.4,35.2,32.3,16.9,22.4,75.4,11.5,34.3,45.7,24.5,16.1,7.5,4.4,5.5,21.2,110.7
Losses,43.8,90.7,48.3,13.7,35.0,39.1,19.2,24.9,77.1,10.6,38.7,49.3,26.7,15.3,8.6,5.8,4.6,20.1,120.6
October,47.5,96.0,49.5,16.8,41.8,40.1,15.8,21.8,72.4,10.5,36.3,46.8,27.8,15.5,7.3,4.8,5.3,27.8,127.5
November,40.7,91.3,44.6,12.0,35.7,33.6,17.5,23.3,75.4,10.9,35.1,46.1,25.1,16.2,8.5,4.2,4.5,21.9,111.0
December,42.5,92.2,46.1,12.3,34.6,35.6,16.1,21.2,75.8,10.9,34.7,45.6,26.3,14.9,7.5,5.0,5.3,19.7,113.5
January,42.7,92.7,46.1,11.5,35.1,32.8,19.4,24.9,77.7,10.9,36.5,47.4,25.0,14.4,8.1,6.1,5.2,21.9,116.3
February,41.5,90.4,45.9,11.3,33.8,33.3,17.2,22.0,78.1,12.3,37.2,49.5,24.4,17.8,7.7,5.0,5.6,17.5,111.4
March,41.4,85.0,48.7,13.4,33.2,40.4,21.8,29.6,73.6,11.2,37.2,48.4,23.8,17.2,7.6,3.6,5.0,19.2,118.0
Pre All-Star,42.3,91.7,46.2,12.3,35.4,34.9,17.5,22.8,76.6,10.8,35.9,46.8,25.7,15.6,7.8,5.0,5.0,21.3,114.5
Post All-Star,41.5,90.3,46.0,11.8,34.0,34.7,19.1,26.0,73.5,12.7,35.8,48.5,23.3,16.9,8.2,4.4,5.9,18.1,113.9
0 Days Rest,42.6,89.7,47.5,11.9,34.9,34.1,19.3,23.9,80.9,10.8,38.8,49.6,24.3,14.9,8.6,4.9,4.7,18.9,116.3
1 Days Rest,42.3,91.2,46.4,12.5,34.5,36.2,17.3,22.9,75.4,11.5,35.2,46.7,25.4,16.2,7.5,4.4,5.3,20.5,114.4
2 Days Rest,41.2,91.9,44.8,11.7,36.4,32.3,19.2,25.6,74.8,10.0,35.7,45.7,25.5,15.4,8.7,6.0,4.5,22.4,113.3
4 Days Rest,39.0,106.0,36.8,13.0,44.0,29.5,24.0,27.0,88.9,16.0,38.0,54.0,20.0,11.0,6.0,8.0,7.0,29.0,115.0
5 Days Rest,46.0,99.0,46.5,16.0,46.0,34.8,9.0,18.0,50.0,6.0,47.0,53.0,31.0,11.0,7.0,10.0,6.0,27.0,117.0
6+ Days Rest,44.0,89.0,49.4,7.0,33.0,21.2,10.0,12.0,83.3,13.0,27.0,40.0,26.0,23.0,11.0,7.0,7.0,16.0,105.0
