BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.3,109.3,39,26,.600,42.2,88.4,47.7,10.0,27.5,36.3,15.1,19.1,78.7,8.8,34.0,42.8,25.9,13.1,7.2,5.1,19.6,1.9
Home,32,48.5,110.1,21,11,.656,42.1,88.6,47.5,9.5,27.4,34.7,16.3,20.9,78.2,9.3,35.0,44.3,26.0,12.8,6.8,5.8,19.0,4.5
Road,33,48.2,108.6,18,15,.545,42.2,88.2,47.9,10.4,27.6,37.8,13.8,17.4,79.3,8.4,33.1,41.4,25.8,13.4,7.6,4.5,20.2,-0.5
Wins,39,48.4,113.0,39,0,1.000,43.6,87.9,49.6,10.1,26.5,38.2,15.6,19.8,78.8,9.2,35.6,44.8,26.9,13.1,7.2,5.5,19.2,10.7
Losses,26,48.2,103.9,0,26,.000,40.0,89.1,44.9,9.7,28.9,33.6,14.2,18.1,78.6,8.3,31.6,39.8,24.5,13.2,7.2,4.6,20.2,-11.3
October,4,48.0,105.3,1,3,.250,41.0,91.5,44.8,8.8,24.0,36.5,14.5,17.5,82.9,10.0,29.5,39.5,24.5,12.3,8.8,3.8,24.3,-3.0
November,15,48.7,110.8,11,4,.733,43.3,90.5,47.8,9.6,26.5,36.2,14.7,18.1,81.2,10.1,36.5,46.5,24.9,14.8,6.6,5.8,20.1,7.1
December,15,48.3,108.3,10,5,.667,40.9,88.8,46.0,11.2,30.2,37.1,15.4,19.6,78.6,8.3,34.4,42.7,26.5,11.8,6.7,5.0,18.9,1.9
January,14,48.4,112.5,9,5,.643,43.4,86.5,50.2,10.2,26.2,39.0,15.4,19.9,77.7,8.6,31.3,39.9,27.9,12.1,7.6,4.7,18.8,1.5
February,12,48.0,106.4,5,7,.417,41.3,87.3,47.3,9.3,28.8,32.1,14.7,19.3,75.9,8.3,34.7,42.9,26.2,13.4,7.5,5.2,19.3,-0.9
March,5,48.0,109.4,3,2,.600,42.2,86.2,49.0,9.4,25.4,37.0,15.6,19.8,78.8,7.8,35.2,43.0,22.8,14.8,8.0,5.8,19.4,-1.6
Pre All-Star,55,48.4,109.7,32,23,.582,42.3,88.5,47.8,10.2,27.8,36.6,15.0,19.0,78.9,8.8,33.7,42.5,26.2,12.9,7.0,5.0,19.7,2.1
Post All-Star,10,48.0,107.2,7,3,.700,41.4,87.7,47.2,8.9,25.9,34.4,15.5,19.9,77.9,9.1,35.5,44.6,24.3,14.5,8.6,5.9,18.8,0.8
0 Days Rest,8,48.6,105.9,3,5,.375,40.0,88.9,45.0,10.9,29.5,36.9,15.0,19.5,76.9,8.9,32.8,41.6,25.1,15.6,7.9,6.3,19.1,-7.5
1 Days Rest,46,48.2,110.5,30,16,.652,43.1,89.0,48.4,9.8,27.2,36.2,14.5,18.4,79.0,9.0,34.5,43.6,26.1,12.8,7.5,5.1,19.8,3.5
2 Days Rest,7,48.7,105.1,4,3,.571,39.1,84.6,46.3,9.7,27.7,35.1,17.1,22.4,76.4,8.0,32.7,40.7,26.7,12.6,5.0,3.9,18.7,2.9
3 Days Rest,1,48.0,112.0,0,1,.000,44.0,90.0,48.9,14.0,31.0,45.2,10.0,12.0,83.3,2.0,32.0,34.0,27.0,4.0,8.0,4.0,16.0,-1.0
4 Days Rest,1,48.0,111.0,1,0,1.000,43.0,79.0,54.4,10.0,24.0,41.7,15.0,16.0,93.8,7.0,35.0,42.0,26.0,19.0,6.0,6.0,14.0,5.0
6+ Days Rest,2,48.0,108.0,1,1,.500,38.5,88.5,43.5,8.0,24.5,32.7,23.0,28.5,80.7,11.0,32.0,43.0,23.0,13.0,7.5,5.5,25.0,-0.5
