BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.5,88.1,44.8,11.4,33.2,34.5,17.0,21.6,78.9,10.1,34.6,44.7,23.2,14.4,6.8,4.5,5.1,18.6,107.4
Home,39.0,88.9,43.9,10.9,33.4,32.7,16.7,21.3,78.3,10.6,34.7,45.3,22.8,14.3,6.7,4.0,5.8,19.8,105.6
Road,39.9,87.3,45.7,11.9,33.0,36.2,17.4,21.8,79.5,9.7,34.5,44.2,23.5,14.4,7.0,4.9,4.5,17.5,109.1
Wins,38.2,88.2,43.3,10.3,32.1,32.2,15.5,20.2,76.6,9.7,32.7,42.4,22.6,14.6,6.6,4.5,5.5,19.2,102.2
Losses,41.3,88.0,47.0,13.1,34.8,37.7,19.3,23.6,81.9,10.7,37.5,48.1,24.0,14.1,7.2,4.4,4.6,17.8,115.2
October,39.8,83.0,47.9,11.3,27.5,40.9,17.5,24.5,71.4,12.3,35.5,47.8,22.8,19.3,5.5,5.3,3.8,19.5,108.3
November,37.8,87.9,43.0,11.3,32.8,34.3,16.8,21.3,78.8,8.1,33.3,41.4,22.2,14.5,7.5,4.5,5.8,19.2,103.7
December,39.9,91.9,43.4,10.6,33.6,31.5,16.1,21.0,76.5,12.5,36.2,48.7,24.7,13.3,6.0,5.4,5.0,17.9,106.4
January,40.9,85.1,48.0,11.4,32.1,35.6,17.9,21.6,82.5,8.7,33.5,42.2,22.9,14.6,6.2,3.7,4.7,18.4,111.0
February,38.8,87.9,44.2,12.2,33.9,35.9,17.5,22.0,79.5,10.5,35.4,45.9,23.2,13.9,7.7,3.8,5.2,19.0,107.3
March,40.6,90.4,44.9,13.0,39.2,33.2,16.8,20.6,81.6,10.2,34.2,44.4,22.4,14.2,8.4,4.8,5.8,18.0,111.0
Pre All-Star,39.4,87.9,44.8,11.4,32.9,34.7,17.4,21.9,79.3,10.2,34.6,44.9,23.2,14.4,6.6,4.4,5.0,18.7,107.6
Post All-Star,39.8,89.2,44.6,11.7,35.0,33.4,15.1,19.8,76.3,9.5,34.4,43.9,23.1,14.4,8.2,5.0,5.9,18.4,106.4
0 Days Rest,41.8,91.6,45.6,12.6,35.5,35.6,17.3,20.5,84.1,11.6,37.4,49.0,25.3,15.3,7.5,4.8,6.3,18.0,113.4
1 Days Rest,39.2,88.0,44.5,11.6,33.2,34.9,17.1,21.8,78.4,9.7,34.2,43.9,23.0,14.2,6.7,4.4,5.1,18.6,107.0
2 Days Rest,38.6,86.7,44.5,8.6,32.9,26.1,16.6,21.4,77.3,11.6,34.0,45.6,20.9,14.3,7.0,4.3,3.9,19.7,102.3
3 Days Rest,40.0,89.0,44.9,16.0,38.0,42.1,17.0,19.0,89.5,14.0,42.0,56.0,29.0,13.0,3.0,2.0,4.0,12.0,113.0
4 Days Rest,43.0,92.0,46.7,13.0,31.0,41.9,7.0,9.0,77.8,7.0,26.0,33.0,24.0,14.0,11.0,5.0,6.0,16.0,106.0
6+ Days Rest,38.0,79.5,47.8,11.0,24.5,44.9,21.5,29.0,74.1,7.5,35.0,42.5,23.5,16.5,6.0,6.5,5.5,23.5,108.5
