BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.2,116.2,44,20,.688,41.6,89.7,46.4,12.2,33.2,36.6,20.8,26.2,79.2,11.0,37.0,48.0,23.8,14.8,7.1,5.0,22.0,6.5
Home,32,48.2,117.6,25,7,.781,42.3,90.2,46.9,12.7,33.8,37.5,20.3,25.8,78.8,11.6,37.8,49.4,24.5,15.1,7.1,5.6,21.8,9.1
Road,32,48.3,114.8,19,13,.594,41.0,89.2,46.0,11.6,32.5,35.8,21.2,26.7,79.6,10.3,36.2,46.5,23.2,14.4,7.2,4.4,22.3,4.0
Wins,44,48.1,119.8,44,0,1.000,43.0,89.6,48.0,13.0,34.6,37.7,20.8,26.2,79.3,11.2,38.2,49.4,25.2,14.6,7.6,5.1,21.9,14.7
Losses,20,48.5,108.3,0,20,.000,38.6,89.8,43.0,10.3,30.1,34.1,20.8,26.4,78.9,10.4,34.4,44.7,21.0,15.3,6.1,4.8,22.3,-11.5
October,6,48.0,114.2,4,2,.667,41.7,84.0,49.6,10.8,29.5,36.7,20.0,25.5,78.4,8.3,33.7,42.0,22.5,16.7,7.7,4.5,25.0,4.7
November,14,48.4,113.5,10,4,.714,40.7,92.5,44.0,11.6,34.0,34.2,20.4,26.1,78.4,13.3,38.6,51.9,23.9,16.4,7.6,6.1,23.1,6.9
December,15,48.0,116.7,10,5,.667,41.5,89.9,46.1,12.2,32.7,37.3,21.6,27.0,80.0,10.7,35.9,46.6,22.9,14.9,8.5,4.1,20.1,7.5
January,13,48.0,116.4,9,4,.692,41.9,89.7,46.7,11.7,32.2,36.4,20.8,27.2,76.8,11.5,36.8,48.3,24.5,13.8,5.8,5.2,22.1,3.1
February,11,48.9,118.1,7,4,.636,43.2,91.3,47.3,13.7,35.2,39.0,18.0,21.9,82.2,9.8,38.6,48.5,26.3,13.6,6.6,5.1,21.8,8.0
March,5,48.0,119.8,4,1,.800,40.4,84.4,47.9,12.8,35.0,36.6,26.2,32.4,80.9,9.4,36.8,46.2,21.2,12.8,5.6,4.0,21.8,10.2
Pre All-Star,55,48.3,115.9,37,18,.673,41.7,90.2,46.3,11.9,32.8,36.4,20.5,26.1,78.6,11.1,37.1,48.2,23.8,15.0,7.2,5.1,22.2,5.6
Post All-Star,9,48.0,117.8,7,2,.778,40.9,86.2,47.4,13.6,35.4,38.2,22.4,27.0,83.1,10.3,36.3,46.7,24.0,13.7,6.6,3.9,21.3,12.0
0 Days Rest,10,48.0,114.9,6,4,.600,41.4,87.6,47.3,9.9,28.4,34.9,22.2,29.2,76.0,10.0,36.1,46.1,22.7,14.9,7.5,5.5,20.7,4.8
1 Days Rest,39,48.4,119.8,30,9,.769,43.3,90.2,48.0,13.4,34.6,38.8,19.8,24.8,79.9,10.3,37.4,47.7,25.1,14.5,6.8,4.9,22.8,10.1
2 Days Rest,10,48.0,109.1,5,5,.500,37.6,91.0,41.3,10.3,32.3,31.9,23.6,29.1,81.1,13.6,36.0,49.6,19.9,14.3,8.0,4.2,20.3,-2.4
3 Days Rest,2,48.0,100.5,1,1,.500,34.5,92.0,37.5,10.5,33.5,31.3,21.0,27.5,76.4,15.5,37.0,52.5,25.5,18.5,7.5,6.5,20.5,-5.5
4 Days Rest,2,48.0,110.5,2,0,1.000,41.5,82.5,50.3,11.0,35.0,31.4,16.5,23.0,71.7,10.0,39.5,49.5,25.5,16.5,6.5,6.0,24.5,9.5
6+ Days Rest,1,48.0,103.0,0,1,.000,34.0,87.0,39.1,10.0,30.0,33.3,25.0,29.0,86.2,13.0,34.0,47.0,20.0,19.0,7.0,3.0,22.0,-9.0
