BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.4,90.3,43.6,12.0,35.2,34.1,18.9,24.8,76.2,10.9,34.6,45.5,23.6,14.2,7.9,4.9,5.0,22.8,109.7
Home,39.6,90.5,43.7,12.0,35.0,34.3,17.4,23.5,74.2,10.4,34.1,44.5,23.3,14.1,7.7,5.0,5.6,23.4,108.5
Road,39.2,90.0,43.5,12.0,35.5,33.8,20.4,26.2,78.0,11.3,35.2,46.4,23.8,14.3,8.1,4.8,4.4,22.2,110.8
Wins,37.9,89.9,42.1,10.8,35.0,30.7,18.6,24.8,74.9,10.8,33.0,43.9,22.9,14.5,7.5,4.5,5.1,22.8,105.1
Losses,42.7,91.1,46.8,14.8,35.7,41.3,19.7,24.9,79.1,11.0,38.1,49.1,25.1,13.6,8.7,5.8,4.8,22.9,119.8
October,39.2,85.5,45.8,12.8,33.7,38.1,18.3,23.7,77.5,9.0,33.5,42.5,23.5,16.7,7.2,3.8,4.5,24.7,109.5
November,37.4,90.3,41.5,12.2,36.2,33.7,19.5,25.9,75.4,11.6,34.8,46.4,21.1,15.1,8.6,5.5,6.1,23.6,106.6
December,40.1,90.6,44.3,11.2,33.6,33.3,17.7,22.4,79.2,11.2,34.3,45.5,23.6,15.6,8.5,5.0,4.1,22.8,109.2
January,40.3,91.2,44.2,12.5,36.5,34.4,20.2,27.3,73.8,11.5,34.9,46.5,25.7,12.2,7.7,4.9,5.2,23.8,113.3
February,40.2,92.4,43.5,11.9,34.7,34.3,17.8,23.4,76.3,10.4,35.8,46.2,25.0,13.0,7.5,4.7,5.1,19.1,110.1
March,38.6,87.8,44.0,11.6,37.2,31.2,20.8,27.4,75.9,9.2,33.0,42.2,21.8,12.0,6.2,4.6,4.0,24.0,109.6
Pre All-Star,39.5,90.6,43.7,12.2,35.5,34.5,19.0,24.9,76.2,10.9,34.9,45.8,23.7,14.4,8.0,4.9,5.1,23.0,110.3
Post All-Star,38.3,88.3,43.4,10.6,33.7,31.4,18.6,24.3,76.3,10.6,32.9,43.4,22.4,13.0,7.0,4.8,3.9,21.9,105.8
0 Days Rest,40.4,93.4,43.3,11.0,30.6,35.9,18.3,24.6,74.4,14.6,35.3,49.9,21.1,15.7,9.0,4.1,5.5,24.2,110.1
1 Days Rest,38.9,89.5,43.5,11.7,35.7,32.7,20.1,26.0,77.1,10.1,34.3,44.3,23.7,13.8,7.4,4.7,4.9,21.9,109.7
2 Days Rest,40.5,90.7,44.7,13.7,38.1,36.0,16.8,22.3,75.3,10.8,35.6,46.4,24.6,14.8,7.9,6.1,4.2,24.7,111.5
3 Days Rest,39.0,86.5,45.1,16.0,35.5,45.1,12.0,16.5,72.7,8.0,34.5,42.5,26.0,13.5,10.0,8.0,6.5,22.5,106.0
4 Days Rest,37.0,90.5,40.9,10.5,36.0,29.2,16.5,23.0,71.7,11.0,32.5,43.5,24.0,12.5,6.5,4.0,6.0,23.0,101.0
6+ Days Rest,40.0,89.0,44.9,12.0,31.0,38.7,20.0,26.0,76.9,11.0,37.0,48.0,25.0,13.0,11.0,4.0,3.0,24.0,112.0
