BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,63,48.2,114.3,49,14,.778,42.9,88.6,48.5,11.2,31.4,35.5,17.3,23.7,73.0,10.6,35.5,46.1,25.9,15.1,8.6,6.8,20.6,7.4
Home,31,48.0,114.5,23,8,.742,43.0,88.9,48.3,11.0,31.5,35.0,17.5,23.2,75.2,11.1,36.3,47.4,26.7,15.3,8.7,7.2,20.4,9.3
Road,32,48.3,114.2,26,6,.813,42.8,88.2,48.6,11.3,31.4,35.9,17.2,24.3,70.9,10.2,34.8,45.0,25.1,14.9,8.5,6.4,20.9,5.6
Wins,49,48.2,117.2,49,0,1.000,43.7,88.6,49.3,11.4,31.0,36.8,18.5,25.0,73.9,10.4,36.4,46.8,25.9,14.8,9.1,7.1,20.7,12.8
Losses,14,48.0,104.1,0,14,.000,40.3,88.5,45.5,10.3,33.1,31.1,13.3,19.3,68.9,11.4,32.5,43.9,25.7,16.2,6.7,6.0,20.3,-11.4
October,4,48.0,109.3,3,1,.750,40.0,87.5,45.7,9.8,29.0,33.6,19.5,24.5,79.6,10.0,36.0,46.0,23.5,15.3,8.5,8.0,21.5,11.8
November,15,48.3,113.8,14,1,.933,43.6,88.9,49.0,11.3,30.5,36.9,15.3,21.1,72.8,9.9,34.6,44.5,27.5,15.1,8.5,7.3,19.8,8.7
December,14,48.0,111.9,9,5,.643,41.8,86.9,48.1,10.7,31.5,34.0,17.6,24.1,72.8,10.8,34.8,45.6,25.4,15.5,8.8,6.9,21.4,4.2
January,14,48.0,116.6,10,4,.714,43.6,89.5,48.7,11.3,30.3,37.3,18.1,24.8,73.2,11.4,35.9,47.4,25.3,14.4,8.2,7.1,19.9,6.4
February,11,48.5,117.5,9,2,.818,43.8,88.8,49.3,11.8,33.4,35.4,18.0,26.5,68.0,11.4,37.0,48.4,27.5,15.8,8.9,5.5,19.7,9.4
March,5,48.0,113.8,4,1,.800,42.6,89.6,47.5,11.4,35.0,32.6,17.2,21.2,81.1,8.6,35.8,44.4,22.6,14.2,8.8,6.2,24.2,7.6
Pre All-Star,53,48.2,114.7,41,12,.774,43.1,88.3,48.8,11.2,30.9,36.3,17.3,23.6,73.0,10.7,35.5,46.2,26.3,15.2,8.5,6.8,20.4,7.4
Post All-Star,10,48.0,112.2,8,2,.800,41.9,89.7,46.7,10.7,34.1,31.4,17.7,24.3,72.8,10.1,35.6,45.7,23.5,14.8,9.0,6.9,21.7,7.4
0 Days Rest,8,48.0,120.3,8,0,1.000,45.3,89.6,50.5,13.9,32.4,42.9,15.9,20.9,76.0,9.8,35.8,45.5,26.3,14.4,9.5,7.1,19.0,14.9
1 Days Rest,39,48.1,113.3,29,10,.744,42.8,88.0,48.6,10.9,31.4,34.8,16.8,23.3,72.3,10.2,35.5,45.7,26.5,15.5,8.6,6.6,20.2,6.6
2 Days Rest,13,48.4,114.2,11,2,.846,42.4,89.5,47.3,10.2,31.0,33.0,19.2,25.6,75.1,11.8,35.1,46.8,24.2,14.1,8.9,6.5,22.2,7.3
3 Days Rest,1,48.0,102.0,0,1,.000,37.0,85.0,43.5,13.0,33.0,39.4,15.0,21.0,71.4,9.0,32.0,41.0,20.0,15.0,4.0,7.0,24.0,-10.0
5 Days Rest,1,48.0,119.0,0,1,.000,45.0,96.0,46.9,11.0,32.0,34.4,18.0,28.0,64.3,19.0,43.0,62.0,28.0,19.0,2.0,10.0,21.0,-8.0
6+ Days Rest,1,48.0,117.0,1,0,1.000,41.0,86.0,47.7,9.0,29.0,31.0,26.0,40.0,65.0,12.0,37.0,49.0,25.0,15.0,9.0,14.0,24.0,12.0
