BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.0,87.7,44.4,11.3,33.0,34.2,17.7,22.8,77.4,9.8,32.5,42.3,23.2,15.7,8.2,3.7,6.8,21.4,106.9
Home,38.2,87.7,43.6,10.7,32.6,32.9,18.0,22.9,78.6,9.9,32.1,42.0,22.9,15.7,8.3,3.3,7.2,21.0,105.2
Road,39.7,87.8,45.3,11.8,33.3,35.5,17.4,22.8,76.3,9.7,32.9,42.6,23.5,15.6,8.0,4.1,6.4,21.8,108.6
Wins,38.0,87.5,43.4,10.8,32.5,33.3,17.7,22.7,78.2,9.3,32.3,41.6,22.9,16.3,7.8,3.5,7.1,21.9,104.5
Losses,42.6,88.4,48.1,12.9,34.5,37.3,17.5,23.4,74.7,11.5,33.4,44.9,24.4,13.4,9.6,4.6,6.0,19.9,115.5
October,34.3,84.3,40.7,9.0,31.3,28.8,20.0,22.8,87.9,10.0,34.0,44.0,20.5,18.5,8.3,3.5,8.0,24.3,97.5
November,38.8,87.8,44.2,11.5,33.0,34.7,16.1,20.7,77.5,9.6,32.6,42.2,23.9,16.9,8.1,3.4,7.3,19.9,105.1
December,38.1,86.2,44.2,11.9,34.3,34.6,19.5,24.3,80.3,9.6,31.0,40.6,22.4,14.7,8.6,4.5,6.9,21.7,107.6
January,41.2,90.4,45.6,11.1,32.1,34.4,16.6,22.4,74.2,10.4,33.3,43.7,23.3,14.5,7.8,4.4,7.1,20.9,110.1
February,40.0,86.9,46.0,11.5,30.9,37.1,16.6,22.5,74.1,8.2,31.8,40.0,25.3,15.6,8.5,3.0,5.5,23.2,108.1
March,37.2,89.0,41.8,11.0,37.2,29.6,20.8,27.2,76.5,12.2,34.8,47.0,21.2,15.6,7.4,2.6,6.2,20.8,106.2
Pre All-Star,39.1,87.7,44.6,11.5,33.0,34.8,17.5,22.5,78.1,9.5,32.0,41.6,23.2,15.4,8.2,3.9,6.8,21.2,107.3
Post All-Star,38.2,88.1,43.4,10.0,32.5,30.8,18.4,24.8,74.2,11.1,35.1,46.2,23.3,16.9,8.0,2.6,6.9,22.5,104.8
0 Days Rest,38.4,89.9,42.7,12.6,36.5,34.6,16.0,20.0,80.0,10.5,31.9,42.4,24.0,16.6,8.0,4.1,7.1,18.1,105.4
1 Days Rest,38.8,87.1,44.5,11.4,33.1,34.4,17.7,22.6,78.1,9.4,32.4,41.8,23.2,15.8,8.4,3.7,6.6,21.9,106.6
2 Days Rest,38.7,87.8,44.1,10.5,31.8,32.9,19.1,24.7,77.3,10.2,33.0,43.2,22.7,15.2,7.4,3.2,6.5,21.4,106.9
3 Days Rest,42.0,81.0,51.9,11.0,31.0,35.5,17.0,24.0,70.8,11.0,34.0,45.0,24.0,14.0,8.0,5.0,7.0,25.0,112.0
5 Days Rest,49.0,97.0,50.5,13.0,36.0,36.1,16.0,21.0,76.2,6.0,34.0,40.0,25.0,7.0,10.0,8.0,10.0,22.0,127.0
6+ Days Rest,42.0,92.0,45.7,5.0,15.0,33.3,16.0,31.0,51.6,16.0,34.0,50.0,22.0,17.0,9.0,1.0,14.0,27.0,105.0
