BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.1,112.6,32,33,.492,42.8,91.0,47.0,10.9,31.1,35.2,16.2,21.3,76.1,10.4,36.3,46.7,27.0,15.3,8.0,5.6,20.8,-1.1
Home,33,48.2,113.4,18,15,.545,43.3,91.0,47.5,10.7,30.8,34.7,16.1,21.1,76.3,10.9,36.2,47.1,27.8,15.2,8.1,6.1,20.2,0.6
Road,32,48.0,111.9,14,18,.438,42.2,90.9,46.4,11.2,31.3,35.7,16.3,21.5,75.8,10.0,36.3,46.3,26.2,15.3,7.9,5.1,21.5,-2.8
Wins,32,48.2,118.3,32,0,1.000,44.9,90.3,49.7,11.8,30.8,38.1,16.8,21.6,77.7,10.1,39.3,49.4,28.7,14.6,8.1,6.4,20.5,12.2
Losses,33,48.0,107.2,0,33,.000,40.7,91.6,44.4,10.1,31.3,32.4,15.7,21.0,74.5,10.8,33.3,44.1,25.4,15.9,7.9,4.8,21.2,-13.9
October,4,49.3,107.0,1,3,.250,39.5,95.3,41.5,9.0,32.0,28.1,19.0,24.5,77.6,11.3,36.5,47.8,24.8,18.8,9.0,6.5,27.0,-13.8
November,14,48.0,109.5,4,10,.286,42.4,90.3,46.9,11.3,30.1,37.5,13.5,17.9,75.3,10.1,35.0,45.1,27.4,16.1,7.1,5.0,20.6,-7.2
December,16,48.0,113.4,8,8,.500,42.6,90.3,47.2,12.2,34.3,35.6,16.1,20.4,79.1,9.8,34.8,44.6,27.6,14.9,8.3,5.0,21.6,-1.3
January,15,48.0,119.0,11,4,.733,45.1,90.4,49.9,11.3,30.9,36.6,17.5,22.2,79.0,8.9,36.5,45.5,28.6,14.4,8.5,6.6,20.5,4.5
February,11,48.0,107.8,5,6,.455,42.0,93.5,44.9,7.7,26.4,29.3,16.1,22.5,71.7,12.6,37.9,50.5,24.8,13.9,7.5,5.5,19.8,-2.5
March,5,48.0,114.8,3,2,.600,41.8,87.8,47.6,13.2,33.6,39.3,18.0,25.8,69.8,12.6,40.0,52.6,26.2,16.8,8.6,5.6,17.2,13.0
Pre All-Star,54,48.1,113.0,28,26,.519,43.0,91.0,47.3,10.9,31.1,35.1,16.1,20.7,77.5,9.8,36.0,45.8,27.4,15.1,8.0,5.7,21.3,-1.4
Post All-Star,11,48.0,110.8,4,7,.364,41.5,90.8,45.6,11.0,30.9,35.6,16.9,24.2,69.9,13.5,37.5,51.0,25.5,15.8,8.1,4.8,18.7,0.7
0 Days Rest,10,48.0,116.6,7,3,.700,43.7,88.7,49.3,11.6,32.0,36.3,17.6,22.8,77.2,10.5,35.8,46.3,28.0,15.3,7.8,5.2,20.5,5.5
1 Days Rest,41,48.1,111.9,20,21,.488,42.4,92.1,46.0,11.2,31.5,35.7,16.0,20.8,76.6,10.6,36.6,47.2,26.9,15.0,8.1,5.5,20.9,-2.0
2 Days Rest,9,48.0,111.6,5,4,.556,43.8,89.7,48.8,8.9,28.3,31.4,15.1,20.8,72.7,9.6,36.0,45.6,27.0,13.4,8.0,6.8,18.6,-0.6
3 Days Rest,3,48.0,112.0,0,3,.000,43.3,89.3,48.5,12.0,30.7,39.1,13.3,17.7,75.5,11.0,34.0,45.0,28.3,19.7,8.3,3.7,22.3,-5.0
4 Days Rest,1,48.0,101.0,0,1,.000,38.0,89.0,42.7,5.0,32.0,15.6,20.0,30.0,66.7,9.0,31.0,40.0,22.0,24.0,9.0,7.0,31.0,-19.0
6+ Days Rest,1,48.0,125.0,0,1,.000,43.0,85.0,50.6,12.0,30.0,40.0,27.0,32.0,84.4,11.0,40.0,51.0,25.0,20.0,5.0,5.0,29.0,-4.0
