BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,40.8,90.7,45.0,12.8,35.2,36.3,19.3,24.5,78.6,10.5,34.5,45.0,24.8,14.6,7.9,5.3,5.6,19.7,113.7
Home,40.3,90.8,44.3,13.4,37.3,36.0,18.8,24.0,78.4,10.6,33.8,44.4,24.4,15.0,8.2,4.5,6.1,19.8,112.8
Road,41.4,90.6,45.7,12.1,33.0,36.7,19.8,25.1,78.9,10.3,35.2,45.5,25.3,14.1,7.6,6.2,5.1,19.7,114.7
Wins,37.5,91.8,40.8,11.6,35.7,32.4,19.5,24.6,79.2,11.2,32.5,43.7,23.0,14.3,7.5,4.3,6.4,19.6,106.1
Losses,44.0,89.6,49.1,14.0,34.7,40.3,19.1,24.5,78.1,9.7,36.5,46.2,26.6,14.8,8.3,6.4,4.8,19.8,121.1
October,41.0,91.3,44.9,10.3,32.8,31.3,28.5,34.8,82.0,10.3,40.5,50.8,22.3,17.5,9.5,7.0,6.5,23.8,120.8
November,42.9,91.3,47.0,13.8,36.3,38.0,17.1,22.4,76.1,9.8,34.2,44.0,26.0,13.8,7.9,6.1,5.0,17.9,116.7
December,40.8,87.8,46.5,12.1,31.9,37.8,21.0,26.4,79.4,9.6,34.9,44.6,25.5,14.8,7.6,5.0,5.0,19.9,114.7
January,40.7,91.0,44.7,13.1,36.0,36.5,20.0,25.1,79.6,10.7,33.5,44.3,24.2,15.3,7.9,4.5,6.6,20.5,114.5
February,40.3,92.1,43.7,13.3,35.6,37.2,16.5,22.0,74.8,10.8,35.2,46.0,24.7,13.2,7.5,5.5,5.5,19.4,110.3
March,36.4,94.2,38.6,12.2,41.2,29.6,16.8,20.0,84.0,13.6,30.4,44.0,23.8,14.4,8.4,5.2,5.6,19.8,101.8
Pre All-Star,41.0,90.6,45.3,12.6,34.3,36.9,19.8,25.1,78.8,10.3,34.9,45.2,24.9,14.7,7.8,5.3,5.7,19.7,114.4
Post All-Star,39.8,91.4,43.6,13.5,39.5,34.1,17.0,21.9,77.6,11.3,32.5,43.8,24.6,13.9,8.3,5.5,4.8,19.8,110.1
0 Days Rest,40.3,91.0,44.3,11.4,35.2,32.4,19.1,25.8,74.0,12.2,32.8,45.0,25.0,14.8,8.1,4.7,5.2,20.2,111.1
1 Days Rest,40.8,91.1,44.8,12.8,35.2,36.2,19.5,24.6,79.2,10.4,35.6,45.9,24.9,14.5,7.8,5.9,5.5,19.5,113.9
2 Days Rest,40.9,91.1,44.9,14.1,36.2,39.0,16.2,19.6,83.0,10.8,33.4,44.2,25.8,14.3,7.2,3.6,6.8,18.7,112.1
3 Days Rest,42.0,87.3,48.1,13.7,35.7,38.3,19.3,25.3,76.3,7.3,30.3,37.7,23.7,15.3,10.0,5.7,3.7,19.3,117.0
4 Days Rest,40.0,85.0,47.1,7.0,18.0,38.9,33.0,39.0,84.6,11.0,40.0,51.0,18.0,21.0,9.0,8.0,7.0,33.0,120.0
6+ Days Rest,42.0,83.0,50.6,19.0,39.0,48.7,26.0,36.0,72.2,3.0,24.0,27.0,22.0,10.0,9.0,2.0,5.0,21.0,129.0
