BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.7,112.2,41,24,.631,39.6,84.4,47.0,13.4,34.8,38.3,19.5,25.1,77.8,8.5,36.0,44.5,26.0,14.9,7.4,4.5,20.4,3.2
Home,32,48.8,116.4,27,5,.844,41.0,84.1,48.7,14.1,34.6,40.9,20.3,25.8,78.7,8.5,36.3,44.8,27.2,14.8,7.3,4.2,19.5,9.3
Road,33,48.6,108.0,14,19,.424,38.3,84.7,45.2,12.6,35.1,35.9,18.8,24.5,76.8,8.5,35.8,44.3,24.8,15.0,7.5,4.8,21.2,-2.7
Wins,41,49.0,116.4,41,0,1.000,41.1,84.2,48.8,14.4,34.5,41.8,19.7,25.2,78.2,8.2,37.6,45.8,27.5,15.0,7.3,4.4,20.0,11.1
Losses,24,48.2,105.0,0,24,.000,37.1,84.7,43.8,11.6,35.5,32.6,19.2,25.0,77.0,8.9,33.5,42.4,23.5,14.8,7.6,4.6,21.0,-10.3
October,5,49.0,115.6,4,1,.800,40.2,85.6,47.0,13.0,33.2,39.2,22.2,30.8,72.1,9.6,37.6,47.2,24.8,20.8,9.2,7.0,25.2,8.2
November,13,48.0,109.9,9,4,.692,39.3,80.5,48.8,12.5,31.6,39.4,18.8,24.2,77.8,8.3,34.8,43.2,25.8,18.2,9.3,3.9,20.7,5.8
December,15,49.7,113.5,11,4,.733,39.5,86.8,45.5,12.5,33.5,37.5,21.9,27.8,78.7,9.7,37.4,47.1,24.7,13.7,6.2,3.5,19.6,1.5
January,14,48.7,110.9,8,6,.571,39.9,84.4,47.2,13.1,36.7,35.8,18.1,22.5,80.3,7.4,37.1,44.5,25.1,12.8,5.5,4.1,19.1,2.3
February,13,48.4,115.8,6,7,.462,40.5,86.6,46.8,14.8,37.4,39.5,19.9,25.7,77.5,8.5,34.5,43.0,28.4,12.8,8.1,4.9,20.4,2.0
March,5,48.0,104.6,3,2,.600,37.2,80.2,46.4,15.4,37.2,41.4,14.8,19.6,75.5,7.2,34.6,41.8,27.8,15.4,7.6,6.2,20.2,2.6
Pre All-Star,54,48.7,111.7,35,19,.648,39.6,84.5,46.8,13.0,34.5,37.8,19.5,25.1,77.8,8.6,36.4,45.0,25.3,14.9,7.3,4.1,20.1,3.4
Post All-Star,11,48.5,114.4,6,5,.545,39.8,83.8,47.5,15.0,36.7,40.8,19.7,25.4,77.8,8.0,34.4,42.4,29.2,14.8,8.0,6.1,21.5,2.6
0 Days Rest,11,49.4,103.6,5,6,.455,36.7,84.7,43.3,11.4,35.3,32.2,18.8,24.3,77.5,8.0,35.1,43.1,22.5,14.5,7.6,3.5,19.6,-6.5
1 Days Rest,39,48.6,114.1,24,15,.615,40.3,83.9,48.0,13.7,34.7,39.5,19.9,25.7,77.4,8.5,35.7,44.2,26.5,14.9,7.4,4.6,20.3,3.8
2 Days Rest,9,48.6,111.1,7,2,.778,40.8,86.4,47.2,14.1,36.7,38.5,15.4,20.4,75.5,7.0,38.2,45.2,27.9,13.4,7.2,4.7,19.1,8.0
3 Days Rest,4,48.0,114.0,4,0,1.000,38.8,80.3,48.3,16.0,35.0,45.7,20.5,25.8,79.6,11.0,36.5,47.5,28.0,17.5,5.8,4.0,19.5,11.8
4 Days Rest,1,48.0,120.0,1,0,1.000,40.0,85.0,47.1,7.0,18.0,38.9,33.0,39.0,84.6,11.0,40.0,51.0,18.0,21.0,9.0,8.0,33.0,19.0
6+ Days Rest,1,48.0,124.0,0,1,.000,40.0,98.0,40.8,11.0,37.0,29.7,33.0,38.0,86.8,15.0,36.0,51.0,28.0,15.0,9.0,7.0,31.0,-5.0
