BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,38.9,87.0,44.7,13.1,38.0,34.6,18.1,23.3,77.6,9.2,33.0,42.2,24.7,13.7,7.5,4.2,4.5,21.5,108.9
Home,38.7,87.2,44.4,12.7,38.0,33.5,16.9,22.0,76.9,8.8,31.6,40.3,24.4,13.6,7.3,4.4,4.2,21.8,107.1
Road,39.0,86.8,44.9,13.5,38.0,35.7,19.2,24.5,78.3,9.5,34.4,43.9,25.0,13.7,7.7,4.1,4.8,21.3,110.7
Wins,37.7,87.1,43.3,12.3,38.2,32.3,17.5,22.5,77.9,8.6,31.6,40.1,23.8,13.5,7.1,3.9,4.4,21.6,105.2
Losses,40.9,86.7,47.1,14.5,37.7,38.6,19.0,24.5,77.2,10.2,35.5,45.6,26.3,13.9,8.2,4.8,4.6,21.5,115.3
October,37.8,89.0,42.5,10.6,40.8,26.0,21.2,29.6,71.6,10.6,32.6,43.2,23.2,18.8,9.6,4.8,7.0,24.8,107.4
November,37.2,83.8,44.4,11.6,34.2,33.9,18.1,23.2,78.1,8.8,30.0,38.8,23.6,16.3,9.2,3.2,3.9,22.5,104.2
December,40.4,89.2,45.3,13.5,38.6,35.1,17.6,23.5,74.8,9.5,33.7,43.2,24.9,11.9,6.9,4.9,3.5,22.3,111.9
January,39.5,89.5,44.1,12.2,37.8,32.3,17.4,21.1,82.4,9.6,33.6,43.2,25.8,10.4,6.9,4.4,4.1,18.6,108.6
February,39.5,85.1,46.5,15.8,40.7,38.9,18.8,23.8,79.0,7.9,34.5,42.5,25.7,14.4,6.8,4.1,4.9,22.5,113.8
March,36.0,84.2,42.8,14.0,36.6,38.3,16.0,20.8,76.9,9.4,33.6,43.0,22.8,14.4,7.0,4.4,6.2,19.0,102.0
Pre All-Star,38.8,87.2,44.5,12.7,37.7,33.7,18.0,23.1,77.6,9.3,32.9,42.2,24.7,13.4,7.6,4.2,4.1,21.4,108.4
Post All-Star,39.0,85.7,45.5,15.2,39.2,38.7,18.5,23.8,77.9,8.5,33.4,41.9,24.8,14.7,7.1,4.5,6.1,22.1,111.7
0 Days Rest,39.0,87.7,44.5,13.1,38.3,34.2,19.0,23.7,80.1,9.6,36.2,45.8,26.0,13.5,7.6,3.9,3.5,22.1,110.1
1 Days Rest,39.5,87.0,45.4,13.6,38.2,35.6,17.8,23.1,77.1,9.3,32.2,41.5,25.3,13.5,7.5,3.9,4.6,21.6,110.3
2 Days Rest,36.8,87.0,42.3,12.0,38.7,31.0,17.6,22.8,77.1,9.3,34.8,44.1,21.6,13.7,6.7,5.2,4.7,18.8,103.1
3 Days Rest,37.0,84.5,43.8,12.5,35.8,35.0,15.8,20.5,76.8,6.8,28.0,34.8,23.5,12.3,8.8,5.0,4.0,21.5,102.3
4 Days Rest,38.0,89.0,42.7,5.0,32.0,15.6,20.0,30.0,66.7,9.0,31.0,40.0,22.0,24.0,9.0,7.0,8.0,31.0,101.0
6+ Days Rest,41.0,85.0,48.2,16.0,35.0,45.7,31.0,35.0,88.6,6.0,35.0,41.0,22.0,16.0,8.0,6.0,7.0,27.0,129.0
