BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.2,118.6,53,12,.815,43.5,91.2,47.7,13.7,38.6,35.6,17.8,24.0,74.2,9.5,42.2,51.7,25.9,14.9,7.4,6.0,19.2,11.3
Home,31,48.2,121.7,28,3,.903,44.7,91.9,48.6,14.5,39.1,37.2,17.8,24.7,72.3,10.3,42.4,52.7,27.8,14.6,7.1,6.0,19.3,14.7
Road,34,48.1,115.8,25,9,.735,42.5,90.6,46.9,13.0,38.2,34.0,17.8,23.4,76.0,8.8,42.1,50.9,24.2,15.1,7.7,6.0,19.1,8.2
Wins,53,48.1,120.9,53,0,1.000,44.4,90.9,48.9,14.0,38.1,36.7,18.1,24.4,74.2,9.6,43.5,53.1,26.8,15.2,7.6,6.4,18.6,16.2
Losses,12,48.4,108.7,0,12,.000,39.8,92.7,42.9,12.7,40.9,31.0,16.5,22.3,74.2,9.0,36.8,45.8,22.3,13.8,6.6,4.2,21.8,-10.4
October,4,49.3,119.3,2,2,.500,43.3,91.8,47.1,16.0,45.8,35.0,16.8,25.3,66.3,6.0,42.8,48.8,25.8,14.0,6.8,6.3,23.8,1.8
November,16,48.0,120.5,15,1,.938,44.1,91.4,48.2,13.5,39.1,34.5,18.9,26.0,72.6,11.1,40.9,52.0,25.3,15.0,7.7,6.3,19.5,13.1
December,15,48.0,119.3,13,2,.867,44.3,90.1,49.1,14.1,36.7,38.5,16.6,22.3,74.6,10.0,42.2,52.2,27.2,15.2,8.6,6.3,17.8,16.5
January,13,48.0,119.9,11,2,.846,43.5,90.6,48.0,13.4,37.5,35.7,19.6,26.5,74.1,8.0,42.9,50.9,26.2,13.5,6.5,6.2,18.7,9.6
February,11,48.5,120.8,10,1,.909,44.4,93.4,47.5,14.5,38.8,37.5,17.5,22.1,79.4,9.5,44.7,54.2,26.8,15.6,6.8,6.1,19.2,15.2
March,6,48.0,105.0,2,4,.333,39.2,90.2,43.4,11.2,39.5,28.3,15.5,20.7,75.0,9.5,39.5,49.0,22.2,16.2,7.0,3.8,19.8,-3.7
Pre All-Star,54,48.1,119.6,46,8,.852,43.9,91.4,48.0,13.9,38.4,36.1,18.0,24.5,73.5,9.6,42.4,52.0,26.1,14.7,7.4,6.3,19.1,12.1
Post All-Star,11,48.5,113.9,7,4,.636,41.9,90.5,46.3,13.0,39.5,32.9,17.1,21.9,78.0,9.0,41.5,50.5,25.0,15.8,7.4,4.4,19.8,7.3
0 Days Rest,10,48.0,115.6,8,2,.800,42.6,92.7,46.0,14.1,40.7,34.6,16.3,22.0,74.1,11.0,42.1,53.1,27.6,13.4,7.4,5.7,16.0,11.7
1 Days Rest,43,48.2,118.3,35,8,.814,43.5,90.8,47.9,13.5,38.1,35.4,17.9,24.1,74.2,9.1,42.5,51.6,25.2,15.6,7.4,6.1,19.5,11.0
2 Days Rest,7,48.0,119.0,5,2,.714,43.6,91.1,47.8,15.7,39.9,39.4,16.1,22.3,72.4,8.9,42.7,51.6,26.9,13.1,6.9,6.0,19.7,10.6
3 Days Rest,3,48.0,130.3,3,0,1.000,45.3,88.3,51.3,11.7,35.3,33.0,28.0,35.3,79.2,13.3,39.0,52.3,27.0,17.7,6.7,5.0,23.3,14.0
6+ Days Rest,2,48.0,121.5,2,0,1.000,46.5,96.0,48.4,13.0,39.5,32.9,15.5,22.5,68.9,7.0,40.0,47.0,27.5,9.5,10.5,6.5,21.0,13.0
