BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.6,113.3,19,45,.297,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,15.3,8.7,5.7,21.4,-4.3
Home,32,48.6,110.7,8,24,.250,39.8,92.9,42.9,12.8,40.0,31.9,18.3,24.8,73.9,11.6,35.1,46.7,23.8,14.7,8.8,5.9,21.2,-4.7
Road,32,48.6,115.8,11,21,.344,41.0,90.4,45.4,13.9,39.4,35.3,19.9,26.0,76.7,9.5,33.4,42.9,23.9,15.9,8.6,5.4,21.6,-3.9
Wins,19,49.3,121.3,19,0,1.000,44.0,94.2,46.7,14.7,39.6,37.2,18.5,24.7,74.9,11.4,38.2,49.6,26.5,15.4,9.4,6.2,22.4,10.9
Losses,45,48.3,109.9,0,45,.000,38.9,90.6,42.9,12.7,39.7,32.0,19.4,25.6,75.5,10.2,32.6,42.8,22.7,15.3,8.4,5.4,21.0,-10.7
October,4,49.3,114.8,3,1,.750,40.0,92.8,43.1,12.0,40.3,29.8,22.8,30.0,75.8,11.3,34.8,46.0,22.3,17.0,11.3,4.3,20.3,2.0
November,14,48.7,113.9,7,7,.500,41.1,92.7,44.3,13.1,39.4,33.2,18.6,25.1,74.1,11.0,37.9,48.9,24.2,15.4,7.6,7.3,22.4,-1.0
December,14,49.4,109.9,2,12,.143,38.4,90.9,42.3,12.0,38.0,31.6,21.1,26.8,78.7,11.2,33.3,44.5,19.9,15.0,8.6,5.8,21.2,-7.8
January,15,48.3,110.3,3,12,.200,40.2,91.3,44.0,14.1,40.9,34.4,15.8,22.0,71.8,10.9,33.9,44.8,26.4,15.4,8.3,5.6,21.0,-3.9
February,11,48.0,120.1,2,9,.182,41.5,91.1,45.6,15.0,41.7,35.9,22.0,28.5,77.3,8.5,31.7,40.3,25.0,15.0,9.4,5.7,22.3,-5.5
March,6,48.0,113.5,2,4,.333,42.2,92.0,45.8,13.0,37.3,34.8,16.2,22.3,72.4,10.2,33.3,43.5,24.7,15.3,9.2,2.5,19.7,-6.8
Pre All-Star,53,48.8,112.4,16,37,.302,40.0,91.6,43.7,13.2,39.7,33.2,19.2,25.3,75.7,10.9,34.7,45.6,23.7,15.5,8.6,5.9,21.4,-3.5
Post All-Star,11,48.0,117.4,3,8,.273,42.2,92.0,45.8,14.2,39.8,35.6,18.8,25.5,73.7,8.7,32.2,40.9,24.4,14.5,9.1,4.3,21.6,-7.9
0 Days Rest,9,48.0,110.3,3,6,.333,39.9,88.9,44.9,13.4,39.1,34.4,17.1,23.1,74.0,10.6,34.1,44.7,23.3,16.1,6.8,5.8,20.0,-5.6
1 Days Rest,43,48.6,113.9,11,32,.256,40.7,92.0,44.2,13.3,39.7,33.4,19.3,25.7,74.9,10.7,33.3,44.1,23.6,15.2,9.1,5.4,21.7,-5.2
2 Days Rest,7,49.4,114.7,4,3,.571,41.9,92.7,45.1,15.1,40.3,37.6,15.9,21.1,75.0,10.0,38.0,48.0,26.9,16.6,8.6,7.0,21.1,4.9
3 Days Rest,1,48.0,107.0,0,1,.000,33.0,85.0,38.8,11.0,36.0,30.6,30.0,35.0,85.7,10.0,43.0,53.0,22.0,16.0,7.0,6.0,21.0,-8.0
4 Days Rest,2,48.0,102.5,0,2,.000,35.0,89.5,39.1,8.5,39.0,21.8,24.0,32.0,75.0,9.0,34.5,43.5,22.0,14.0,9.0,3.5,19.0,-10.0
5 Days Rest,1,53.0,127.0,1,0,1.000,46.0,108.0,42.6,13.0,43.0,30.2,22.0,28.0,78.6,12.0,40.0,52.0,23.0,13.0,9.0,4.0,22.0,1.0
6+ Days Rest,1,48.0,117.0,0,1,.000,36.0,89.0,40.4,15.0,42.0,35.7,30.0,35.0,85.7,8.0,35.0,43.0,23.0,10.0,8.0,10.0,27.0,-10.0
