BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,43.1,90.4,47.7,11.6,31.9,36.3,19.7,25.2,78.3,10.1,37.2,47.3,24.4,15.5,7.8,5.5,5.7,21.6,117.5
Home,42.1,89.7,47.0,11.4,31.7,36.0,19.7,25.0,78.7,9.9,38.6,48.4,23.3,15.5,7.5,5.3,5.9,21.0,115.3
Road,44.1,91.2,48.4,11.7,32.1,36.5,19.8,25.4,78.0,10.3,35.9,46.3,25.4,15.5,8.1,5.8,5.4,22.2,119.8
Wins,40.6,92.3,44.0,10.6,31.2,33.9,18.6,24.9,74.7,10.1,35.5,45.6,22.9,15.9,7.8,5.5,6.2,21.8,110.4
Losses,44.2,89.6,49.3,12.0,32.2,37.2,20.2,25.3,79.8,10.1,38.0,48.1,25.0,15.3,7.8,5.6,5.4,21.5,120.6
October,42.5,90.5,47.0,12.8,31.0,41.1,15.0,23.8,63.2,10.5,36.3,46.8,23.5,20.3,8.8,7.3,4.3,27.3,112.8
November,41.7,94.3,44.2,11.3,31.9,35.4,20.1,25.1,80.3,11.2,37.0,48.2,24.3,14.4,7.3,4.9,7.3,21.8,114.9
December,42.4,90.7,46.7,11.9,32.3,36.7,21.1,25.7,82.2,11.3,38.1,49.4,23.1,15.2,7.1,5.6,5.8,22.4,117.7
January,42.2,87.2,48.4,10.5,30.7,34.1,19.3,24.1,80.3,8.9,37.4,46.3,22.9,15.1,8.0,5.9,5.6,19.4,114.2
February,45.7,89.5,51.1,12.6,32.3,39.2,21.5,27.4,78.4,9.8,36.6,46.5,26.2,16.0,8.0,5.6,5.7,22.7,125.5
March,46.2,90.3,51.1,11.5,33.8,34.0,16.5,24.2,68.3,8.2,37.2,45.3,28.7,15.5,9.0,4.8,2.5,19.0,120.3
Pre All-Star,42.3,90.2,46.9,11.5,31.5,36.6,19.8,24.9,79.6,10.3,37.1,47.4,23.5,15.5,7.7,5.6,5.9,21.7,115.9
Post All-Star,47.2,91.3,51.7,11.7,33.8,34.7,19.2,26.5,72.3,9.3,37.9,47.2,28.7,15.4,8.2,5.5,4.3,21.2,125.3
0 Days Rest,42.7,90.3,47.2,13.1,34.3,38.2,17.4,21.4,81.3,10.0,33.3,43.3,23.0,13.4,8.6,5.9,5.8,20.9,115.9
1 Days Rest,43.8,89.3,49.0,11.3,31.1,36.4,20.1,26.0,77.2,9.6,37.6,47.2,25.4,16.3,7.6,5.6,5.4,21.7,119.0
2 Days Rest,39.6,93.1,42.5,9.7,31.7,30.6,21.0,25.3,83.1,12.1,37.9,50.0,21.4,14.6,8.7,4.7,7.0,18.7,109.9
3 Days Rest,41.0,100.0,41.0,16.0,40.0,40.0,17.0,21.0,81.0,12.0,38.0,50.0,27.0,11.0,8.0,3.0,6.0,26.0,115.0
4 Days Rest,41.5,92.0,45.1,13.0,33.5,38.8,16.5,19.5,84.6,11.5,41.0,52.5,21.5,16.0,7.0,5.5,3.5,24.5,112.5
5 Days Rest,48.0,101.0,47.5,15.0,34.0,44.1,15.0,26.0,57.7,10.0,38.0,48.0,19.0,16.0,8.0,9.0,4.0,30.0,126.0
6+ Days Rest,44.0,95.0,46.3,10.0,29.0,34.5,29.0,37.0,78.4,16.0,42.0,58.0,21.0,11.0,5.0,6.0,10.0,26.0,127.0
