BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.5,116.2,28,36,.438,42.6,92.2,46.2,14.0,37.6,37.2,16.9,23.2,72.9,11.2,35.8,47.0,27.0,16.2,7.6,5.1,21.0,-0.8
Home,32,48.5,118.4,13,19,.406,42.9,92.2,46.6,14.1,38.0,37.0,18.5,25.2,73.2,11.7,35.7,47.4,27.8,15.3,7.6,5.2,20.6,1.1
Road,32,48.5,114.0,15,17,.469,42.3,92.3,45.9,13.9,37.3,37.4,15.3,21.2,72.4,10.8,35.9,46.7,26.2,17.2,7.6,5.0,21.5,-2.8
Wins,28,48.4,121.1,28,0,1.000,44.0,90.3,48.7,15.2,36.7,41.4,18.0,24.4,73.9,11.6,37.5,49.1,28.9,16.9,8.2,5.4,20.3,11.2
Losses,36,48.6,112.4,0,36,.000,41.6,93.7,44.4,13.1,38.4,34.1,16.1,22.3,72.0,10.9,34.4,45.4,25.5,15.7,7.1,4.9,21.6,-10.2
October,5,49.0,121.2,1,4,.200,44.6,96.0,46.5,16.4,43.2,38.0,15.6,21.0,74.3,10.0,34.2,44.2,30.6,16.2,7.8,5.0,25.4,-2.8
November,14,48.0,112.9,5,9,.357,41.1,91.4,45.0,14.4,37.8,38.0,16.2,22.2,73.0,11.6,33.7,45.4,23.3,16.4,8.3,4.8,22.3,-5.0
December,15,48.7,108.7,5,10,.333,40.2,91.7,43.8,13.5,38.2,35.4,14.8,20.1,73.8,10.5,35.9,46.5,24.4,14.9,6.8,4.8,20.5,-3.9
January,15,48.7,121.9,9,6,.600,44.1,91.1,48.4,14.1,36.5,38.7,19.6,26.7,73.5,11.2,35.7,46.9,27.9,16.1,6.9,6.2,20.2,3.2
February,10,48.0,119.0,6,4,.600,44.2,90.9,48.6,13.5,35.3,38.2,17.1,23.8,71.8,11.2,38.6,49.8,32.0,17.6,8.3,5.1,19.6,3.9
March,5,49.0,120.2,2,3,.400,44.8,98.0,45.7,12.6,38.0,33.2,18.0,26.0,69.2,13.6,37.4,51.0,29.0,17.4,8.4,4.0,20.0,0.4
Pre All-Star,55,48.5,115.8,23,32,.418,42.3,91.9,46.0,14.2,38.1,37.3,16.9,23.0,73.7,11.1,35.5,46.6,26.3,16.0,7.4,5.3,21.2,-1.5
Post All-Star,9,48.6,118.8,5,4,.556,44.7,94.0,47.5,12.8,35.1,36.4,16.7,24.6,67.9,12.1,37.6,49.7,31.3,17.3,8.8,4.2,19.9,3.6
0 Days Rest,9,48.6,114.9,5,4,.556,42.4,94.6,44.9,15.8,42.6,37.1,14.2,20.0,71.1,11.7,35.0,46.7,26.9,15.6,7.1,4.4,23.1,-3.2
1 Days Rest,41,48.4,114.7,14,27,.341,42.0,91.5,45.9,13.4,37.2,36.0,17.2,23.8,72.4,10.9,35.8,46.7,26.5,16.5,7.8,5.1,20.1,-2.6
2 Days Rest,10,48.5,123.3,8,2,.800,44.7,91.1,49.1,14.7,34.2,43.0,19.2,25.0,76.8,12.0,36.3,48.3,28.9,15.3,8.1,5.0,21.4,10.6
3 Days Rest,2,50.5,113.0,0,2,.000,41.5,100.5,41.3,14.5,43.0,33.7,15.5,20.5,75.6,15.0,38.0,53.0,25.5,18.5,5.5,7.5,28.5,-13.0
4 Days Rest,1,48.0,113.0,0,1,.000,48.0,102.0,47.1,11.0,37.0,29.7,6.0,7.0,85.7,9.0,31.0,40.0,24.0,12.0,4.0,10.0,20.0,-10.0
6+ Days Rest,1,48.0,128.0,1,0,1.000,45.0,84.0,53.6,18.0,34.0,52.9,20.0,33.0,60.6,9.0,37.0,46.0,36.0,19.0,8.0,3.0,23.0,13.0
