BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,66,48.4,105.8,21,45,.318,40.0,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12.0,34.5,46.5,22.1,14.3,7.6,4.7,22.2,-6.5
Home,33,48.0,105.4,11,22,.333,39.8,88.8,44.9,9.2,27.7,33.2,16.5,23.8,69.5,12.5,34.3,46.8,22.2,14.6,7.4,5.1,22.0,-5.1
Road,33,48.8,106.2,10,23,.303,40.1,89.8,44.6,9.9,29.0,34.2,16.1,23.2,69.3,11.6,34.6,46.2,21.9,14.1,7.9,4.4,22.3,-7.8
Wins,21,48.7,113.4,21,0,1.000,43.4,91.1,47.6,9.7,26.5,36.6,16.9,23.8,71.1,13.5,38.3,51.9,23.3,13.3,7.2,5.1,21.0,8.8
Losses,45,48.2,102.3,0,45,.000,38.4,88.5,43.4,9.5,29.2,32.5,16.0,23.4,68.6,11.4,32.6,44.0,21.5,14.8,7.8,4.6,22.7,-13.6
October,5,48.0,100.6,1,4,.200,36.4,86.0,42.3,10.0,28.4,35.2,17.8,26.4,67.4,13.0,35.0,48.0,18.8,18.4,8.2,5.0,24.6,-8.2
November,14,48.0,101.7,3,11,.214,37.2,86.9,42.8,11.4,29.9,37.9,15.9,23.7,67.2,12.2,31.9,44.1,20.7,14.3,8.0,4.2,24.1,-7.6
December,14,48.4,105.8,5,9,.357,39.4,90.9,43.3,10.0,31.9,31.3,17.1,23.9,71.3,11.6,36.1,47.8,21.9,13.3,7.1,5.1,21.8,-8.6
January,16,48.0,105.8,4,12,.250,41.3,91.4,45.1,9.1,28.7,31.6,14.2,20.5,69.2,11.5,34.3,45.8,21.8,13.4,7.3,4.6,20.9,-6.8
February,11,49.4,109.5,5,6,.455,42.5,89.5,47.5,8.1,23.9,33.8,16.5,23.9,68.8,12.8,34.6,47.5,24.7,15.1,7.9,4.5,21.7,-2.7
March,6,48.8,113.2,3,3,.500,42.8,88.3,48.5,8.0,23.7,33.8,19.5,26.7,73.1,11.8,36.3,48.2,24.2,14.5,7.8,5.5,20.8,-3.2
Pre All-Star,55,48.4,104.8,17,38,.309,39.5,89.8,44.0,9.8,29.4,33.4,15.9,22.9,69.2,12.1,34.4,46.5,21.7,14.3,7.7,4.6,22.5,-7.0
Post All-Star,11,48.5,111.0,4,7,.364,42.2,86.8,48.6,8.2,23.1,35.4,18.5,26.3,70.2,11.9,34.8,46.7,24.1,14.5,7.2,5.5,20.5,-3.9
0 Days Rest,10,50.0,109.7,2,8,.200,40.3,91.5,44.0,10.6,29.8,35.6,18.5,26.1,70.9,11.5,35.9,47.4,23.2,15.2,7.2,5.3,22.9,-14.2
1 Days Rest,42,48.1,106.3,15,27,.357,40.5,88.9,45.5,9.3,27.2,34.1,16.0,23.2,69.2,12.7,34.1,46.8,21.8,14.3,7.4,4.9,22.1,-3.5
2 Days Rest,11,48.0,99.6,3,8,.273,37.2,88.5,42.0,9.1,30.8,29.5,16.2,23.5,69.0,11.5,33.5,45.0,21.5,14.2,8.8,3.8,21.5,-13.0
3 Days Rest,1,48.0,117.0,1,0,1.000,47.0,98.0,48.0,14.0,36.0,38.9,9.0,14.0,64.3,9.0,46.0,55.0,29.0,7.0,3.0,6.0,14.0,24.0
4 Days Rest,1,48.0,111.0,0,1,.000,44.0,94.0,46.8,10.0,30.0,33.3,13.0,18.0,72.2,5.0,34.0,39.0,24.0,14.0,16.0,1.0,32.0,-9.0
6+ Days Rest,1,48.0,98.0,0,1,.000,35.0,81.0,43.2,11.0,25.0,44.0,17.0,25.0,68.0,5.0,35.0,40.0,21.0,15.0,7.0,7.0,26.0,-8.0
