BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.9,86.0,46.3,13.3,34.9,38.1,19.2,25.7,74.9,9.6,34.6,44.2,24.3,13.7,7.2,5.0,4.7,19.8,112.3
Home,39.3,85.2,46.2,12.9,34.9,36.9,18.9,25.7,73.6,9.1,32.8,42.0,23.9,13.5,7.8,5.5,5.1,19.7,110.5
Road,40.4,86.9,46.5,13.7,34.8,39.2,19.6,25.7,76.2,10.0,36.4,46.4,24.7,14.0,6.5,4.6,4.4,19.9,114.0
Wins,37.2,86.8,42.9,12.9,36.8,35.1,17.2,23.3,73.9,9.1,31.6,40.7,21.3,13.1,6.2,4.2,5.1,19.8,104.6
Losses,41.1,85.7,48.0,13.5,34.0,39.6,20.2,26.8,75.3,9.8,36.0,45.8,25.7,14.0,7.6,5.4,4.6,19.8,115.8
October,38.8,85.4,45.4,11.8,33.2,35.5,19.4,26.4,73.5,11.2,35.4,46.6,22.0,15.8,8.4,5.4,5.0,21.8,108.8
November,37.6,81.8,46.0,13.3,34.9,38.1,20.7,27.3,75.9,9.4,35.4,44.7,23.3,14.7,6.4,3.9,4.2,19.6,109.3
December,41.1,89.8,45.8,14.4,36.9,39.1,17.7,25.1,70.5,11.1,36.8,47.9,25.1,13.1,7.1,5.7,5.1,19.4,114.4
January,40.6,86.1,47.2,13.2,33.5,39.4,18.1,24.1,75.1,9.4,36.0,45.4,24.7,13.4,6.9,5.4,4.6,18.6,112.6
February,40.5,85.5,47.3,12.5,32.6,38.4,18.7,24.9,75.2,7.9,30.9,38.8,25.0,13.1,7.9,5.5,4.5,20.4,112.2
March,39.8,88.5,45.0,13.5,39.5,34.2,23.2,28.3,81.8,8.8,30.2,39.0,24.5,13.2,7.7,4.2,5.5,21.2,116.3
Pre All-Star,39.8,85.6,46.5,13.3,34.4,38.5,18.9,25.5,74.2,9.6,35.5,45.1,24.3,14.1,7.0,5.1,4.6,19.6,111.7
Post All-Star,40.3,88.0,45.8,13.4,37.2,35.9,21.0,26.8,78.3,9.5,30.2,39.6,24.5,11.9,8.0,4.6,5.5,20.8,114.9
0 Days Rest,44.1,92.6,47.6,14.5,37.7,38.5,21.2,28.6,74.1,10.8,36.9,47.7,26.6,12.3,7.9,6.1,5.3,20.9,123.9
1 Days Rest,39.1,85.4,45.8,13.0,34.6,37.7,18.5,24.5,75.4,9.5,33.2,42.6,23.7,13.7,7.1,4.9,4.9,19.7,109.8
2 Days Rest,39.2,81.9,47.8,14.5,35.7,40.7,19.7,26.9,73.3,8.5,36.9,45.5,26.0,15.2,7.2,4.5,3.8,19.6,112.6
3 Days Rest,37.0,94.0,39.4,10.0,32.0,31.3,9.0,15.0,60.0,10.0,37.0,47.0,17.0,9.0,4.0,5.0,6.0,11.0,93.0
4 Days Rest,42.0,83.0,50.6,7.0,21.0,33.3,29.0,36.0,80.6,10.0,41.0,51.0,22.0,21.0,6.0,5.0,1.0,18.0,120.0
6+ Days Rest,36.0,88.0,40.9,8.0,28.0,28.6,26.0,33.0,78.8,12.0,38.0,50.0,20.0,11.0,7.0,5.0,7.0,22.0,106.0
