BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.3,110.8,40,24,.625,40.3,85.1,47.3,10.4,29.3,35.5,19.8,24.8,79.7,8.1,34.6,42.7,21.9,13.5,7.6,5.0,18.8,2.5
Home,33,48.3,113.0,20,13,.606,41.4,85.2,48.5,10.5,29.2,36.1,19.8,24.5,80.6,8.2,34.1,42.3,22.7,13.6,7.3,5.0,19.1,3.9
Road,31,48.3,108.4,20,11,.645,39.1,85.0,46.0,10.3,29.5,34.8,19.8,25.2,78.8,7.9,35.1,43.0,21.0,13.3,8.0,5.0,18.5,0.9
Wins,40,48.5,115.1,40,0,1.000,41.9,85.0,49.3,10.5,28.5,36.9,20.8,25.9,80.3,8.3,35.6,43.9,22.3,13.3,7.9,5.7,18.6,9.8
Losses,24,48.0,103.6,0,24,.000,37.6,85.3,44.0,10.2,30.7,33.2,18.2,23.1,78.7,7.8,32.9,40.7,21.2,13.8,7.2,3.8,19.2,-9.8
October,5,48.0,102.2,1,4,.200,36.6,84.4,43.4,9.4,28.8,32.6,19.6,27.2,72.1,10.2,40.6,50.8,18.0,18.6,7.0,4.0,23.0,0.8
November,13,48.4,109.5,6,7,.462,39.6,84.2,47.0,11.2,30.7,36.6,19.1,23.4,81.6,7.1,32.2,39.2,23.7,13.4,7.9,5.1,19.3,-1.8
December,15,48.7,109.1,11,4,.733,40.1,84.7,47.4,9.1,28.5,31.8,19.8,24.5,80.7,8.9,34.6,43.5,20.7,13.7,7.5,5.3,18.7,3.4
January,17,48.3,115.0,12,5,.706,41.7,87.3,47.8,11.7,30.9,37.8,19.9,24.2,82.0,8.1,36.1,44.2,23.5,12.8,7.3,4.8,16.9,5.9
February,10,48.0,112.3,7,3,.700,40.7,84.5,48.2,9.7,27.3,35.5,21.2,26.7,79.4,7.9,33.0,40.9,20.9,11.9,7.6,4.6,19.2,0.8
March,4,48.0,109.8,3,1,.750,40.5,82.8,48.9,10.3,27.0,38.0,18.5,25.5,72.5,6.0,32.3,38.3,20.8,13.3,9.3,7.0,20.0,4.0
Pre All-Star,55,48.4,110.6,33,22,.600,40.2,85.3,47.1,10.5,29.7,35.4,19.8,24.6,80.4,8.2,34.9,43.1,22.0,13.6,7.4,4.9,18.9,2.6
Post All-Star,9,48.0,111.7,7,2,.778,40.9,84.0,48.7,9.9,27.4,36.0,20.0,26.3,75.9,7.3,32.8,40.1,21.0,12.8,8.7,5.8,18.7,1.7
0 Days Rest,10,49.0,108.9,6,4,.600,40.3,86.0,46.9,9.7,30.6,31.7,18.6,24.3,76.5,7.1,36.1,43.2,21.8,14.5,9.0,4.7,19.4,-0.5
1 Days Rest,41,48.1,113.0,28,13,.683,40.9,85.2,48.0,10.8,29.2,36.8,20.3,25.4,80.0,8.4,34.8,43.2,22.1,13.3,7.2,5.0,18.3,4.1
2 Days Rest,8,48.6,107.6,4,4,.500,39.4,83.8,47.0,10.1,29.1,34.8,18.8,22.0,85.2,7.5,32.1,39.6,22.6,13.4,7.4,5.9,20.8,1.3
3 Days Rest,2,48.0,95.5,0,2,.000,36.0,86.5,41.6,9.5,31.5,30.2,14.0,19.5,71.8,7.5,31.0,38.5,19.5,12.0,9.0,5.5,18.0,-14.0
4 Days Rest,1,48.0,109.0,1,0,1.000,38.0,81.0,46.9,9.0,26.0,34.6,24.0,30.0,80.0,5.0,35.0,40.0,21.0,12.0,9.0,6.0,15.0,6.0
6+ Days Rest,2,48.0,104.0,1,1,.500,36.0,85.0,42.4,9.5,26.5,35.8,22.5,29.0,77.6,10.5,35.5,46.0,17.0,14.0,8.5,3.5,21.0,3.5
