BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.1,90.0,45.6,11.4,33.2,34.4,14.8,18.6,79.5,10.4,34.0,44.4,23.1,14.0,6.7,4.1,5.0,22.8,108.3
Home,40.8,89.2,45.8,11.5,33.2,34.8,15.9,19.8,80.4,10.3,33.5,43.8,22.7,14.1,7.1,3.8,5.0,22.6,109.1
Road,41.3,90.8,45.5,11.3,33.1,34.1,13.5,17.2,78.5,10.5,34.5,45.1,23.5,13.8,6.3,4.5,5.0,23.1,107.5
Wins,39.8,90.3,44.1,11.0,34.0,32.3,14.7,18.6,79.2,10.9,31.8,42.7,22.6,14.0,6.9,4.2,5.7,23.1,105.3
Losses,43.2,89.4,48.3,12.2,31.8,38.4,14.9,18.6,80.0,9.7,37.7,47.4,23.9,13.9,6.4,3.9,3.8,22.4,113.4
October,36.4,91.0,40.0,9.8,35.4,27.7,18.8,23.6,79.7,9.8,35.0,44.8,18.6,14.8,8.2,5.4,4.0,24.2,101.4
November,42.4,88.9,47.7,10.5,28.1,37.5,16.0,19.8,80.9,11.1,35.8,46.9,24.5,15.1,7.0,4.6,5.1,22.1,111.3
December,40.8,90.1,45.3,10.7,32.9,32.7,13.4,16.9,79.4,10.5,33.0,43.5,22.5,13.9,7.4,3.7,5.3,22.7,105.7
January,41.6,90.6,45.9,12.5,35.2,35.6,13.2,16.9,78.1,9.8,33.0,42.8,22.8,13.1,5.9,4.1,4.8,23.1,109.1
February,41.8,90.0,46.4,12.5,34.8,35.9,15.4,19.0,81.1,11.3,34.6,45.9,25.2,14.0,5.9,3.1,4.6,23.2,111.5
March,39.3,88.3,44.5,11.5,35.0,32.9,15.8,20.5,76.8,9.8,33.0,42.8,21.8,13.0,7.0,4.8,7.0,22.0,105.8
Pre All-Star,41.0,89.7,45.6,11.3,32.8,34.5,14.8,18.7,79.2,10.3,34.0,44.4,22.9,14.0,6.8,4.2,4.9,22.8,108.0
Post All-Star,41.7,91.2,45.7,12.0,35.1,34.2,14.7,17.9,82.0,11.1,33.7,44.8,24.3,13.7,6.4,3.4,5.8,23.3,110.0
0 Days Rest,41.6,91.7,45.4,12.4,37.3,33.2,13.8,18.4,75.0,10.5,36.6,47.1,24.6,15.8,7.4,4.5,4.7,22.4,109.4
1 Days Rest,41.2,90.6,45.5,11.7,33.5,34.8,14.7,18.0,81.6,10.3,33.1,43.4,22.6,13.2,6.7,4.0,5.0,22.9,108.9
2 Days Rest,39.9,87.8,45.4,10.0,28.0,35.7,16.6,21.8,76.4,12.5,33.8,46.3,24.4,14.6,6.6,4.4,5.9,23.4,106.4
3 Days Rest,42.0,84.0,50.0,10.5,30.5,34.4,15.0,18.5,81.1,7.0,38.5,45.5,22.5,13.0,6.5,4.5,5.5,18.0,109.5
4 Days Rest,41.0,89.0,46.1,15.0,38.0,39.5,6.0,11.0,54.5,9.0,36.0,45.0,31.0,20.0,4.0,2.0,6.0,24.0,103.0
6+ Days Rest,38.5,83.5,46.1,6.0,25.5,23.5,17.5,21.5,81.4,9.5,34.5,44.0,17.0,15.0,5.5,4.0,3.5,25.5,100.5
