BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.1,106.4,30,35,.462,39.2,88.8,44.2,10.9,32.0,34.1,17.0,22.1,77.0,10.4,34.2,44.5,24.0,12.6,8.4,5.7,17.6,-1.0
Home,31,48.2,104.9,16,15,.516,38.9,88.8,43.8,10.9,33.0,32.9,16.3,21.5,75.9,10.8,35.4,46.2,24.5,12.8,8.1,5.5,17.5,-0.4
Road,34,48.0,107.7,14,20,.412,39.6,88.8,44.6,11.0,31.1,35.3,17.6,22.6,77.9,10.0,33.1,43.0,23.5,12.5,8.6,5.9,17.7,-1.5
Wins,30,48.2,115.4,30,0,1.000,42.3,89.0,47.6,11.9,30.9,38.6,18.8,24.2,77.6,10.4,36.7,47.1,26.0,12.7,8.5,5.4,17.3,11.2
Losses,35,48.0,98.6,0,35,.000,36.6,88.7,41.2,10.1,32.9,30.5,15.4,20.2,76.4,10.3,32.0,42.3,22.3,12.5,8.2,6.0,17.9,-11.4
October,4,48.0,95.8,2,2,.500,35.8,90.5,39.5,9.5,33.0,28.8,14.8,18.8,78.7,11.5,36.3,47.8,21.3,12.0,8.5,5.8,17.5,2.0
November,14,48.0,102.6,5,9,.357,37.6,87.1,43.2,9.6,30.4,31.8,17.8,22.6,78.5,10.6,34.3,44.9,22.4,13.9,8.4,6.9,19.0,-2.1
December,15,48.0,105.1,7,8,.467,39.0,88.5,44.1,10.9,30.1,36.1,16.2,21.9,74.1,9.4,33.1,42.5,23.5,12.2,8.4,6.5,17.2,-2.7
January,15,48.0,104.7,7,8,.467,38.4,89.3,43.0,10.9,32.5,33.5,17.1,22.7,75.3,11.4,35.3,46.7,22.3,12.1,8.6,4.3,17.5,0.1
February,12,48.4,112.5,6,6,.500,41.8,89.8,46.5,12.5,35.8,35.0,16.5,21.2,78.0,10.0,33.9,43.9,27.9,12.8,8.4,6.1,16.6,-1.3
March,5,48.0,119.6,3,2,.600,43.8,89.4,49.0,12.2,31.2,39.1,19.8,24.0,82.5,9.4,32.4,41.8,28.0,12.0,7.0,3.8,17.8,2.6
Pre All-Star,55,48.1,103.9,24,31,.436,38.2,88.2,43.4,10.7,31.6,33.7,16.8,22.0,76.5,10.4,34.1,44.5,23.2,12.7,8.5,5.8,17.6,-1.5
Post All-Star,10,48.0,119.8,6,4,.600,44.7,92.2,48.5,12.4,34.2,36.3,18.0,22.6,79.6,10.3,34.2,44.5,28.2,12.2,7.4,5.1,17.9,1.9
0 Days Rest,10,48.0,102.4,1,9,.100,37.9,85.0,44.6,11.1,32.6,34.0,15.5,19.9,77.9,8.7,32.7,41.4,23.8,14.3,9.0,6.5,19.2,-7.5
1 Days Rest,42,48.1,108.6,23,19,.548,40.0,89.5,44.8,11.4,32.1,35.6,17.1,22.2,77.0,10.7,34.5,45.2,24.5,12.4,8.4,5.3,17.2,1.1
2 Days Rest,9,48.0,104.6,4,5,.444,37.9,89.3,42.4,9.1,29.8,30.6,19.7,24.9,79.0,11.0,33.4,44.4,22.0,12.0,7.7,7.4,16.6,-1.7
3 Days Rest,1,48.0,98.0,1,0,1.000,37.0,88.0,42.0,10.0,30.0,33.3,14.0,23.0,60.9,10.0,38.0,48.0,26.0,16.0,4.0,5.0,21.0,1.0
4 Days Rest,1,48.0,89.0,0,1,.000,33.0,83.0,39.8,9.0,33.0,27.3,14.0,17.0,82.4,7.0,32.0,39.0,21.0,10.0,5.0,5.0,19.0,-13.0
5 Days Rest,1,48.0,94.0,1,0,1.000,37.0,86.0,43.0,9.0,30.0,30.0,11.0,19.0,57.9,7.0,39.0,46.0,24.0,13.0,12.0,4.0,18.0,9.0
6+ Days Rest,1,48.0,106.0,0,1,.000,41.0,104.0,39.4,9.0,43.0,20.9,15.0,19.0,78.9,16.0,32.0,48.0,21.0,8.0,11.0,2.0,22.0,-16.0
