BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,40.1,86.6,46.3,12.4,33.4,37.0,14.8,19.1,77.2,9.1,36.0,45.1,24.5,14.8,7.0,4.8,5.7,19.2,107.3
Home,39.2,86.9,45.2,12.5,33.7,37.0,14.4,18.9,75.9,9.0,36.1,45.1,23.7,14.4,7.2,4.8,5.5,18.7,105.3
Road,40.9,86.3,47.4,12.3,33.1,37.0,15.1,19.3,78.2,9.2,35.9,45.1,25.1,15.2,6.8,4.8,5.9,19.6,109.2
Wins,39.3,88.4,44.4,11.7,34.2,34.2,13.9,18.3,76.1,9.3,33.1,42.4,24.8,15.0,6.8,4.4,5.4,20.1,104.2
Losses,40.8,85.1,48.0,12.9,32.7,39.6,15.5,19.8,78.0,8.9,38.5,47.4,24.2,14.7,7.1,5.1,6.0,18.4,110.1
October,35.0,84.8,41.3,8.8,33.5,26.1,15.0,20.0,75.0,8.8,41.8,50.5,20.0,15.5,5.8,5.8,5.8,19.0,93.8
November,39.1,85.7,45.7,11.7,31.9,36.8,14.7,19.3,76.3,8.9,35.2,44.1,23.5,14.4,7.1,4.0,6.9,19.8,104.7
December,40.7,86.8,46.9,13.3,34.0,39.2,13.1,17.7,73.7,10.4,36.9,47.3,24.7,16.1,7.2,4.7,6.5,19.0,107.7
January,38.9,85.9,45.3,11.3,32.8,34.6,15.5,19.4,80.1,8.7,36.9,45.6,23.5,14.4,6.5,4.9,4.3,19.0,104.6
February,42.8,89.2,47.9,13.9,34.5,40.3,14.4,18.5,77.9,8.7,34.6,43.3,27.1,14.2,7.3,5.3,6.1,18.2,113.8
March,42.6,85.8,49.7,13.6,35.0,38.9,18.2,22.8,79.8,8.0,31.6,39.6,26.6,14.6,7.4,4.8,3.8,21.4,117.0
Pre All-Star,39.5,86.3,45.8,12.0,32.9,36.5,14.4,18.7,76.8,9.3,36.7,45.9,24.0,14.9,6.9,4.8,5.8,19.0,105.4
Post All-Star,43.4,88.2,49.2,14.3,36.1,39.6,16.8,21.3,78.9,8.0,32.3,40.3,27.3,14.2,7.5,5.0,5.1,20.2,117.9
0 Days Rest,40.7,85.6,47.5,12.3,30.7,40.1,16.2,21.7,74.7,9.6,34.8,44.4,26.6,14.9,6.8,3.8,6.5,17.5,109.9
1 Days Rest,40.0,86.8,46.1,12.5,34.3,36.6,15.0,19.2,78.3,9.1,35.4,44.5,24.0,14.9,7.1,5.0,5.3,19.5,107.5
2 Days Rest,41.9,87.8,47.7,11.7,32.2,36.2,10.8,14.7,73.5,8.8,37.9,46.7,24.9,14.4,6.2,5.1,7.4,20.8,106.2
3 Days Rest,35.0,87.0,40.2,10.0,29.0,34.5,17.0,21.0,81.0,7.0,38.0,45.0,23.0,16.0,10.0,3.0,5.0,22.0,97.0
4 Days Rest,33.0,77.0,42.9,15.0,33.0,45.5,21.0,26.0,80.8,10.0,38.0,48.0,24.0,13.0,6.0,8.0,5.0,16.0,102.0
5 Days Rest,33.0,88.0,37.5,9.0,34.0,26.5,10.0,15.0,66.7,10.0,44.0,54.0,20.0,16.0,8.0,2.0,4.0,15.0,85.0
6+ Days Rest,43.0,84.0,51.2,15.0,38.0,39.5,21.0,26.0,80.8,8.0,42.0,50.0,26.0,16.0,6.0,7.0,2.0,14.0,122.0
