BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.2,109.6,39,26,.600,40.8,87.7,46.5,11.4,31.6,36.2,16.6,22.1,75.2,10.4,35.1,45.5,25.9,14.2,8.2,5.4,20.6,2.2
Home,31,48.2,112.9,29,2,.935,42.3,87.1,48.5,11.2,29.7,37.6,17.1,22.5,76.1,10.5,36.5,47.0,27.1,14.4,8.4,5.5,19.2,10.4
Road,34,48.3,106.6,10,24,.294,39.4,88.2,44.7,11.6,33.2,35.0,16.1,21.7,74.4,10.2,33.8,44.0,24.7,14.1,8.0,5.2,21.9,-5.3
Wins,39,48.1,113.7,39,0,1.000,42.6,87.3,48.8,11.3,30.1,37.7,17.2,22.6,76.1,10.2,36.3,46.6,27.6,14.5,8.5,6.1,20.2,11.0
Losses,26,48.4,103.3,0,26,.000,38.1,88.3,43.1,11.5,33.8,34.1,15.7,21.2,73.7,10.5,33.3,43.8,23.3,13.7,7.7,4.3,21.3,-10.9
October,4,48.0,111.5,4,0,1.000,39.8,88.0,45.2,10.0,32.3,31.0,22.0,29.8,73.9,11.5,39.8,51.3,25.0,20.8,11.5,6.8,29.0,11.0
November,16,48.3,108.2,10,6,.625,40.8,85.9,47.4,10.6,29.1,36.3,16.1,21.4,75.4,9.4,35.7,45.1,26.5,15.5,8.1,5.6,21.3,3.1
December,16,48.3,110.4,9,7,.563,41.8,88.6,47.1,11.5,30.6,37.6,15.4,20.9,74.0,10.6,35.4,46.1,26.7,14.1,8.1,5.8,19.9,3.5
January,13,48.0,106.3,8,5,.615,39.9,86.5,46.1,10.7,32.8,32.6,15.8,21.6,73.0,9.5,35.0,44.5,25.5,12.8,8.2,4.9,20.0,1.6
February,11,48.5,108.8,6,5,.545,39.7,89.8,44.2,11.7,32.2,36.4,17.6,22.5,78.2,11.3,34.1,45.4,24.4,12.5,7.8,5.7,18.6,-3.5
March,5,48.0,120.0,2,3,.400,43.2,88.6,48.8,16.2,37.4,43.3,17.4,22.2,78.4,12.0,31.0,43.0,26.4,12.6,7.0,2.6,20.4,2.4
Pre All-Star,55,48.2,108.6,34,21,.618,40.7,87.4,46.5,11.0,31.0,35.4,16.3,22.1,74.1,10.2,35.7,45.9,26.1,14.7,8.2,5.5,20.9,2.4
Post All-Star,10,48.5,114.8,5,5,.500,41.5,89.6,46.3,13.8,34.6,39.9,18.0,22.1,81.4,11.0,31.9,42.9,24.9,11.6,8.2,4.4,19.1,1.1
0 Days Rest,10,48.5,112.0,8,2,.800,42.1,85.9,49.0,11.7,28.5,41.1,16.1,21.8,73.9,8.5,36.0,44.5,27.9,14.2,7.5,5.7,22.3,6.8
1 Days Rest,39,48.1,107.7,21,18,.538,40.1,87.8,45.7,11.2,32.1,35.0,16.3,21.7,75.3,10.8,34.9,45.7,25.1,14.1,8.6,5.6,20.0,0.8
2 Days Rest,13,48.0,112.3,7,6,.538,42.3,89.6,47.2,12.5,33.2,37.5,15.2,20.7,73.6,9.9,33.6,43.5,27.2,14.3,7.5,4.5,20.4,0.2
3 Days Rest,1,48.0,124.0,1,0,1.000,42.0,83.0,50.6,14.0,33.0,42.4,26.0,32.0,81.3,13.0,37.0,50.0,28.0,14.0,7.0,4.0,18.0,18.0
4 Days Rest,1,48.0,107.0,1,0,1.000,37.0,85.0,43.5,7.0,29.0,24.1,26.0,36.0,72.2,12.0,50.0,62.0,24.0,17.0,6.0,7.0,34.0,14.0
6+ Days Rest,1,53.0,112.0,1,0,1.000,38.0,86.0,44.2,4.0,22.0,18.2,32.0,35.0,91.4,11.0,37.0,48.0,19.0,14.0,10.0,6.0,22.0,8.0
