BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.6,85.6,46.2,10.2,28.9,35.4,18.0,24.3,74.2,8.6,33.3,41.9,22.7,14.0,7.0,3.9,5.4,20.3,107.4
Home,38.3,86.8,44.1,9.8,29.6,33.0,16.1,21.8,73.9,8.5,31.7,40.3,21.3,14.5,7.4,3.4,5.5,19.9,102.5
Road,40.7,84.5,48.2,10.6,28.4,37.6,19.8,26.5,74.5,8.6,34.8,43.4,24.0,13.6,6.5,4.3,5.2,20.6,111.8
Wins,38.3,85.9,44.6,9.6,28.8,33.5,16.5,22.8,72.1,8.4,31.2,39.5,21.0,14.9,7.4,3.5,6.1,20.9,102.8
Losses,41.4,85.1,48.6,11.1,29.2,38.1,20.4,26.5,76.9,8.8,36.5,45.4,25.2,12.7,6.3,4.3,4.3,19.4,114.3
October,35.5,82.8,42.9,8.5,26.8,31.8,21.0,32.5,64.6,7.3,31.5,38.8,18.3,19.3,10.0,4.5,6.8,25.8,100.5
November,38.8,83.1,46.7,9.8,26.1,37.3,17.8,23.8,74.5,7.4,32.1,39.4,20.4,14.2,7.4,3.9,5.6,20.6,105.1
December,40.1,88.5,45.3,9.9,29.0,34.3,16.9,21.9,76.9,8.9,32.8,41.7,24.5,13.1,7.1,4.1,5.8,19.7,106.9
January,37.9,84.7,44.8,10.8,31.0,35.0,18.0,25.2,71.3,9.7,35.5,45.2,22.5,15.3,6.5,3.2,4.9,20.2,104.7
February,41.6,89.2,46.7,10.7,31.2,34.4,18.3,23.5,77.6,9.7,35.5,45.3,23.8,12.9,5.5,3.8,5.7,19.1,112.3
March,43.2,81.0,53.3,11.4,29.2,39.0,19.8,26.0,76.2,6.6,30.2,36.8,25.6,11.6,7.2,4.2,2.6,19.8,117.6
Pre All-Star,39.1,85.6,45.6,10.1,28.6,35.4,18.0,24.4,73.8,8.5,33.3,41.8,22.2,14.2,7.3,3.9,5.5,20.5,106.2
Post All-Star,42.3,85.6,49.4,10.8,30.6,35.3,18.3,23.9,76.6,8.8,33.3,42.1,25.6,13.1,5.3,3.7,4.4,19.5,113.7
0 Days Rest,37.9,85.9,44.1,8.3,26.3,31.6,21.1,27.7,76.2,9.1,32.1,41.2,22.3,13.3,6.9,3.6,5.7,19.9,105.2
1 Days Rest,39.9,85.5,46.6,10.2,29.1,35.0,16.9,22.7,74.5,8.5,33.7,42.2,22.8,14.2,7.1,4.0,5.6,19.9,106.8
2 Days Rest,40.7,84.2,48.3,12.2,30.0,40.5,18.5,25.2,73.5,7.8,33.8,41.7,22.8,14.8,6.8,4.1,4.5,20.2,112.1
3 Days Rest,39.0,84.0,46.4,11.0,35.0,31.4,17.0,25.0,68.0,6.0,26.0,32.0,25.0,9.0,10.0,3.0,4.0,24.0,106.0
4 Days Rest,33.0,90.0,36.7,7.0,26.0,26.9,20.0,34.0,58.8,10.0,31.0,41.0,18.0,11.0,4.0,2.0,7.0,29.0,93.0
6+ Days Rest,36.0,102.0,35.3,10.0,34.0,29.4,22.0,28.0,78.6,15.0,34.0,49.0,22.0,16.0,3.0,1.0,6.0,27.0,104.0
