BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,65,48.2,112.6,26,39,.400,40.8,87.8,46.4,11.2,31.7,35.3,19.8,24.0,82.6,9.8,33.3,43.1,27.2,15.1,7.8,4.0,22.1,-1.4
Home,35,48.1,113.7,13,22,.371,40.9,86.8,47.1,11.9,33.1,36.0,20.0,24.3,82.2,8.9,34.4,43.3,27.0,15.0,7.1,4.3,21.7,0.1
Road,30,48.3,111.3,13,17,.433,40.6,89.1,45.6,10.3,30.1,34.4,19.7,23.7,83.1,10.9,32.0,42.8,27.4,15.1,8.6,3.6,22.7,-3.1
Wins,26,48.2,120.1,26,0,1.000,43.5,88.9,48.9,12.8,32.9,38.9,20.3,24.1,84.3,10.1,34.5,44.6,28.7,14.7,9.2,4.6,22.5,12.0
Losses,39,48.3,107.5,0,39,.000,38.9,87.1,44.7,10.1,30.9,32.7,19.5,23.9,81.5,9.6,32.4,42.1,26.2,15.3,6.9,3.6,21.9,-10.3
October,5,49.0,115.4,3,2,.600,40.6,89.2,45.5,12.8,34.8,36.8,21.4,25.6,83.6,8.8,37.6,46.4,28.8,16.2,9.2,4.0,29.4,9.2
November,13,48.0,114.5,5,8,.385,40.9,88.1,46.5,13.2,35.5,37.0,19.5,24.1,80.8,8.5,32.5,41.0,27.1,13.8,6.7,3.8,20.7,-1.1
December,15,48.7,113.7,5,10,.333,42.3,91.9,46.0,11.1,33.9,32.9,18.1,22.7,79.5,10.7,33.0,43.7,29.1,14.8,8.4,3.3,22.1,-3.9
January,15,48.0,110.2,7,8,.467,40.0,85.3,46.9,8.7,26.3,33.0,21.5,26.0,82.8,10.1,34.7,44.8,24.6,15.0,7.7,4.5,22.5,0.2
February,13,48.0,108.2,4,9,.308,39.6,85.5,46.3,10.1,28.2,35.7,18.8,22.2,85.1,10.2,30.9,41.2,26.8,16.4,8.4,4.2,20.9,-4.6
March,4,48.0,121.5,2,2,.500,41.5,87.0,47.7,16.0,39.0,41.0,22.5,25.0,90.0,9.5,33.5,43.0,28.8,15.0,6.0,4.8,20.8,-1.5
Pre All-Star,55,48.3,112.4,22,33,.400,40.8,88.2,46.3,11.0,31.5,34.9,19.8,24.1,82.1,9.7,33.6,43.3,26.9,14.8,7.8,4.0,22.2,-1.2
Post All-Star,10,48.0,113.2,4,6,.400,40.4,85.8,47.1,12.2,32.6,37.4,20.2,23.6,85.6,10.3,31.4,41.7,28.7,16.7,7.6,4.0,21.6,-2.3
0 Days Rest,11,48.5,112.8,4,7,.364,41.3,89.8,46.0,10.8,31.5,34.3,19.5,23.4,83.3,12.0,31.4,43.4,26.8,15.7,8.5,3.6,22.7,-6.6
1 Days Rest,39,48.1,112.7,16,23,.410,40.6,87.2,46.6,11.1,30.4,36.5,20.3,24.6,82.7,9.4,34.1,43.5,27.4,14.8,7.5,3.7,22.1,-0.1
2 Days Rest,11,48.5,115.8,5,6,.455,41.5,88.5,46.9,12.8,35.7,35.9,20.1,24.4,82.5,9.0,32.2,41.2,27.0,14.0,7.7,5.3,22.1,-0.3
3 Days Rest,2,48.0,90.5,0,2,.000,34.0,78.5,43.3,8.5,34.5,24.6,14.0,18.0,77.8,9.5,37.5,47.0,22.0,23.0,6.5,3.5,19.0,-11.5
6+ Days Rest,2,48.0,112.5,1,1,.500,43.5,95.0,45.8,8.5,33.5,25.4,17.0,20.5,82.9,9.5,29.5,39.0,30.0,15.5,12.5,6.0,24.0,6.0
