BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.4,87.2,47.5,11.8,32.2,36.8,19.3,24.7,78.1,9.2,34.4,43.6,23.8,16.0,8.1,5.6,4.0,22.8,113.9
Home,41.3,87.0,47.4,12.1,32.8,36.9,19.0,24.3,78.1,8.6,34.2,42.8,23.7,15.5,8.4,5.0,4.3,23.7,113.6
Road,41.6,87.4,47.6,11.5,31.4,36.7,19.7,25.2,78.1,10.0,34.6,44.6,23.9,16.5,7.9,6.4,3.6,21.9,114.3
Wins,38.9,86.5,45.0,10.3,32.5,31.8,20.0,25.7,77.7,9.2,32.5,41.7,21.8,17.2,7.9,5.2,4.6,23.5,108.2
Losses,43.1,87.7,49.1,12.8,31.9,40.2,18.8,24.0,78.4,9.3,35.7,44.9,25.1,15.1,8.3,5.9,3.6,22.4,117.8
October,34.6,83.8,41.3,9.2,29.4,31.3,27.8,35.2,79.0,8.6,36.4,45.0,20.2,18.8,7.2,6.4,4.0,26.0,106.2
November,42.8,88.2,48.6,12.8,33.6,38.0,17.1,22.5,75.8,9.5,35.9,45.4,26.2,15.9,7.8,4.9,3.8,23.9,115.5
December,43.3,88.1,49.1,12.0,30.5,39.3,19.1,24.5,77.7,8.7,36.1,44.8,23.2,15.9,7.9,5.9,3.3,22.4,117.6
January,40.3,87.7,45.9,10.5,31.3,33.5,19.0,24.5,77.7,9.1,32.7,41.8,23.3,15.2,8.7,5.6,4.5,22.2,110.0
February,40.7,85.2,47.7,12.5,34.2,36.6,18.8,23.4,80.6,10.2,32.4,42.6,24.6,16.8,8.6,5.8,4.2,21.9,112.8
March,44.8,89.3,50.1,14.3,33.5,42.5,19.3,24.3,79.4,8.5,33.5,42.0,21.5,13.0,7.8,5.8,4.8,22.5,123.0
Pre All-Star,41.5,87.6,47.3,11.6,31.9,36.4,19.1,24.7,77.4,9.3,34.9,44.1,24.0,16.0,8.0,5.7,4.0,22.9,113.6
Post All-Star,41.1,84.9,48.4,13.1,33.5,39.1,20.2,24.6,82.1,9.1,31.9,41.0,22.3,15.9,9.1,5.6,4.0,22.4,115.5
0 Days Rest,42.8,85.9,49.8,13.5,33.5,40.4,20.3,26.0,78.0,9.4,32.8,42.2,23.9,15.5,8.0,5.5,3.6,23.2,119.5
1 Days Rest,41.0,86.9,47.1,11.7,32.1,36.4,19.1,24.7,77.4,9.0,34.3,43.3,23.9,15.7,8.3,5.5,3.7,22.9,112.7
2 Days Rest,42.8,89.5,47.9,10.8,30.4,35.6,19.6,24.2,81.2,9.6,35.5,45.1,24.0,15.8,7.7,5.8,5.3,23.1,116.1
3 Days Rest,37.5,90.5,41.4,10.5,34.0,30.9,16.5,21.0,78.6,11.0,35.5,46.5,22.0,14.0,11.0,5.0,3.5,19.0,102.0
6+ Days Rest,38.0,83.5,45.5,12.0,33.0,36.4,18.5,24.0,77.1,9.5,38.0,47.5,20.5,26.0,6.0,9.0,6.0,22.0,106.5
