BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,41.6,92.1,45.1,13.3,35.2,37.7,18.8,24.3,77.3,11.8,35.7,47.5,24.7,12.7,6.8,5.0,6.2,19.7,115.2
Home,41.4,93.8,44.1,14.1,35.8,39.2,17.9,22.8,78.5,11.4,34.4,45.8,24.1,11.7,7.2,5.0,6.9,20.4,114.8
Road,41.8,90.6,46.1,12.5,34.7,36.1,19.6,25.7,76.3,12.2,36.9,49.1,25.3,13.7,6.5,5.0,5.6,19.1,115.7
Wins,39.2,93.9,41.7,12.2,36.6,33.4,18.6,23.9,77.6,12.0,33.2,45.2,23.4,12.0,6.9,4.6,7.3,20.3,109.2
Losses,43.4,90.7,47.9,14.1,34.2,41.2,19.0,24.7,77.1,11.7,37.6,49.3,25.8,13.3,6.8,5.4,5.4,19.3,120.0
October,36.4,86.2,42.2,11.4,33.6,33.9,26.0,32.8,79.3,11.2,36.6,47.8,21.6,17.2,8.2,4.0,5.8,22.2,110.2
November,41.7,93.7,44.5,11.5,33.9,33.8,21.3,26.7,79.8,12.0,36.7,48.7,23.9,12.6,7.6,6.0,6.1,20.0,116.1
December,41.1,91.5,45.0,13.1,33.8,38.9,17.6,23.7,74.1,11.4,35.1,46.6,23.4,12.4,7.4,4.9,7.3,18.9,113.0
January,43.1,94.4,45.7,14.5,38.1,38.2,16.1,22.2,72.7,12.5,36.3,48.8,25.2,11.6,5.3,5.3,6.4,20.5,116.9
February,43.0,90.5,47.5,14.1,34.5,40.8,17.5,22.2,78.9,11.0,35.4,46.4,26.7,13.3,6.9,4.6,5.0,18.1,117.6
March,39.6,92.4,42.9,15.2,38.2,39.8,18.8,22.0,85.5,12.8,32.0,44.8,28.2,11.6,6.4,3.6,6.6,20.2,113.2
Pre All-Star,41.7,92.6,45.0,13.0,35.0,37.0,18.9,24.7,76.5,12.0,36.1,48.1,24.4,12.6,6.9,5.2,6.3,19.9,115.3
Post All-Star,40.9,89.6,45.6,15.0,36.6,41.0,18.3,22.2,82.4,11.0,33.3,44.3,26.9,13.5,6.8,3.8,6.0,19.0,115.1
0 Days Rest,41.9,90.8,46.1,12.5,32.1,39.1,18.2,23.3,78.1,12.3,36.1,48.4,22.7,13.3,6.7,6.3,6.6,19.2,114.5
1 Days Rest,41.0,93.1,44.1,13.3,36.7,36.3,19.0,24.6,77.2,12.3,36.0,48.3,24.5,12.3,6.8,4.6,6.3,20.0,114.4
2 Days Rest,44.1,91.3,48.3,12.7,33.1,38.3,19.0,23.4,81.0,9.8,33.7,43.4,26.4,12.0,6.0,6.0,5.2,18.8,119.9
3 Days Rest,42.0,92.0,45.7,14.5,34.0,42.6,15.0,22.0,68.2,11.0,35.5,46.5,28.0,16.0,9.0,4.0,7.5,18.0,113.5
5 Days Rest,34.0,81.0,42.0,18.0,32.0,56.3,22.0,27.0,81.5,11.0,34.0,45.0,24.0,20.0,11.0,4.0,4.0,23.0,108.0
6+ Days Rest,45.0,84.0,53.6,18.0,34.0,52.9,20.0,33.0,60.6,9.0,37.0,46.0,36.0,19.0,8.0,3.0,9.0,23.0,128.0
