BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.5,109.0,28,36,.438,40.4,87.8,45.9,12.6,34.7,36.4,15.6,20.3,76.9,9.6,32.9,42.5,23.4,14.4,7.6,4.2,21.9,-1.9
Home,31,48.5,109.3,14,17,.452,40.6,87.5,46.5,12.2,33.8,36.0,15.9,20.7,76.5,9.5,33.5,43.0,22.5,14.8,7.4,4.3,22.3,-2.1
Road,33,48.5,108.7,14,19,.424,40.1,88.2,45.5,13.1,35.5,36.8,15.4,20.0,77.2,9.7,32.3,42.0,24.3,14.0,7.8,4.2,21.5,-1.8
Wins,28,48.4,113.1,28,0,1.000,40.5,84.3,48.0,14.1,34.0,41.3,18.1,23.0,78.7,8.3,33.4,41.7,23.9,14.5,8.8,4.6,21.7,8.8
Losses,36,48.6,105.8,0,36,.000,40.3,90.6,44.4,11.5,35.2,32.7,13.8,18.3,75.1,10.6,32.5,43.1,23.0,14.3,6.7,4.0,22.0,-10.3
October,5,48.0,98.6,0,5,.000,36.2,88.4,41.0,11.6,35.0,33.1,14.6,19.6,74.5,11.2,30.4,41.6,20.2,18.0,7.4,4.6,21.8,-17.0
November,13,48.4,106.4,8,5,.615,39.3,85.6,45.9,12.7,34.7,36.6,15.1,19.2,78.7,9.5,32.4,41.8,23.7,15.2,7.8,4.8,22.5,1.9
December,16,48.9,105.8,4,12,.250,40.2,88.3,45.5,11.4,33.8,33.8,13.9,18.0,77.4,10.5,32.1,42.6,22.1,14.4,7.1,4.3,20.4,-3.4
January,14,48.7,113.1,6,8,.429,42.1,89.8,46.9,12.9,34.6,37.4,15.9,20.9,76.1,9.2,34.4,43.6,24.3,14.4,7.9,3.9,23.0,-1.9
February,11,48.0,112.7,7,4,.636,40.5,87.6,46.3,14.5,36.8,39.3,17.2,23.6,72.7,8.2,32.6,40.8,25.1,12.1,7.5,3.5,21.7,1.4
March,5,48.0,116.6,3,2,.600,42.4,86.8,48.8,12.4,32.6,38.0,19.4,22.8,85.1,10.0,35.4,45.4,23.6,14.0,8.4,4.6,22.0,0.6
Pre All-Star,54,48.6,107.9,21,33,.389,40.2,88.1,45.6,12.6,34.9,36.1,15.0,19.6,76.4,9.8,32.5,42.3,23.2,14.7,7.4,4.3,21.7,-2.9
Post All-Star,10,48.0,114.8,7,3,.700,41.3,86.4,47.8,12.9,33.6,38.4,19.3,24.5,78.8,8.6,34.8,43.4,24.4,12.7,8.6,3.8,22.7,3.3
0 Days Rest,10,48.0,110.9,5,5,.500,40.1,87.2,46.0,14.3,36.9,38.8,16.4,20.5,80.0,9.5,31.9,41.4,24.0,13.1,7.8,4.4,20.0,0.9
1 Days Rest,39,48.3,108.8,17,22,.436,40.5,87.7,46.2,12.2,34.1,35.8,15.5,20.2,77.0,10.0,32.6,42.6,23.1,14.7,7.7,4.2,22.0,-1.6
2 Days Rest,11,49.8,107.9,3,8,.273,40.6,90.0,45.2,11.8,34.1,34.7,14.8,19.2,77.3,9.0,35.3,44.3,23.9,13.8,7.0,4.5,22.6,-5.5
3 Days Rest,2,48.0,106.0,2,0,1.000,39.0,84.0,46.4,15.0,38.0,39.5,13.0,19.0,68.4,8.5,32.5,41.0,26.5,14.0,8.5,4.0,24.5,8.0
6+ Days Rest,2,48.0,112.0,1,1,.500,38.0,85.0,44.7,14.5,34.0,42.6,21.5,31.0,69.4,7.5,29.5,37.0,19.5,18.5,7.0,3.5,22.5,-12.5
