BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,39.9,85.3,46.8,12.3,34.6,35.5,18.9,23.8,79.3,9.0,34.5,43.5,24.5,15.1,7.8,4.3,4.2,19.3,110.9
Home,39.6,86.3,46.0,12.5,35.1,35.6,19.6,24.5,80.0,9.4,34.7,44.1,24.1,14.7,8.5,3.9,4.3,19.7,111.4
Road,40.1,84.3,47.5,12.1,34.1,35.4,18.2,23.2,78.5,8.7,34.3,42.9,24.9,15.4,7.2,4.8,4.2,19.0,110.4
Wins,37.4,83.6,44.7,11.4,33.9,33.5,18.1,23.8,76.2,9.0,32.6,41.6,23.6,16.7,7.5,4.2,4.6,20.5,104.3
Losses,41.8,86.5,48.3,13.0,35.1,37.0,19.5,23.8,81.7,9.0,36.0,44.9,25.3,13.8,8.1,4.5,4.0,18.4,116.1
October,44.2,88.6,49.9,13.2,33.6,39.3,14.0,17.4,80.5,9.0,36.4,45.4,26.2,16.8,8.6,4.6,4.6,21.0,115.6
November,37.6,82.2,45.7,10.1,31.2,32.3,19.2,24.8,77.3,9.3,32.2,41.5,22.2,15.0,8.6,4.8,4.8,18.5,104.5
December,39.8,85.7,46.4,12.6,34.7,36.2,17.1,21.1,81.1,9.6,34.2,43.8,25.1,14.5,7.6,4.4,4.3,17.7,109.2
January,40.4,86.5,46.7,12.7,36.4,35.0,21.6,26.7,80.7,8.7,35.9,44.6,25.1,15.6,7.6,3.9,3.9,19.5,115.0
February,39.9,85.1,46.9,11.7,33.7,34.8,19.8,25.1,79.0,9.1,36.1,45.2,25.0,15.6,6.9,4.6,3.5,21.2,111.4
March,40.4,85.4,47.3,16.0,40.8,39.2,19.2,25.6,75.0,7.0,32.0,39.0,24.8,12.6,8.6,3.4,4.6,20.6,116.0
Pre All-Star,40.0,85.3,46.9,12.3,34.5,35.5,18.6,23.4,79.6,9.1,34.7,43.8,24.7,15.2,7.9,4.5,4.3,18.9,110.8
Post All-Star,39.4,85.3,46.2,12.3,34.8,35.3,20.4,26.2,77.9,8.4,33.2,41.6,23.7,14.4,7.5,3.6,3.8,21.5,111.5
0 Days Rest,39.6,83.4,47.5,12.3,34.9,35.2,18.5,23.0,80.4,7.9,34.3,42.2,25.5,15.0,6.8,4.1,4.4,19.7,110.0
1 Days Rest,39.8,85.4,46.7,12.5,34.3,36.4,18.3,23.1,79.3,9.3,33.8,43.1,24.4,15.1,8.0,4.1,4.2,19.2,110.4
2 Days Rest,40.3,87.0,46.3,12.0,35.7,33.6,20.8,26.5,78.7,9.0,36.6,45.6,24.7,14.0,8.3,4.8,4.5,18.4,113.4
3 Days Rest,34.0,77.0,44.2,10.0,35.0,28.6,20.0,27.5,72.7,7.0,34.0,41.0,18.0,18.5,5.5,5.0,4.0,17.5,98.0
6+ Days Rest,46.0,91.5,50.3,11.5,31.5,36.5,21.0,25.0,84.0,10.0,37.5,47.5,28.0,17.0,9.0,7.0,3.5,27.0,124.5
