BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,63,48.6,113.2,27,36,.429,42.0,89.5,47.0,10.7,28.7,37.1,18.4,22.8,80.9,8.8,35.6,44.4,24.5,12.3,7.2,5.5,19.2,-1.8
Home,30,48.8,113.5,16,14,.533,42.3,89.9,47.1,11.0,28.9,38.1,17.8,21.8,81.5,9.3,36.5,45.8,25.8,13.6,7.1,6.1,19.4,1.1
Road,33,48.3,112.9,11,22,.333,41.8,89.1,46.9,10.3,28.6,36.2,19.0,23.6,80.4,8.3,34.8,43.2,23.4,11.1,7.3,4.9,19.1,-4.3
Wins,27,48.9,119.0,27,0,1.000,44.4,90.1,49.3,11.6,29.1,39.9,18.6,23.0,80.7,9.0,37.8,46.8,26.5,12.8,8.0,5.6,18.9,9.1
Losses,36,48.3,108.8,0,36,.000,40.3,89.0,45.2,9.9,28.4,34.9,18.3,22.6,81.1,8.6,34.0,42.6,23.1,11.9,6.6,5.4,19.5,-9.9
October,4,48.0,113.5,3,1,.750,42.3,89.0,47.5,7.8,23.0,33.7,21.3,28.0,75.9,11.8,39.0,50.8,22.8,16.8,5.8,6.5,21.0,2.0
November,16,48.0,111.0,4,12,.250,42.2,90.3,46.7,9.4,26.3,35.6,17.3,21.8,79.3,10.4,34.4,44.8,24.6,12.8,6.1,5.3,18.6,-4.0
December,12,50.5,116.5,7,5,.583,44.6,92.7,48.1,11.2,28.9,38.6,16.2,21.1,76.7,7.9,39.4,47.3,25.8,13.4,8.3,6.6,19.2,0.5
January,15,48.0,114.1,7,8,.467,40.7,87.0,46.7,11.5,31.3,36.8,21.2,24.9,85.0,8.9,35.5,44.4,24.0,11.5,6.3,5.1,19.7,0.8
February,11,48.0,109.7,4,7,.364,40.9,89.5,45.7,11.0,29.4,37.5,16.9,20.9,80.9,8.2,33.4,41.5,24.5,10.5,8.4,4.4,18.4,-5.2
March,5,49.0,116.6,2,3,.400,42.0,87.2,48.2,12.4,31.2,39.7,20.2,23.4,86.3,4.6,33.0,37.6,24.6,10.4,9.4,6.2,20.8,-3.2
Pre All-Star,54,48.6,113.2,23,31,.426,42.2,89.5,47.1,10.4,28.4,36.8,18.4,22.9,80.4,9.1,35.9,45.1,24.5,12.4,6.9,5.4,19.0,-1.3
Post All-Star,9,48.6,112.9,4,5,.444,41.2,89.6,46.0,12.0,30.9,38.8,18.4,21.9,84.3,6.8,33.8,40.6,24.7,11.2,9.2,5.7,20.9,-4.4
0 Days Rest,8,48.0,112.9,5,3,.625,40.6,85.0,47.8,11.0,27.0,40.7,20.6,26.3,78.6,8.8,32.1,40.9,23.9,11.5,7.5,4.9,17.4,0.3
1 Days Rest,41,48.5,114.0,14,27,.341,42.3,90.1,47.0,10.8,29.3,36.8,18.6,22.5,82.4,8.9,35.8,44.6,25.0,12.3,6.7,5.5,19.7,-3.1
2 Days Rest,11,48.9,110.0,6,5,.545,42.3,91.2,46.4,10.7,30.3,35.4,14.7,19.5,75.7,9.4,36.8,46.2,24.3,12.5,8.2,5.5,18.9,0.4
4 Days Rest,1,48.0,120.0,1,0,1.000,42.0,83.0,50.6,7.0,21.0,33.3,29.0,36.0,80.6,10.0,41.0,51.0,22.0,21.0,6.0,5.0,18.0,9.0
5 Days Rest,1,53.0,109.0,0,1,.000,42.0,86.0,48.8,5.0,16.0,31.3,20.0,25.0,80.0,2.0,34.0,36.0,19.0,12.0,11.0,7.0,21.0,-8.0
6+ Days Rest,1,48.0,113.0,1,0,1.000,40.0,91.0,44.0,10.0,20.0,50.0,23.0,26.0,88.5,7.0,41.0,48.0,22.0,7.0,12.0,7.0,20.0,9.0
