BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,42.2,90.0,46.9,13.1,34.8,37.6,17.5,22.7,77.1,9.4,36.4,45.7,25.7,12.9,6.7,4.4,5.5,19.7,115.0
Home,41.1,90.5,45.4,12.7,35.7,35.6,17.5,22.4,78.0,9.1,35.2,44.3,24.3,13.1,7.6,5.0,6.1,20.0,112.4
Road,43.2,89.3,48.3,13.5,34.1,39.6,17.4,22.9,76.0,9.6,37.3,46.9,27.0,12.9,5.9,3.8,4.9,19.4,117.2
Wins,39.9,90.4,44.2,12.4,35.2,35.1,17.7,22.3,79.3,8.9,34.2,43.1,24.6,13.5,6.9,3.8,5.6,20.1,109.9
Losses,43.9,89.4,49.0,13.7,34.6,39.6,17.3,22.9,75.3,9.7,37.9,47.6,26.6,12.6,6.6,4.8,5.4,19.4,118.7
October,42.3,95.0,44.5,10.3,30.8,33.3,16.8,22.3,75.3,8.3,35.8,44.0,22.3,12.3,8.0,4.5,6.5,24.3,111.5
November,42.5,88.6,48.0,12.8,32.1,40.0,17.2,22.0,78.1,8.9,35.3,44.3,26.8,12.7,6.9,4.9,5.3,19.8,115.0
December,43.3,96.0,45.1,12.4,38.0,32.7,17.1,22.8,75.1,11.5,37.7,49.2,24.5,14.0,7.8,4.0,6.6,19.0,116.0
January,40.7,89.1,45.7,13.8,37.7,36.6,18.0,22.9,78.7,9.6,35.1,44.7,25.7,11.4,6.3,4.0,5.1,19.9,113.3
February,42.2,84.9,49.7,13.9,33.3,41.8,16.6,21.8,76.3,7.5,37.3,44.7,27.0,14.2,6.1,5.0,4.4,17.9,114.9
March,42.8,88.4,48.4,14.4,34.8,41.4,19.8,26.2,75.6,10.0,38.0,48.0,25.6,14.0,5.2,3.2,6.2,20.2,119.8
Pre All-Star,42.2,90.4,46.7,13.0,34.9,37.2,17.1,22.1,77.1,9.5,35.9,45.4,25.7,12.6,6.8,4.3,5.4,19.8,114.5
Post All-Star,41.8,86.8,48.1,14.0,34.6,40.5,19.8,26.0,76.1,8.6,38.7,47.2,26.0,15.0,6.3,4.8,5.7,19.1,117.3
0 Days Rest,41.6,86.9,47.9,12.3,31.8,38.6,17.1,21.4,80.1,10.0,34.5,44.5,25.3,13.1,5.8,2.8,4.9,20.1,112.6
1 Days Rest,42.8,90.2,47.4,13.5,35.2,38.3,18.0,23.4,77.2,9.4,36.4,45.9,26.2,12.5,6.8,4.7,5.5,19.8,117.1
2 Days Rest,40.6,90.4,45.0,12.6,35.5,35.5,15.7,21.3,73.9,9.2,36.7,45.9,24.9,13.7,6.6,4.7,5.5,17.6,109.6
4 Days Rest,44.0,94.0,46.8,10.0,30.0,33.3,13.0,18.0,72.2,5.0,34.0,39.0,24.0,14.0,16.0,1.0,5.0,32.0,111.0
5 Days Rest,44.0,96.0,45.8,15.0,45.0,33.3,14.0,20.0,70.0,11.0,39.0,50.0,22.0,19.0,6.0,3.0,7.0,22.0,117.0
6+ Days Rest,35.0,82.0,42.7,12.0,33.0,36.4,22.0,26.0,84.6,6.0,41.0,47.0,25.0,17.0,4.0,6.0,7.0,18.0,104.0
