BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,37.9,88.5,42.9,13.0,38.5,33.7,17.7,23.0,76.8,11.2,35.1,46.3,25.6,16.8,7.0,5.3,4.9,20.0,106.5
Home,38.0,89.3,42.5,13.7,39.3,34.9,17.6,22.8,77.2,11.5,34.4,45.9,24.9,16.8,7.0,4.8,4.8,20.0,107.2
Road,37.9,87.7,43.2,12.3,37.6,32.6,17.8,23.3,76.5,10.8,35.8,46.6,26.3,16.8,7.1,5.8,5.1,19.9,105.8
Wins,37.6,88.4,42.5,13.0,39.0,33.3,17.4,22.9,76.1,11.0,33.5,44.5,25.3,17.2,7.1,5.1,4.9,20.3,105.5
Losses,38.9,88.6,43.9,13.0,37.3,34.9,18.3,23.3,78.6,11.6,39.2,50.7,26.3,15.9,7.0,5.9,5.1,19.1,109.1
October,37.8,97.0,39.0,13.4,37.4,35.8,16.2,20.4,79.4,13.6,35.0,48.6,24.2,16.0,7.4,5.2,5.0,22.2,105.2
November,37.2,89.7,41.5,12.2,38.2,32.0,16.6,22.7,73.2,12.8,35.5,48.3,24.8,16.2,6.8,6.6,5.0,19.8,103.3
December,39.1,89.1,43.9,12.9,39.1,33.0,17.2,22.2,77.5,10.9,35.2,46.1,25.4,16.8,6.8,4.4,5.7,20.2,108.3
January,37.3,84.8,44.0,13.3,38.3,34.8,18.1,23.6,76.6,9.9,35.9,45.8,25.5,18.3,7.2,5.7,4.4,18.9,106.1
February,36.8,87.3,42.2,12.8,37.9,33.8,19.6,24.9,78.7,11.2,34.1,45.3,25.6,17.1,7.7,4.9,5.2,19.2,106.0
March,40.2,87.8,45.8,14.2,40.2,35.3,18.4,23.4,78.6,8.6,33.8,42.4,30.0,14.4,6.6,4.6,3.4,21.8,113.0
Pre All-Star,38.0,88.6,42.9,13.1,38.6,33.9,17.5,22.8,76.6,11.5,35.2,46.6,25.3,17.1,6.9,5.3,4.9,19.7,106.6
Post All-Star,37.3,87.6,42.6,12.4,37.8,32.9,18.9,24.2,78.0,9.3,34.7,44.0,27.6,15.4,7.9,5.3,5.3,21.4,106.0
0 Days Rest,35.5,88.5,40.1,12.9,40.2,32.1,17.7,23.7,74.7,11.9,34.9,46.8,25.5,15.9,7.5,5.3,6.7,18.6,101.6
1 Days Rest,37.8,88.0,42.9,13.1,38.7,33.9,17.7,23.3,75.9,11.3,34.9,46.2,25.4,17.7,6.8,4.9,4.6,20.2,106.3
2 Days Rest,39.8,88.1,45.1,12.6,36.3,34.6,17.4,21.4,81.3,9.8,36.6,46.3,25.9,15.4,7.2,6.3,4.2,19.4,109.5
3 Days Rest,41.0,94.7,43.3,15.3,40.3,38.0,18.3,23.7,77.5,12.3,36.7,49.0,25.7,14.7,6.0,7.0,3.3,22.7,115.7
6+ Days Rest,38.0,92.0,41.3,6.0,34.0,17.6,19.0,23.0,82.6,10.0,24.0,34.0,29.0,17.0,12.0,3.0,13.0,23.0,101.0
