BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.1,111.0,41,23,.641,40.1,84.6,47.5,13.2,34.4,38.3,17.6,22.8,77.2,8.8,36.3,45.1,22.2,14.9,5.9,4.0,20.0,3.2
Home,31,48.0,110.9,21,10,.677,40.5,85.2,47.5,13.0,34.1,38.0,17.0,22.0,77.0,8.8,37.5,46.3,22.2,15.1,5.8,3.6,19.8,4.4
Road,33,48.2,111.2,20,13,.606,39.8,84.0,47.4,13.4,34.6,38.6,18.2,23.5,77.4,8.9,35.1,43.9,22.2,14.7,5.9,4.4,20.2,2.0
Wins,41,48.0,114.9,41,0,1.000,42.0,84.6,49.6,13.7,34.4,39.9,17.3,22.4,77.1,9.4,37.6,47.0,23.3,14.6,5.8,4.1,19.4,10.6
Losses,23,48.2,104.1,0,23,.000,36.9,84.5,43.7,12.2,34.3,35.4,18.1,23.4,77.3,7.8,33.8,41.6,20.2,15.5,6.1,3.9,21.1,-10.1
October,5,48.0,101.0,4,1,.800,36.8,77.8,47.3,10.6,28.2,37.6,16.8,21.6,77.8,5.0,38.4,43.4,20.8,18.6,7.6,3.6,24.4,8.6
November,14,48.0,108.6,8,6,.571,37.9,85.4,44.4,12.4,32.6,37.9,20.4,26.3,77.4,9.1,37.1,46.1,20.9,14.8,5.7,4.6,20.3,0.5
December,14,48.0,110.0,9,5,.643,40.3,83.8,48.1,13.0,32.4,40.2,16.4,21.6,76.2,8.9,36.9,45.9,22.6,16.4,5.7,3.7,20.7,1.6
January,15,48.3,118.1,11,4,.733,43.3,87.5,49.5,14.4,37.7,38.2,17.1,22.6,75.5,9.7,35.6,45.3,23.5,12.7,5.7,4.1,19.1,9.6
February,11,48.0,111.7,5,6,.455,40.3,85.3,47.2,13.3,35.1,37.8,17.9,22.5,79.8,9.6,36.1,45.7,21.2,15.1,5.0,3.1,18.5,-3.4
March,5,48.0,108.0,4,1,.800,39.4,80.8,48.8,14.6,39.6,36.9,14.6,18.6,78.5,7.4,32.2,39.6,24.0,13.6,7.6,5.4,19.0,4.6
Pre All-Star,54,48.1,111.3,36,18,.667,40.4,85.0,47.5,13.1,34.0,38.7,17.4,22.7,76.8,9.0,36.8,45.7,22.2,15.0,5.8,3.9,20.2,4.1
Post All-Star,10,48.0,109.7,5,5,.500,39.0,82.2,47.4,13.3,36.5,36.4,18.4,23.1,79.7,8.2,33.4,41.6,21.8,14.3,6.3,4.5,18.8,-1.7
0 Days Rest,8,48.0,112.3,5,3,.625,41.4,82.0,50.5,11.6,32.1,36.2,17.9,23.8,75.3,6.9,36.4,43.3,22.8,16.3,5.1,3.9,20.8,3.8
1 Days Rest,43,48.1,111.1,27,16,.628,40.0,84.8,47.2,13.5,35.0,38.5,17.7,22.8,77.6,9.2,35.6,44.7,21.7,14.8,6.4,4.0,20.0,2.9
2 Days Rest,9,48.0,113.7,7,2,.778,40.7,84.9,47.9,13.8,34.0,40.5,18.6,23.6,78.8,9.2,37.0,46.2,24.2,14.7,5.1,4.2,19.3,5.2
3 Days Rest,2,48.0,102.0,1,1,.500,39.0,88.0,44.3,14.5,37.5,38.7,9.5,15.0,63.3,8.5,43.5,52.0,23.5,14.0,4.0,2.0,16.0,2.0
6+ Days Rest,2,48.0,102.0,1,1,.500,37.5,86.0,43.6,9.0,28.5,31.6,18.0,23.0,78.3,8.5,39.5,48.0,20.0,14.0,4.0,5.5,24.5,-2.0
