BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,40.3,89.3,45.2,11.1,31.6,35.1,16.1,20.9,76.9,9.6,33.0,42.6,21.2,12.0,7.8,4.6,4.0,20.6,107.9
Home,40.0,88.5,45.2,11.2,31.1,35.9,15.4,20.2,76.2,8.6,33.4,42.0,20.1,12.7,8.3,4.6,3.6,21.0,106.5
Road,40.7,90.0,45.2,11.0,32.0,34.4,16.8,21.6,77.6,10.5,32.6,43.2,22.1,11.4,7.3,4.5,4.4,20.2,109.2
Wins,39.3,89.4,43.9,10.9,32.2,33.9,14.8,19.6,75.6,9.7,31.2,40.9,20.4,11.9,7.2,4.1,4.1,20.2,104.3
Losses,42.2,89.0,47.5,11.4,30.4,37.4,18.4,23.3,78.9,9.5,36.2,45.7,22.4,12.3,8.7,5.4,3.9,21.2,114.2
October,33.6,82.4,40.8,9.2,27.2,33.8,16.0,21.4,74.8,6.6,32.8,39.4,18.4,16.8,6.8,4.6,3.6,23.2,92.4
November,40.3,92.2,43.7,10.9,33.9,32.1,16.6,21.5,77.4,10.9,35.1,46.0,20.1,12.4,6.8,5.5,4.6,22.0,108.1
December,39.9,88.6,45.1,11.3,30.7,36.7,17.2,22.4,77.0,9.3,33.9,43.2,21.4,12.1,9.9,4.7,3.7,20.9,108.4
January,41.5,88.9,46.7,9.9,29.5,33.4,15.7,20.8,75.6,9.5,31.1,40.5,21.8,11.3,6.4,4.5,4.1,19.3,108.5
February,43.2,90.6,47.6,13.5,34.0,39.8,15.2,19.3,78.8,9.1,32.5,41.6,21.7,10.0,9.1,4.3,3.1,20.5,115.1
March,38.8,87.8,44.2,11.2,32.6,34.4,14.6,18.8,77.7,11.8,31.0,42.8,23.2,12.8,6.4,2.4,5.4,17.2,103.4
Pre All-Star,40.1,89.3,44.9,10.9,31.6,34.3,16.2,21.2,76.5,9.5,33.1,42.6,20.7,12.1,7.7,4.8,3.9,20.7,107.2
Post All-Star,41.8,89.1,46.9,12.3,31.4,39.2,15.5,19.5,79.5,10.5,32.2,42.7,23.5,11.6,8.2,3.3,4.5,19.9,111.4
0 Days Rest,39.3,88.6,44.3,12.6,34.8,36.3,17.4,21.6,80.3,7.6,30.9,38.5,21.6,12.3,7.1,4.4,3.9,22.0,108.5
1 Days Rest,40.6,89.2,45.5,10.8,30.6,35.2,16.2,21.0,77.0,10.3,32.7,43.0,21.0,12.3,7.8,4.7,4.0,20.3,108.2
2 Days Rest,41.0,90.1,45.5,12.3,35.1,35.1,14.1,19.1,73.8,9.0,33.1,42.1,21.8,11.7,8.0,3.7,4.2,21.0,108.4
3 Days Rest,40.5,91.5,44.3,7.0,32.5,21.5,12.0,16.5,72.7,8.5,38.0,46.5,22.0,7.0,7.0,5.0,2.0,17.5,100.0
6+ Days Rest,36.0,87.0,41.4,10.0,23.5,42.6,22.0,28.5,77.2,7.0,41.0,48.0,18.5,11.5,8.5,5.5,5.5,21.5,104.0
