BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
2019-20,64,48.2,115.6,24,40,.375,41.9,91.0,46.1,12.3,33.1,37.2,19.5,24.8,78.7,10.1,31.6,41.7,25.3,14.1,8.1,4.3,22.6,-4.0
Home,32,48.3,115.0,16,16,.500,41.7,90.8,45.9,12.0,32.0,37.6,19.6,25.0,78.5,10.4,32.7,43.1,24.6,13.9,8.1,4.1,22.4,-0.7
Road,32,48.2,116.2,8,24,.250,42.1,91.1,46.3,12.6,34.1,36.9,19.3,24.5,79.0,9.7,30.5,40.3,26.1,14.2,8.2,4.4,22.7,-7.4
Wins,24,48.0,120.1,24,0,1.000,44.1,89.8,49.1,13.0,31.4,41.3,18.9,24.4,77.5,10.0,33.0,43.0,26.3,13.8,8.6,5.0,21.1,10.1
Losses,40,48.4,112.9,0,40,.000,40.6,91.7,44.3,11.9,34.1,35.0,19.8,25.0,79.5,10.1,30.8,40.9,24.8,14.2,7.8,3.9,23.5,-12.6
October,4,48.0,119.3,1,3,.250,45.0,94.0,47.9,14.5,38.0,38.2,14.8,18.5,79.7,9.5,34.3,43.8,27.0,16.0,6.0,5.3,23.8,0.3
November,13,48.0,118.2,5,8,.385,45.0,94.4,47.7,12.6,34.1,37.0,15.6,19.1,81.9,10.1,31.4,41.5,29.1,14.5,7.5,3.7,21.4,-3.5
December,15,48.3,114.5,4,11,.267,40.4,91.0,44.4,12.1,33.5,36.3,21.6,28.0,77.1,10.9,30.8,41.7,24.4,12.7,8.8,4.0,22.8,-6.4
January,15,48.3,113.9,6,9,.400,41.9,89.5,46.8,10.6,29.4,36.1,19.5,25.1,77.9,10.7,32.7,43.3,23.3,14.8,6.7,5.0,22.7,-7.1
February,11,48.5,116.0,5,6,.455,42.3,92.5,45.7,11.8,33.0,35.8,19.6,25.7,76.3,9.5,32.5,41.9,25.0,13.4,10.0,4.1,22.5,-0.1
March,6,48.0,113.8,3,3,.500,36.3,82.2,44.2,15.8,36.0,44.0,25.3,30.5,83.1,7.8,28.3,36.2,24.2,14.7,9.3,4.0,23.5,-2.0
Pre All-Star,53,48.2,115.6,20,33,.377,42.5,91.6,46.4,11.8,32.5,36.4,18.8,24.0,78.1,10.3,32.2,42.4,25.6,13.9,7.7,4.5,22.2,-4.2
Post All-Star,11,48.5,115.5,4,7,.364,39.0,87.6,44.5,14.5,35.8,40.6,23.0,28.4,81.1,9.0,29.1,38.1,24.1,14.8,10.2,3.3,24.3,-3.2
0 Days Rest,9,48.6,119.7,4,5,.444,44.1,91.6,48.2,12.4,32.1,38.8,19.0,24.1,78.8,8.8,32.4,41.2,26.2,12.6,6.9,4.4,22.1,0.0
1 Days Rest,43,48.2,113.9,17,26,.395,41.1,90.9,45.3,12.2,33.4,36.5,19.5,24.9,78.1,10.3,31.9,42.3,25.2,14.0,8.5,4.2,22.5,-3.6
2 Days Rest,6,48.0,115.7,2,4,.333,41.7,88.0,47.3,11.3,28.8,39.3,21.0,25.5,82.4,8.8,30.7,39.5,23.8,15.8,7.3,5.2,21.5,-11.3
3 Days Rest,3,48.0,129.3,1,2,.333,46.0,88.7,51.9,17.7,37.3,47.3,19.7,24.7,79.7,10.0,27.7,37.7,27.0,16.7,8.7,4.0,22.7,-5.7
4 Days Rest,2,48.0,116.5,0,2,.000,43.5,94.5,46.0,11.0,35.0,31.4,18.5,22.5,82.2,10.0,31.5,41.5,27.0,13.0,5.5,3.5,27.5,-7.5
6+ Days Rest,1,48.0,108.0,0,1,.000,41.0,106.0,38.7,9.0,37.0,24.3,17.0,23.0,73.9,17.0,30.0,47.0,24.0,12.0,12.0,3.0,26.0,-5.0
