BREAKDOWN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
2019-20,43.4,88.6,49.0,12.5,33.1,37.8,20.3,26.3,77.2,10.6,35.7,46.3,25.3,16.3,7.5,5.0,4.3,22.4,119.7
Home,42.4,88.7,47.8,11.8,32.9,35.9,19.1,25.4,75.4,10.6,35.4,46.0,23.8,16.1,7.3,5.2,4.1,22.2,115.7
Road,44.4,88.5,50.2,13.2,33.3,39.6,21.6,27.3,78.9,10.7,35.9,46.5,26.7,16.5,7.8,4.9,4.4,22.7,123.6
Wins,40.8,88.5,46.1,10.9,32.4,33.7,17.5,23.9,73.2,11.3,33.1,44.3,23.6,16.8,7.1,5.0,5.0,21.9,110.0
Losses,45.0,88.7,50.7,13.5,33.5,40.1,22.1,27.8,79.3,10.3,37.2,47.5,26.3,16.0,7.8,5.1,3.9,22.7,125.5
October,43.3,92.5,46.8,12.3,35.3,34.8,20.3,26.3,77.1,13.0,35.0,48.0,23.5,15.3,7.3,5.8,5.3,20.8,119.0
November,44.6,89.9,49.6,12.5,32.7,38.1,20.0,24.5,81.5,10.0,35.6,45.6,27.5,16.3,7.5,6.0,3.7,19.6,121.7
December,43.0,86.9,49.5,13.3,33.9,39.1,21.7,28.2,76.8,10.3,37.0,47.3,26.3,16.3,6.3,5.0,4.0,23.0,120.9
January,44.1,90.6,48.7,11.7,32.7,35.9,20.9,26.8,78.1,10.8,33.6,44.4,24.6,13.7,8.3,4.4,5.0,22.3,120.9
February,42.2,88.9,47.4,13.3,35.0,37.9,18.5,26.0,71.0,11.8,37.5,49.4,23.3,18.9,7.5,4.2,4.1,24.2,116.1
March,42.3,82.0,51.6,11.3,28.2,40.2,19.8,25.2,78.8,8.7,34.5,43.2,24.7,18.8,8.8,5.8,4.0,25.2,115.8
Pre All-Star,43.5,89.7,48.5,12.4,33.5,37.0,20.4,26.2,77.8,10.8,35.7,46.5,25.7,15.6,7.3,5.1,4.5,21.8,119.8
Post All-Star,42.8,83.3,51.4,13.0,31.2,41.7,20.1,26.9,74.7,9.6,35.6,45.3,23.5,19.8,8.4,5.0,3.3,25.2,118.7
0 Days Rest,44.4,91.0,48.8,11.0,31.1,35.4,19.8,25.0,79.1,11.6,33.9,45.4,25.0,14.7,7.0,5.0,4.4,22.4,119.7
1 Days Rest,42.4,88.0,48.3,12.2,32.4,37.7,20.4,26.7,76.4,10.5,36.3,46.8,24.7,16.5,7.6,4.9,4.2,22.3,117.5
2 Days Rest,46.8,90.0,52.0,14.5,37.3,38.8,18.8,24.7,76.4,9.5,34.8,44.3,28.7,16.0,8.3,6.0,5.2,21.8,127.0
3 Days Rest,48.3,92.7,52.2,16.7,40.3,41.3,21.7,26.0,83.3,14.3,32.0,46.3,31.0,17.0,9.3,4.7,4.0,23.0,135.0
4 Days Rest,42.0,86.0,48.8,13.5,36.0,37.5,26.5,31.0,85.5,7.5,37.5,45.0,24.5,16.0,5.5,5.0,3.5,24.0,124.0
6+ Days Rest,43.0,81.0,53.1,11.0,27.0,40.7,16.0,25.0,64.0,10.0,37.0,47.0,19.0,22.0,3.0,6.0,3.0,24.0,113.0
