MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"Mar 10, 2020 - BKN @ LAL",W,48,104,37,90,41.1,13,40,32.5,17,23,73.9,14,33,47,24,11,7,3,18
"Mar 08, 2020 - BKN vs. CHI",W,48,110,32,64,50.0,11,30,36.7,35,41,85.4,5,45,50,21,29,4,5,24
"Mar 06, 2020 - BKN vs. SAS",W,48,139,51,96,53.1,15,36,41.7,22,31,71.0,9,43,52,32,8,1,2,22
"Mar 04, 2020 - BKN vs. MEM",L,48,79,30,90,33.3,7,42,16.7,12,17,70.6,13,29,42,15,14,6,4,17
"Mar 03, 2020 - BKN @ BOS",W,53,129,43,100,43.0,14,49,28.6,29,38,76.3,22,41,63,22,21,7,6,26
"Feb 29, 2020 - BKN @ MIA",L,48,113,40,86,46.5,16,44,36.4,17,23,73.9,8,36,44,30,10,3,3,23
"Feb 28, 2020 - BKN @ ATL",L,48,118,42,92,45.7,18,46,39.1,16,21,76.2,7,31,38,30,13,5,8,19
"Feb 26, 2020 - BKN @ WAS",L,48,106,36,87,41.4,10,36,27.8,24,35,68.6,15,41,56,15,18,7,1,24
"Feb 24, 2020 - BKN vs. ORL",L,48,113,46,96,47.9,16,37,43.2,5,8,62.5,13,36,49,29,12,6,3,19
"Feb 22, 2020 - BKN @ CHA",W,48,115,42,87,48.3,17,47,36.2,14,19,73.7,9,45,54,26,10,10,6,20
"Feb 20, 2020 - BKN @ PHI",L,53,104,36,102,35.3,10,34,29.4,22,28,78.6,15,34,49,22,16,3,1,27
"Feb 12, 2020 - BKN vs. TOR",W,48,101,36,88,40.9,9,35,25.7,20,25,80.0,12,43,55,27,17,7,5,16
"Feb 10, 2020 - BKN @ IND",W,48,106,35,87,40.2,12,37,32.4,24,32,75.0,14,39,53,20,10,5,7,15
"Feb 08, 2020 - BKN @ TOR",L,48,118,41,92,44.6,16,44,36.4,20,24,83.3,13,33,46,27,9,5,5,16
"Feb 05, 2020 - BKN vs. GSW",W,48,129,51,100,51.0,14,34,41.2,13,15,86.7,14,51,65,29,15,4,1,15
"Feb 03, 2020 - BKN vs. PHX",W,48,119,43,89,48.3,15,34,44.1,18,21,85.7,10,34,44,28,17,8,5,26
"Feb 01, 2020 - BKN @ WAS",L,48,107,39,94,41.5,16,47,34.0,13,21,61.9,12,41,53,25,16,5,7,22
"Jan 31, 2020 - BKN vs. CHI",W,48,133,50,80,62.5,15,31,48.4,18,25,72.0,5,32,37,31,20,8,5,21
"Jan 29, 2020 - BKN vs. DET",W,48,125,43,85,50.6,15,39,38.5,24,30,80.0,8,29,37,26,10,8,7,19
"Jan 26, 2020 - BKN @ NYK",L,48,97,34,81,42.0,13,39,33.3,16,23,69.6,7,27,34,21,16,6,4,14
"Jan 25, 2020 - BKN @ DET",W,53,121,42,94,44.7,15,42,35.7,22,25,88.0,11,44,55,19,11,3,5,17
"Jan 23, 2020 - BKN vs. LAL",L,48,113,40,91,44.0,21,46,45.7,12,15,80.0,8,33,41,30,16,12,3,17
"Jan 20, 2020 - BKN vs. PHI",L,48,111,39,81,48.1,11,29,37.9,22,34,64.7,13,34,47,22,22,7,2,23
"Jan 18, 2020 - BKN vs. MIL",L,48,97,33,99,33.3,15,49,30.6,16,17,94.1,12,35,47,23,17,11,7,19
"Jan 15, 2020 - BKN @ PHI",L,48,106,38,87,43.7,12,25,48.0,18,30,60.0,11,33,44,20,15,9,1,22
"Jan 14, 2020 - BKN vs. UTA",L,48,107,45,90,50.0,8,26,30.8,9,15,60.0,11,32,43,22,12,4,4,13
"Jan 12, 2020 - BKN vs. ATL",W,48,108,41,77,53.2,10,26,38.5,16,29,55.2,7,55,62,25,26,8,2,20
"Jan 10, 2020 - BKN vs. MIA",W,48,117,45,93,48.4,15,44,34.1,12,19,63.2,14,37,51,31,10,5,4,15
"Jan 07, 2020 - BKN vs. OKC",L,53,103,40,98,40.8,11,37,29.7,12,16,75.0,11,41,52,19,17,5,5,25
"Jan 06, 2020 - BKN @ ORL",L,48,89,32,96,33.3,10,47,21.3,15,19,78.9,12,34,46,20,13,11,1,19
"Jan 04, 2020 - BKN vs. TOR",L,48,102,32,67,47.8,13,35,37.1,25,34,73.5,6,32,38,24,24,4,11,24
